,20.0-,1.0-,3.0-,15.0-,30.0-,25.0-T-H,0.0-T-H-I-B,3.0-T-H,7.000000000000001-T-H-I-B,0.0-,25.0-,1.0-T-H,7.000000000000001-,30.0-T-H,1.0-T-H-I-B,5.0-T-H,10.0-T-H,20.0-T-H-I-B,0.0-T-H,10.0-,10.0-T-H-I-B,25.0-T-H-I-B,3.0-T-H-I-B,15.0-T-H-I-B,5.0-,15.0-T-H,7.000000000000001-T-H,30.0-T-H-I-B,5.0-T-H-I-B,20.0-T-H
AL,0.266061622657207,50.92327247402186,4.640205258513381,0.22674220809050571,0.18443604690635274,2.639941812298062,12430.70462624131,6936.424118775582,12822.697065033877,4.900142146448111,0.16491321198343195,8781.70993197337,1.1519497342397682,2.222914208012106,12405.266892463851,3067.6728660924146,10.665536658740198,5919.520968667686,9408.075644708044,0.486416735140544,11722.890396026334,3.400268279147727,13409.94221782816,8966.392264759319,2.405048439441075,0.7518539410614341,1529.45780805833,0.994798717705961,13286.860432868107,0.5857815898141201
AT,0.1630761815789762,0.7804226074041424,0.43076002310191897,0.1679927228772157,0.12497806065390908,1.5654911026009342,44788.93895962213,1863.7391656031457,44332.06601549053,0.9384908574141966,0.10848253839930143,4428.092138214009,0.33487532112511753,1.2173857257136789,44682.94928079669,508.69723973800166,1.3545848871313972,176.75521193475748,4488.0112548368215,0.241506119542587,37027.86037501986,0.6652183984011376,41554.47979084267,19846.96278189692,0.39449174269253995,0.375542396865607,114.85253912189371,0.7801559453410151,43811.90287055187,0.4904401670242489
BA,0.24554043581957236,1.2282234147928266,1.3085762731261739,0.20617530715918325,0.16991227147914192,1.5693455088754853,81.09409339752273,15.241031798868377,40.758727873914445,2.0707959216774623,0.1527688752458463,24.598124040493676,0.7203534308104944,1.3412365026667519,28.005649824741077,12.701032706705183,0.7559074865669668,1.7498400263346259,48.440699624200086,0.3529175448843387,5.990672782479173,0.6292525040482028,4.505106233759371,2.9570669689325344,1.0768510079392806,0.3363395849677527,16.374566349910552,0.4865366622145815,23.51569214918097,0.3463412573974444
BE,0.17626416455342325,0.8973522694574001,0.5108447878675675,0.1835818601743655,0.12770602827051222,1.7457742749698961,22048.9905304915,10.769356517586301,17466.571485947316,0.9449722450699107,0.10639658830949056,31.864245348947172,0.3513571899780613,1.3444349833171225,22732.310606548646,8.681866336021523,0.4400771956151929,0.9891911898166739,83.77323932045134,0.2658899255124703,8158.368113105863,0.45454897676801426,21488.583751267142,2.813603951905849,0.40744828396883886,0.35567144422267105,11.8410911032832,0.6540144752964229,20157.128478796043,0.5054720284474834
BG,0.25007399413763703,8.827306850462186,2.211930384904503,0.2317955846630489,0.18356682091682375,2.989813873803,43837.193697786606,1536.3415434573794,38381.31136382204,2035.7568139653572,0.15986116889265628,6277.269997498728,0.948272850528274,2.4491373307377504,44289.150299580215,184.0854395750012,2.418828281548408,8581.21230319087,8099.9435322318195,0.4488577065590279,38601.85791523889,2.240415790068633,39612.508189133936,26991.482796478882,1.560781667287198,0.828219295365632,95.31704565268866,1.218677316635831,39606.5653075366,0.9078719591713326
CH,0.20390250002664084,10332.676382834548,1.5825168627613901,0.22637408384433594,0.1441687545279488,2.43118375233317,35485.177471449766,8200.855282584624,37518.36716200719,14308.609153143867,0.12022607454771368,14750.043462228534,0.6266819575420866,1.6481716275894047,34872.32575423495,4576.6613637694345,2.0555539143970583,13864.464853348365,17910.559427823,0.38200520781714387,33548.15492067057,1.252644617711951,33072.8902392038,30298.550167901973,0.913829340932338,0.6596661403921797,540.8280109649386,1.3947193237253435,36398.55070504045,0.8212137139758351
CZ,0.15499241976919786,1.051605358946529,0.7373205410234666,0.15928105713574292,0.12098158800187894,1.440723143094002,42.231227683112664,43.92686482202291,101.0117156437952,0.8350988931730331,0.10326957991921094,180.36098357312022,0.38081449906177844,1.2226615946687407,16.498225176292713,26.79266251598518,0.86494903552392,2.115252631263565,401.8796678592509,0.2425389834100754,4786.874138042,0.4704957072595803,4.0755683886441485,7.167096594254312,0.4855786275027749,0.34917429975130604,27.085081608648938,0.6158487290332039,28.16318487684135,0.47309114723434426
DE,0.17886540434615972,0.5141552692966607,0.45080622899402945,0.1804284425986833,0.13495166934747646,1.4799539303419664,62.154219473531015,7.764438334386604,23.76844370609087,0.604172083800236,0.11742376638391425,13.63548042336792,0.3473244995230387,1.2881037883107298,22.50522863549589,7.452960638543619,0.3934058872547226,0.7832124010455519,26.363354881949626,0.2653172298947265,2.8911375267566246,0.4424345349390278,3.2107658300466393,0.9175554612766378,0.4281539394802869,0.29230923459831687,10.420966348416666,0.6106854742203671,16.60439734164219,0.43183421911655007
DK,0.3975719868495728,0.847786851327231,0.7648514367198063,0.37302323643830526,0.2971089015799995,4.512147289712085,36.31935597404617,876.9685192940582,12.815183353334977,1.3738647060916156,0.2536056312525792,1103.059583538967,0.5923898167391937,3.2862734142489463,17.975914735337568,251.48389342266438,1.8830169450150258,2.0048576002259155,1145.6441666627818,0.5070477469323401,2.379835122476602,0.9971163962074655,1.9244841642422452,1.662236247213554,0.6558170203851807,0.8365913185875302,99.7632412195102,1.4078318230668505,7.840415181152075,1.092955822490012
EE,0.15481325550444688,0.6224517334387818,0.5339052967195839,0.16104098091273295,0.11907130297676938,1.9949958416771691,183.47074653984413,97.48957972090535,31.15178051720645,0.5357695731873169,0.10143564532920911,271.63486256491313,0.31066849186216594,1.4065507350246378,91.28066234979207,68.5482943062575,0.8553132960167592,1.8458946739265483,584.212773293304,0.2517945484986123,3.198544381616543,0.49599360787486735,6.074760773465411,2.6818339483271187,0.35038391916841727,0.3540012356394631,34.73389508148153,0.63876326527478,28.63205702475829,0.46896773192254326
