,20.0-,1.0-,3.0-,15.0-,30.0-,25.0-T-H,0.0-T-H-I-B,3.0-T-H,7.000000000000001-T-H-I-B,0.0-,25.0-,1.0-T-H,7.000000000000001-,30.0-T-H,1.0-T-H-I-B,5.0-T-H,10.0-T-H,20.0-T-H-I-B,0.0-T-H,10.0-,10.0-T-H-I-B,25.0-T-H-I-B,3.0-T-H-I-B,15.0-T-H-I-B,5.0-,15.0-T-H,7.000000000000001-T-H,30.0-T-H-I-B,5.0-T-H-I-B,20.0-T-H
AL,94.98391456031192,714.6347748918045,683.6367713098257,163.10125220053308,80.45331992886176,120.67832239584583,138.7641604537824,156.2673139630142,172.2191133431827,668.5867102241765,80.45788139601474,142.87718339502467,564.6591287477834,117.10377403903809,143.008795827708,161.96173814363308,171.34665448861637,193.5570936679885,137.97567989170062,214.29147362111848,179.2507263610493,201.70647632979814,161.16066576325258,191.7674596934063,622.664341958535,177.49243553084315,167.64394547298684,191.46715440818573,176.47122778448235,137.6546832798237
AT,792.5024201124045,1276.653244737544,1056.3807275399106,792.5039812709191,490.70699818647597,0.8509354782186725,2.50372352049818,2.2265696479889536,1.571670906822414,1180.1135629492542,650.7795294071913,3.720658863014012,792.5042554777011,0.8460093029237974,1.1423162736534334,2.3783525919488637,0.31723052631832155,0.16370779967408594,6.559831703631395,792.5035626798401,0.2583917731396822,0.10839597927632397,0.1868833730217037,0.1761843931107585,792.5038827177012,0.3865640716184192,5.225518323924548,0.16855253822083585,0.8550479922858333,0.5002677302124668
BA,309.75937372719505,426.66201111680493,426.6659077560113,358.6810887706509,107.10564878288925,243.28678075594362,534.5676929441094,590.3061568240864,547.9727265604292,426.66021212322266,107.1048637257186,574.7229715390944,426.6552320919889,78.44159462779487,528.9134769663808,602.7442397866889,561.0126685499257,562.085634064496,567.5794050010348,384.7646555411568,556.0964202842257,530.5619852119362,543.5779612588651,573.9035327624381,426.66778753931254,488.765778622742,582.7515150859886,415.81234015577445,543.3475966557953,252.08570208943843
BE,582.7775334869704,1840.6154166647416,1063.6384658470956,582.783206989222,582.7752134027495,0.6983975083172638,4.343238773077876,1.6643308102759105,2.3348760023641306,1505.405394204417,582.7765802857917,3.037737162506117,876.8458515545437,0.7781844186225985,1.9271544745683877,1.4979528827132866,0.08702585255761244,0.14601675771451753,5.58118975974181,628.5352466245337,0.32500754997636255,0.10550260279414721,0.29958257659858656,0.19398337247763034,1048.7033867720825,0.09022242255934083,2.1266124611788477,0.16083172615511004,1.2197936633302273,0.13487507510291577
BG,651.6269367407253,1642.736052818994,1594.0222051045776,651.627637365527,96.9673416788188,1487.766215066292,1159.3464817967276,1498.266822223479,1314.7216461300206,1235.3325756392362,96.96544708039893,1486.647035844093,1331.4648598440328,729.1510800267931,1238.410367344718,1508.6439252136017,1521.621774464616,1318.3799854302997,1481.083234285091,1331.4633331160155,1296.2579720911992,1320.0383035268578,1344.6354010931298,1306.9109254086172,1331.46577749715,1528.1112321434114,1520.1305191001388,1311.8482935820323,1328.392762760176,1516.5970299725386
CH,306.5931938029315,2311.9442945370124,1237.4952802735454,306.59212590920674,306.59198836873384,8.780733823582109,7.252598784940169,2.8965852913248424,2.444528147545287,2496.152395317529,306.5912969124394,3.521096827712432,1048.3088556707567,4.532711482447958,3.3048735580389215,4.114180537396029,217.1875052803715,212.4119057359139,6.294721072113918,444.8546537250476,0.3209171023279114,112.7850444959326,0.3771676888412258,0.8239449952626852,1237.4923648930446,127.03474251544395,41.10230295225065,149.45271645268483,1.1341725509994154,132.26666688417828
CZ,132.3647243381955,1442.7046211366376,1063.1227856327243,132.36558994695469,2.3026070198211332,71.37765628755385,12.471931624013365,358.7436890345559,23.657599694399384,789.4259117532624,17.746140271599536,152.7258606923782,613.7737719770719,5.167069130016023,5.122334861945176,698.9503088877958,1033.1957134512086,636.0262748584321,85.34592304233175,421.7773281449864,228.5155455587986,630.53236026251,3.733470869914018,629.9345447358676,677.6517079825476,882.1339656699206,976.110415335727,646.3676827122353,3.313686437522444,879.0898674755584
DE,1753.599505448642,8899.332676363645,8857.922614015088,4384.1303425609985,1655.8860636788659,2.656875727708849,3.0668842088868766,2.789623401174809,1.6151564268645702,7699.326792893761,1753.5516777518073,3.1278242554453053,6415.015394900134,1.9562770377278804,1.33051422284902,4.296333861211016,2.6486262558636042,2.08538662323389,4.827797591504929,5791.624730781039,0.3294591761915434,0.678685593695511,0.20513571569570999,0.41967228009052626,6924.4245735881605,463.02355242891883,34.859772589059844,0.773348929818509,0.867359213766788,6.267388796143933
DK,546.8471083440004,774.6580449487938,723.0280880432049,552.2235835546719,386.9222780329362,2.7038268941241044,7.803582309262422,8.29675208837211,3.140802916182849,805.6531524049419,414.57887831522146,17.133182882409308,614.8582701005091,2.641700675266269,3.6782010327743833,7.454242413743866,0.4452518827010118,0.4029319097329811,32.051150473725016,576.0974490423052,0.539184493443646,0.33435953894879544,0.4526818033542591,0.347688797257187,696.6631467101104,0.34892445218756185,9.31360425732182,0.5476279875250142,1.86928838600282,0.5161304031491952
EE,35.36170970489271,102.0315522671099,67.4655135282215,35.38275758440596,14.545047447955735,91.80171931249359,83.20969433015584,181.589181935347,149.22235931558274,55.826202994715416,17.970833341595593,174.89009206224577,52.43182319145378,5.373832046706591,75.91969611054358,174.76397134958222,174.07154511578574,160.7583869237817,174.53525319688595,52.43009844671642,160.66112171386598,160.79677069487764,56.83868208565924,160.72203420234092,52.44547190771329,173.32583936631954,177.94390858155046,160.83073882105302,73.33623255765374,172.46350936447024
ES,4963.005860964875,11897.812663241992,11515.156990068837,5012.927682658,4647.422532209615,133.5068884098703,261.44748147371826,53.379208043282006,280.02492246399976,13175.990527840817,4647.42236292585,25.218367029582126,9315.236848386992,180.05242577114902,266.7189808209149,258.306365127607,234.51343182680884,46.923604120216936,54.9920422996604,10258.589498101977,277.36459414191177,61.04349176271989,275.50223096658544,207.0295418206776,10306.676448403967,130.9001631047927,253.3972389053528,46.62125595840556,278.18809965661814,149.1361433920836
FI,173.11247158544268,632.1585740619411,194.58252276498334,163.50099348573133,0.590189783512163,0.6923922689131792,15.193001679348612,5.2676607705026655,6.70679175383885,691.665420783639,0.5112286523257602,9.907644424233494,169.3864189566434,0.7816847783402149,5.454812113511742,4.02368569490207,0.15419526681852927,0.21771686057974474,19.558502842820467,142.09606167414898,0.9231103566365372,0.121948362381648,0.6963179789122498,0.26901508121322226,176.19846416202256,0.09563022012462043,4.837627794211308,0.17342709035817508,3.4840043339086844,0.13566441415613212
FR,4088.056723450789,9930.553835535567,5311.754201146067,4088.056413902328,4087.9609679167984,2.3851827932161838,3.386092814561083,2.6997716986855873,1.7763838021911558,5311.701154941338,4088.052277866489,3.103377483401293,4770.479505792469,1.9213596584234354,1.558708916753394,3.727443636348955,694.2455697736046,1212.7930264846605,5.127189064187529,4553.95240207205,0.4692432908430415,996.0689105169798,0.25481236553439995,0.9654464179043549,4969.430525118715,282.43017747668705,98.58388573923239,732.8642018199911,1.0058428612955603,108.38520176976503
GB,1696.3291328418054,6834.215015168445,6238.260449060385,1723.2862198952457,1522.0312944687337,1.4946754362649068,241.08944635738544,12.12485420883013,132.30198480982892,6417.264576727783,1522.5770921745411,17.74913785674979,5259.039698562539,2.0349320559062076,204.61951615589356,10.810298413713571,0.6848475239981355,0.8745059480521663,35.50480712526938,4176.711719311102,52.05053285542795,0.6449189681361482,228.7057122601836,2.9476356880182504,5881.209753755407,0.25050963687133576,14.88994026446629,0.5057936277526581,212.0787544483344,0.2764708658871352
GR,1330.4053870824193,3201.426041307685,3286.856464344256,1892.3377134249934,1105.2648037680178,3851.698756931892,3306.6938812079143,2685.308629178844,3279.565404558184,3270.1964952992435,1105.2643126215712,2707.5438002923524,3027.3806777345612,3690.1237778955096,3285.863134128566,2581.198245388368,3059.2037831628195,3638.9651739612036,2714.2370665639055,1969.0183764565265,3468.534639795458,3938.6920256453404,3240.00867996452,3471.1103043186463,3444.7589699473792,3466.7908134032173,2704.7983189710367,4082.1982230087656,3201.1613275652376,3664.39193426864
HR,644.6932116006224,938.56864731712,945.9050273938266,822.1716921739301,525.2722991580457,271.7274875481607,178.82213572568617,478.75429225920664,362.0741670248481,899.3294419971927,525.2680531500273,425.4164830522251,926.6215174524402,30.9308325388349,182.6040967139235,486.5238827077991,573.7537804584097,684.3361427185002,388.7346057428422,899.8512493076414,479.59206424086216,499.2649825488003,306.6802441327989,551.6454804100375,943.8651596795794,356.82407575006084,497.26146333486264,332.6411622452656,324.70850134978855,356.7107194483764
HU,338.01172553394775,1302.3076729439567,1302.3018490671775,759.994020687919,338.01239304747014,676.0912835976127,385.9275421709541,871.0131355864236,711.7368800439552,1302.3005879397112,338.0115526997363,624.4235182887371,1012.7610570531155,10.60178359451698,373.6692181821679,972.584283672909,960.7183192718081,1259.5628547274348,516.5041500741337,926.0736176055615,979.8802457320719,1179.7003224628809,592.2270572465239,1189.124063494799,1148.6134243763163,1045.5448354124428,971.8743185183044,758.0395658815075,657.301864067943,1185.7398443465609
IE,106.30733947341548,783.6234526757332,685.6809292574728,146.19836581452546,43.35422915785214,1.0335147339013284,13.489046981296669,6.306712014108928,6.344500630848426,685.6799866498028,43.35391584168139,9.422139919512574,572.2363663515237,1.5874658799438446,4.447054497106432,5.326014359994512,0.40936313908917876,0.4603366467808946,18.784530793185617,458.5630490641945,0.9145969628130531,0.4038605897002455,1.043987345778787,0.7667549541029933,661.6580671525587,0.2033955729744526,8.014743548786825,0.2994711447455472,5.124781826690017,0.187779894283129
IT,4639.782027960499,13635.040333642284,13655.76900377623,7311.197060752973,3697.8505141524115,434.4295661292875,425.63885771601963,314.08079526561676,344.4651236583844,14970.479224806159,3697.857033297163,318.29272939395116,13419.725093662684,364.8201140130373,398.9850728313448,264.97152549374636,489.7344834093386,1255.6079087547794,329.3044747650259,9844.974621784306,376.73416743927726,830.8254014105521,280.0270640908708,524.7301470685672,13673.504411182123,871.6535136262469,414.5582938095271,678.3234388233968,299.5264648330438,1473.665550549853
LT,21.811125304154242,141.2502153760074,120.39581836769874,67.37112615330861,0.9604371780997896,2.652076968144826,5.709210512113882,9.11329915736581,4.177450826983024,63.318793824352284,0.9059920940493664,13.257860040539272,113.01021243282982,2.552191079729322,2.296104728798542,12.800262001177,3.205912570182826,130.25113342593184,22.329322572469323,113.01038353448942,2.5398628703467656,130.32573102549685,0.4060920157912688,102.27103971064894,113.01069847687505,3.0541205257446666,37.99032767060058,130.03102383343136,1.6751050966965708,2.9447465482456483
LU,19.26102211270049,96.98407163711875,67.0413895583492,28.81919242462512,2.7098227883020467,0.697030665813183,2.8929186170002814,2.095952328585899,1.8122121316184971,91.7199693508628,3.005762440311158,3.841074801579697,53.47019379344302,0.7783703991624645,1.306007631195334,1.8448304310812427,0.09396201471239957,0.1483593851364382,7.111443430014214,33.85885150501266,0.2807724888990608,0.10130112256431355,0.21182481907187234,0.18471170900010592,67.0397248797401,0.08672969913994537,2.4558057305630494,0.14511293635061331,0.9837076559220757,0.12264194437641004
LV,79.55551234644692,126.09460021466106,94.77931910033641,80.74802206980694,1.0760876753406392,281.53475387479716,206.56474955016188,400.580433852932,315.7496057480167,93.44516930165504,1.1109668078358514,330.20805034550983,82.36364827483101,8.887816436527489,203.8005257371296,444.930360690229,376.8263502866502,533.2852456449357,336.770212752087,82.36361612993629,323.67201952570446,323.88083867289106,262.919281065395,410.43511670012543,93.4421541419406,281.7945417637077,540.2306871073675,323.9549233023091,269.71991253085076,281.8651422068299
ME,98.79216700558328,191.56789022104013,206.60989705148765,98.79312231671668,20.69587787231458,94.88591365519555,118.97479801218982,157.00119724192055,138.58038279090704,118.92066199001725,20.69801242056879,155.56410767785923,118.9198413446255,94.82228569132864,118.61084516904393,158.36698874551521,167.18930149102084,159.99268877558777,149.70657512503772,118.91670931944009,145.92339978514607,160.61319111143226,124.44737165495633,151.54766717170816,180.1660065844633,156.9362702173805,165.2292465889438,141.17480215593142,132.18906930070747,142.05525277565727
MK,105.9478803478144,668.1904520641159,727.0736295875009,139.37168494571245,66.40712804137127,124.91254755506681,247.3047539520975,253.72521917233166,237.71886616280725,797.0577595319294,66.404356012638,241.4216146803274,283.4598431042582,87.94762272276928,242.47095672239413,261.20393738647357,262.0032378864758,258.67671884876376,236.93916861279953,283.4580702553012,246.17086040801053,246.32303454426176,247.50647691434628,260.28846005489135,543.6389997485387,251.52513562214216,256.1897393223926,222.4550031219181,242.6675167116843,271.19395723130066
NL,749.7087872101762,1935.3351947997978,1929.2642604756793,858.5869015377526,749.7064450427281,1.0378651630920885,7.69198016842996,1.87644203742132,2.856788467803186,1991.7565174823026,749.7074988276497,3.2112279082455495,1810.0620351810726,1.1359154284642092,3.717177877875966,1.6591492169323907,0.09633750394254215,0.15254328534780362,5.912859324248591,1005.3287131066074,0.3374112083225333,0.1082951223365263,0.4403078366293549,0.18213787897413958,1810.0558913204882,0.12371292303121634,2.3735839418753057,0.19009778304338754,1.853440887624835,0.20316714277725115
NO,0.1833982335094939,0.2226324094679518,0.20886755692019923,0.19778197756728638,0.17720149802187657,2.2079149232564856,1.7944761506899733,1.3211841969505969,1.6600115389638597,0.2755232501601441,0.16058977781157757,2.135110274541699,0.3263599225706162,2.341666531102484,0.8858210375402402,1.4208130946819453,0.20018965996417007,0.2407255789862272,3.621286804223213,0.32455666554030804,0.4014230211053692,0.2562835873938445,0.15456884633538306,0.22160762634611075,0.38076600723910253,0.20647596281208652,2.926049785295808,0.3624397857527288,0.8887662647444914,0.3326398643623523
