,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
X Discharge,0.0,11.523,3.267,0.0,0.0,0.001,0.905,0.161,0.074,19.775,0.0,0.989,0.017,0.001,0.781,0.078,0.001,0.002,1.289,0.0,0.021,0.002,0.245,0.0,0.799,0.0,0.021,0.0,0.121,0.0
load_coverage [%],0.0,1.252,0.355,0.0,0.0,0.0,0.025,0.01,0.003,2.149,0.0,0.057,0.002,0.0,0.023,0.005,0.0,0.0,0.073,0.0,0.001,0.0,0.008,0.0,0.087,0.0,0.001,0.0,0.004,0.0
battery_load_coverage [%],0.0,4.092,2.87,0.0,0.0,0.003,3.887,2.474,3.26,2.993,0.0,2.685,0.413,0.002,3.797,2.096,1.37,1.828,2.842,0.002,2.994,0.851,3.523,2.599,1.526,0.64,1.841,0.12,3.392,0.162
G_discharge [GW],0.003,34.532,9.73,0.002,0.003,0.022,16.406,1.764,0.815,74.549,0.002,4.561,0.094,0.019,14.187,2.646,0.045,0.204,5.807,0.002,0.19,0.273,4.293,0.004,2.517,0.002,0.254,0.004,1.608,0.002
E [GWh],0.187,6173.77,1181.373,0.151,0.17,2.212,547.064,78.8,32.602,23450.897,0.155,503.95,4.701,1.895,471.111,35.305,0.43,1.468,650.455,0.174,7.686,1.85,138.519,0.282,260.301,0.164,9.986,0.289,57.801,0.222
G_charge [GW],0.001,57.994,15.791,0.001,0.001,0.012,6.49,1.07,0.484,132.168,0.001,6.388,0.09,0.01,5.572,0.567,0.006,0.016,8.179,0.002,0.125,0.02,1.826,0.004,4.054,0.001,0.151,0.003,0.833,0.002
G_battery [GW],0.003,58.765,42.091,0.003,0.003,0.159,214.327,86.921,172.159,42.03,0.002,94.908,6.555,0.067,208.751,71.871,47.003,89.717,98.506,0.038,154.178,43.061,189.807,130.451,22.343,24.024,62.049,9.097,179.254,9.105
E_battery [GWh],0.008,340.134,237.642,0.008,0.006,0.478,1260.028,522.898,1017.986,240.112,0.005,565.268,32.722,0.179,1233.941,440.253,292.01,572.398,587.13,0.121,927.807,269.566,1123.112,798.045,123.046,134.439,384.497,35.512,1065.276,31.648
G_homebattery [GW],27.471,82.149,73.066,35.353,22.092,12.637,12.012,13.201,13.164,75.423,22.391,12.544,61.682,8.065,12.014,14.307,19.158,19.487,12.386,52.264,14.069,18.385,12.555,16.835,66.885,18.647,17.315,17.348,12.683,18.56
E_homebattery [GWh],94.258,505.842,427.045,133.089,67.859,47.113,60.464,67.986,65.654,437.28,68.775,64.217,322.679,28.821,61.107,69.361,85.845,95.699,62.519,245.139,70.575,81.181,62.8,80.326,362.81,78.091,80.171,65.554,63.421,74.577
G_PHS [GW],56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
E_PHS [GWh],1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69
G_electrolysis [GW],0.0,0.0,0.0,0.0,0.0,2.207,1179.115,117.542,679.768,0.001,0.0,150.645,0.0,0.76,1095.9,82.163,30.109,169.425,177.775,0.0,491.316,42.593,961.215,351.607,0.0,5.677,58.393,18.408,811.152,3.657
E_H2 [GWh],0.073,0.053,0.061,0.062,0.069,408.024,9578.76,2042.003,8025.865,0.066,0.062,2193.63,0.071,401.461,9051.664,922.392,427.556,970.115,2409.57,0.066,7112.497,399.611,8379.453,3753.196,0.078,405.797,580.431,379.661,8268.365,410.874
avail_onwind [MWh],121979436.407,193912685.459,170548593.1,124765596.158,119901372.806,190820885.029,1009792572.853,453447372.603,873276928.816,256505675.536,121007712.434,534088477.639,145309689.971,170659237.948,971414196.1,399641959.821,318817797.162,497096207.791,574516965.764,137744335.135,807469247.863,350291525.274,921515222.027,656855620.822,154105906.977,246621764.632,364095171.112,298702411.781,898301575.611,226867833.593
avail_offwind [MWh],197136186.976,313683776.74,311464589.038,246650152.155,132741907.395,321633516.514,932167545.343,401656463.988,544748859.576,326815731.008,136748095.965,413887682.115,307581958.877,279817226.048,882847477.692,390607448.798,365570189.671,402940660.723,419108787.36,284006832.135,457872548.18,377414869.578,787200237.35,425102401.759,314662517.912,353022897.701,383156057.374,365322575.014,665133074.98,346603182.639
avail_solar [MWh],161496184.105,336497435.018,308093305.878,189201105.148,144451313.724,371152225.338,1090464766.213,544511588.661,861451997.311,308839570.674,147005783.712,563663478.324,249930616.639,355620687.579,1051392879.05,517142489.741,468265433.475,584156664.572,577525046.955,224049174.413,772777562.874,494009502.821,982049717.289,712189790.515,276215475.334,416658814.771,498118525.485,445087636.628,910891412.998,396038295.31
used_onwind [MWh],117352780.974,171160285.203,144747688.836,116425732.753,116801655.941,183062362.292,991928724.286,419064473.485,837744764.48,243249841.703,117704554.369,494635138.538,123868042.879,165872107.627,956807664.184,368527376.044,296323902.126,472254531.66,536491331.893,122463422.186,763949110.344,332935144.066,908578732.666,617397832.681,129196229.569,232939569.901,336995066.857,283704247.245,876888991.602,213898777.901
used_offwind [MWh],196854186.046,300975336.169,291345868.438,245031457.466,132720607.208,320967248.552,894391138.946,389185297.056,527982151.773,317211378.034,136698596.768,398641422.298,295765598.062,279503533.952,842498150.216,381284027.997,360266557.529,396800240.165,406501413.066,278136257.411,444008339.2,373110658.831,746081470.172,414107013.056,297904391.391,350881571.641,376590367.012,362494310.728,634254420.141,345003556.787
used_solar [MWh],159875177.712,326702716.624,299043841.609,186346516.969,143722899.146,369093321.969,1071543444.986,534311543.396,847245068.397,303497988.236,146144669.994,551819211.21,244988666.922,354437077.358,1033759378.309,507534394.03,461751616.974,578210385.301,564098830.774,220047029.103,761331961.217,489243492.002,965765045.742,703288188.907,270036687.887,412907453.416,489095376.859,442031175.273,895942337.819,393319293.036
gas_OCGT_gen [MWh],45177155.7,7415668.5,25947021.3,48698003.7,35920964.1,55421865.6,6278066.4,5716981.2,9925245.6,-0.0,36379364.1,4259678.4,37698121.2,65026212.9,6790866.0,7321373.4,19060935.3,34325481.6,3810482.4,43346514.9,13607493.3,49024992.9,9788545.8,21765264.3,36029312.1,40794781.2,11088733.2,53190533.4,9568031.4,46934077.5
gas_CCGT_gen [MWh],795587833.5,32484297.3,92218765.2,575733175.5,1044819540.3,227054478.3,235324.5,5969068.5,666593.1,-0.0,1022908353.9,4227521.1,247494898.5,296124606.0,255472.2,9976692.3,38640817.8,101514056.4,3616486.8,368429253.9,11418765.6,254991367.5,383439.3,32236928.1,163905747.6,81984297.9,18090550.2,328736679.9,418682.7,144822563.7
coal_gen [MWh],624.3,20.1,84.9,354.9,878.4,10063.5,1586.4,769.2,1543.5,-0.0,677.7,753.3,136.5,12195.0,751.2,1398.0,171.6,351.0,1173.9,181.5,277.8,504.9,164.4,267.0,117.0,321.0,2155.8,795.9,927.6,573.9
nuclear_gen [MWh],495.9,16700828.1,953.7,492.0,427.2,18192.3,73942753.8,48680.7,50034934.5,61564974.6,393.3,482087.4,615.0,11629.5,74585916.0,88595.1,2042.7,2306.7,236280.6,492.0,22860100.5,1807.8,61502039.7,13095789.3,792.3,1593.9,70561.5,2003.7,58671858.3,2685.9
gas_CHP_CC_gen [MWh],-0.0,-0.0,-0.0,-0.0,-0.0,12708.6,7607.7,311631082.5,3691.5,-0.0,-0.0,241214268.9,-0.0,7303.2,4031.1,359154036.6,305926673.4,1124.1,214245744.6,-0.0,1056.9,1251.9,603.0,988.5,-0.0,282334019.4,335485476.0,2134.5,2365.8,91267250.4
gas_CHP_gen [MWh],-0.0,-0.0,-0.0,-0.0,-0.0,446491791.0,45407653.8,69872518.2,91875902.4,-0.0,-0.0,78354537.6,-0.0,516246811.5,48167770.5,70160018.1,129352326.6,204636851.4,80170479.3,-0.0,119450022.0,280895139.3,57837781.5,150699247.8,-0.0,193004428.2,94540490.7,499914533.1,69667170.9,330166148.1
