,20.0-,1.0-,3.0-,15.0-,30.0-,25.0-T-H,0.0-T-H-I-B,3.0-T-H,7.000000000000001-T-H-I-B,0.0-,25.0-,1.0-T-H,7.000000000000001-,30.0-T-H,1.0-T-H-I-B,5.0-T-H,10.0-T-H,20.0-T-H-I-B,0.0-T-H,10.0-,10.0-T-H-I-B,25.0-T-H-I-B,3.0-T-H-I-B,15.0-T-H-I-B,5.0-,15.0-T-H,7.000000000000001-T-H,30.0-T-H-I-B,5.0-T-H-I-B,20.0-T-H
AL,328.5385920232973,4116.294571523589,3937.7381125942998,936.4643848325479,241.3638403214198,362.04268429956215,798.788580288253,904.3453064544279,991.7754539483847,3851.061626657785,241.37807320476426,825.2525272839054,3252.3863708589256,351.31430677717225,823.3515005496635,1293.2623983756507,1479.8695775821473,1531.582465913639,798.4287225852289,1234.244487668806,1032.461761097906,1741.5340949178837,928.2270036452627,1104.651403921242,3586.5264071139673,765.7611548301243,1318.1409227209444,574.4022395671531,1016.3371313188103,413.0722151277858
AT,2377.5071573844816,7353.576051592943,5505.835458811472,2377.509699658729,1472.1209839831172,2.5503668540808264,13.210835652690028,6.679399351751959,7.005197107364008,6988.292775516503,1952.3385772290148,11.163007453823546,2377.511576645792,2.53283075667731,5.464505419354214,7.135079653719131,0.9517117857644264,0.4911301911698943,19.680729260172892,2377.5103522005543,0.8797477214401043,0.3248014006226143,0.8719402553979534,0.5286061137661063,2377.515715999193,1.1596921431963478,15.6766428811601,0.5051716106514489,4.696508363580075,1.5007559499671574
BA,1537.2421311289693,2457.572947299142,2457.5799722210872,1830.7720747414226,321.31973697176824,729.8654487256358,3071.9092203778782,2988.5126998669484,3155.6535988507426,2457.5693690427242,321.317715427348,3001.873891172677,2457.5065934095496,235.3260158109083,3043.3090055608855,2680.722929638041,2500.283597525739,3237.4065963114685,3058.13051218613,2215.753970944418,3203.0277556289507,2321.394117064589,3130.3081400153455,3305.61990320042,2457.583319872177,2137.8150959399068,2594.0075490520044,1675.230895003628,3128.0922256356394,756.2615196593564
BE,1748.3323702752218,15902.692490205534,6219.6591443026555,1748.3495328167783,1748.325554789345,1.5261305878060065,16.002766302714278,4.9926764870180715,8.533580938215177,12846.188270852692,1748.3282252455326,9.115080784440357,3978.170296707454,1.2805819319205964,6.337347279702787,4.4933180618334045,0.2610657898836574,0.43801628570112205,16.744102356968384,1888.0366375457363,1.1991409765744776,0.3159866034011714,1.0690066923514732,0.5825376804701351,6040.464579040949,0.27058527067987104,6.378877786875686,0.4816306883749699,5.477051657865989,0.40397865207653194
BG,3618.866522701957,9462.154683552788,9181.555684686546,3618.8713555838917,290.90875864349636,6739.082610984452,6675.796882127532,9363.652649738406,7574.171541140205,7115.576384142002,290.8973514383722,8745.622689288992,7669.204986216365,2187.4391643496756,7132.007231573954,9052.041475837392,8941.187835333214,9534.14206592572,8567.174286802088,7669.199080694558,7467.30030721299,7603.4500787165825,7745.017393209509,7531.365165931277,7669.219711414599,7026.188790122546,9120.78632079797,5424.834542286402,7651.726911049241,6939.68969574184
CH,919.7790976982901,13316.790332282726,7127.961176434884,919.7762244768674,919.7752546223772,26.342858034602948,26.065526323514398,8.692289886974924,7.743462733546597,14377.828677955262,919.7735808793639,10.566731420727871,6038.246765442221,13.601649422907464,9.959095702978995,12.343940378937244,651.5625552076531,637.2363064069922,18.889960364745114,2562.336930519067,1.1447098425283726,338.3553154991261,1.1876802916650864,2.4723659056392147,7127.943424270933,381.1042637359298,123.30794053525062,448.35827071180614,4.575257592269867,396.8000638608507
CZ,397.0966988042506,10857.985499572549,6123.60681825975,397.10085822470404,6.907813168151131,214.1203944270661,37.95004836923312,1076.2313786776535,71.57145301478309,4755.6644280751725,53.23841275865489,458.17911744627787,3535.3675466101777,15.500116863223719,15.443951030694837,2096.847805837871,3099.587118718486,1908.0794956626967,256.03643026243986,2133.5708202086257,685.6473180911825,1891.5972142948558,11.210705276851659,1889.8045365634457,3903.283848447417,2646.4019856132104,2928.3344445868,1939.103845024905,15.533528033493877,2637.2690432898503
DE,5260.806727634327,51260.152220781776,50638.823470491436,13152.39967049519,4967.664970280229,7.971432584565715,12.800243395784346,8.369426254496231,6.278911512302834,33377.37883593841,5260.655354425895,9.383411954374257,19245.044383698587,5.869503413130026,5.335594235254436,12.88864518048215,7.945894679720223,6.256272023235187,14.483982428380177,17374.87339465783,1.0012286256048784,2.0359935908603735,0.8499033633076436,1.2591547585359837,23466.556237946552,1389.070402005147,104.58208766994977,2.3225451593427087,4.772169857454401,18.799660095072205
DK,1640.5512242107984,4059.7724043478975,3448.991096000943,1656.6701726508286,1160.788156739275,8.11097963909302,23.38808987990894,24.88712300386551,9.41870634005961,4515.9663272867565,1243.736337525731,51.4034378185071,2159.608941579888,7.927248929904263,10.980728506120204,22.35751130481843,1.3358123299512576,1.2075688277936116,96.15481818360958,1803.5691519166216,1.6185135513558617,1.0023850071804048,1.3560597877193068,1.042746247145466,3148.9763148907573,1.0467650397523713,27.942602791876595,1.6425713906580244,5.604256383729518,1.5481972990090644
EE,106.09167292287033,803.5829788812858,388.78901063009,106.14904641380814,43.63334548434025,275.4048812455163,254.42846262355692,544.7716115332146,447.688308004564,249.12003322318208,53.91318463146349,524.6713167921409,208.4509558395398,16.121454253720664,235.492597789381,524.2907755714434,522.214678498998,482.2766875846692,523.609545050289,208.44095122929292,481.99779513804225,482.38982944426715,283.542048973542,482.1654999941675,208.4494222002113,519.9774728357041,533.8326577358604,482.4916109452418,249.67495548920684,517.3902699705445
