,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
X Discharge,4.89,0.014,9.235,13.07,4.593,0.0,0.002,13.856,22.212,0.0,4.577,0.045,19.883,18.539,0.792,4.304,0.0,0.0,0.002,9.936,0.0,3.697,17.879,8.685,6.91,0.661,0.0,1.092,6.982,0.577,27.014,0.003,0.004,2.839,5.446,0.215,23.65,5.572,0.004,0.0,5.384,11.867,0.001,12.592,0.0,0.0,0.0,0.0,14.663,0.043,11.094,0.001,6.06,0.651,0.001,0.003,13.4,0.0,21.756,0.0,0.0,16.209,0.0,0.0,5.111,0.001,12.646,13.783,2.577,17.285,10.477,0.0,25.548,1.264,19.554,0.001,9.578,25.371,9.17,0.169,6.12,0.063,12.31,3.802,0.196,10.579,0.0,0.852,0.0,0.001
load_coverage [%],0.531,0.001,1.003,1.42,0.499,0.0,0.0,0.863,1.381,0.0,0.152,0.001,0.655,1.157,0.05,0.273,0.0,0.0,0.0,0.622,0.0,0.232,1.133,0.944,0.751,0.022,0.0,0.119,0.23,0.063,0.908,0.0,0.0,0.181,0.179,0.014,0.789,0.605,0.0,0.0,0.585,0.391,0.0,1.368,0.0,0.0,0.0,0.0,0.485,0.001,0.694,0.0,0.202,0.071,0.0,0.0,1.456,0.0,1.371,0.0,0.0,0.535,0.0,0.0,0.168,0.0,1.374,0.459,0.28,0.579,1.138,0.0,0.847,0.137,1.22,0.0,1.041,0.839,0.996,0.006,0.382,0.004,0.777,0.239,0.012,0.671,0.0,0.028,0.0,0.0
battery_load_coverage [%],1.747,3.093,1.042,2.014,2.616,3.067,2.719,2.13,1.926,2.373,3.082,3.917,3.905,2.717,2.341,2.66,3.908,4.516,3.248,2.96,1.959,2.581,1.648,1.473,2.428,4.586,3.401,1.966,3.533,3.324,3.761,2.805,1.964,1.888,3.711,3.202,2.701,2.725,3.673,3.102,1.295,4.119,3.204,1.175,3.102,3.068,2.032,2.7,3.359,4.515,2.38,3.67,4.387,3.022,1.96,2.39,1.836,4.594,2.191,3.398,2.03,3.5,3.23,1.959,4.34,1.957,0.704,2.908,2.795,4.042,2.135,3.908,3.067,1.777,2.192,3.188,2.355,3.321,2.177,3.23,2.234,2.719,2.469,3.123,2.783,1.776,4.516,3.638,4.594,2.806
G_discharge [GW],15.311,0.067,45.29,55.148,19.959,0.002,0.021,56.649,73.015,0.001,43.995,1.764,109.773,63.661,11.023,27.214,0.004,0.001,0.014,45.736,0.002,42.244,52.353,25.778,20.307,17.716,0.001,2.889,70.863,2.911,146.221,0.027,0.023,11.417,52.483,1.994,104.227,35.971,0.048,0.0,31.749,81.827,0.008,34.253,0.001,0.001,0.0,0.001,104.207,0.682,65.809,0.009,72.867,2.909,0.009,0.025,45.47,0.008,82.294,0.002,0.001,91.382,0.003,0.001,48.283,0.004,54.972,76.776,8.493,121.344,27.347,0.001,134.838,9.984,79.075,0.007,48.055,111.37,35.181,5.62,33.263,0.786,58.39,26.639,7.392,35.814,0.003,21.154,0.002,0.011
E [GWh],1012.436,3.582,1858.76,2610.781,1158.986,0.207,2.705,3719.336,4687.263,0.239,1290.579,26.973,4654.077,2832.719,281.319,1787.903,0.445,0.291,3.749,1953.209,0.149,1064.254,3395.339,1579.935,1481.221,508.457,0.181,259.318,3031.856,234.615,7442.286,2.757,2.715,883.183,1614.614,118.6,4597.953,2170.116,4.735,0.123,1369.746,3357.143,2.157,1895.289,0.137,0.172,0.151,0.324,4709.607,24.275,2593.901,2.396,3262.031,213.235,1.678,2.85,2251.699,0.415,4759.042,0.255,0.161,4034.428,0.425,0.173,2087.85,1.356,2158.021,3127.629,688.772,6258.014,1911.863,0.341,6514.217,375.545,3416.654,0.815,2512.703,5244.682,1863.988,94.112,1816.714,31.313,3594.595,1075.959,76.544,2542.347,0.386,491.065,0.293,2.61
G_charge [GW],18.375,0.074,37.719,47.17,20.707,0.003,0.028,52.827,76.266,0.002,26.326,0.374,75.607,65.771,5.202,23.315,0.005,0.002,0.036,40.447,0.003,16.058,67.045,29.245,28.196,5.589,0.002,5.145,40.546,3.144,111.433,0.031,0.039,14.624,24.261,1.559,96.841,25.052,0.058,0.001,26.094,49.907,0.016,40.4,0.002,0.002,0.002,0.003,66.733,0.334,39.558,0.022,38.216,3.493,0.02,0.035,49.363,0.005,79.754,0.004,0.003,60.26,0.005,0.002,27.032,0.012,47.691,62.391,11.765,81.737,39.657,0.003,102.984,7.669,63.376,0.01,37.388,86.954,36.78,1.482,28.371,0.482,52.19,19.735,1.227,45.805,0.004,7.424,0.003,0.02
G_battery [GW],25.41,45.766,15.616,30.146,37.853,45.021,95.083,72.169,65.197,87.006,164.524,224.845,200.493,91.277,81.837,93.085,226.156,252.628,187.66,101.682,28.908,92.358,55.876,21.442,35.02,239.894,50.512,28.262,185.292,49.41,191.252,113.748,67.779,64.492,200.768,113.442,142.191,40.427,198.341,45.841,19.33,216.631,114.021,17.412,45.843,45.028,29.119,94.953,172.292,252.164,81.84,198.369,229.333,44.252,67.755,86.977,25.675,241.913,74.54,50.509,29.118,181.354,187.811,28.915,233.105,67.741,10.874,153.887,41.079,207.863,30.318,226.147,155.744,26.237,75.271,113.985,35.047,170.133,31.297,185.239,75.711,94.886,85.769,109.594,110.195,59.84,252.628,195.101,241.918,113.756
E_battery [GWh],141.789,259.64,83.605,161.094,212.475,253.869,576.759,446.071,400.526,505.5,979.357,1257.193,1184.01,550.626,489.243,562.55,1261.49,1455.951,1075.004,605.848,161.748,549.048,346.599,118.849,198.922,1454.4,284.813,162.099,1096.305,278.099,1139.964,610.145,416.926,402.739,1160.902,659.675,838.627,223.032,1161.927,260.085,105.09,1264.493,661.478,93.883,260.093,253.917,167.574,576.422,1030.677,1454.449,504.361,1161.988,1375.757,249.644,416.774,505.321,146.732,1466.334,453.737,284.802,167.564,1075.215,1075.82,161.791,1356.418,416.749,55.98,912.057,232.641,1240.093,173.527,1261.447,928.223,145.743,459.218,661.405,189.789,1009.819,175.266,1067.818,467.733,575.93,516.934,644.085,599.754,377.327,1455.942,1145.385,1466.353,610.281
G_homebattery [GW],70.286,73.18,70.575,69.064,76.687,80.946,17.694,13.963,14.187,14.457,14.083,14.732,15.514,15.167,14.502,16.82,14.565,16.871,14.444,15.35,77.801,16.466,14.231,68.853,69.688,14.288,74.059,71.528,12.355,73.798,14.436,19.945,14.667,14.461,14.114,17.666,13.829,72.422,12.607,73.179,73.942,16.543,17.666,66.708,73.179,80.94,71.981,17.641,12.096,16.86,15.876,12.537,13.724,80.044,14.627,14.587,69.966,14.257,15.055,74.062,71.981,13.52,14.285,77.799,16.876,14.594,69.0,13.785,71.936,14.332,67.104,14.568,12.535,76.847,15.497,17.548,70.826,13.552,73.417,14.283,13.897,17.674,15.376,15.666,19.677,14.461,16.871,12.37,14.257,19.956
E_homebattery [GWh],375.253,421.069,383.7,386.253,452.42,479.597,87.711,62.946,64.343,63.364,75.495,75.671,87.111,74.821,63.741,84.77,75.179,93.183,78.066,77.663,458.403,77.781,70.57,364.54,379.156,76.012,430.877,381.668,56.806,429.272,78.788,90.314,75.174,74.08,72.689,85.366,74.022,415.918,58.043,421.122,416.603,91.292,85.454,348.816,421.123,479.561,384.54,87.46,54.853,93.154,76.739,57.828,73.837,475.251,75.023,63.894,398.143,75.825,76.89,430.891,384.543,69.281,77.464,458.392,92.818,74.926,368.145,75.069,405.011,78.129,358.507,75.196,57.668,448.145,75.222,84.982,400.706,69.151,429.716,77.415,62.382,87.632,79.425,78.8,88.703,72.225,93.178,56.948,75.827,90.265
