,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
tres,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CO2 price [EUR],113.253,117.032,113.745,113.251,116.288,123.303,117.984,117.191,113.531,113.253,371.582,372.03,244.758,246.711,263.11,246.114,254.341,246.912,246.916,245.507,345.391,243.881,117.193,383.279,344.432,116.313,115.785,263.741,345.514,366.876,117.192,358.849,117.776,120.943,267.166,248.191,345.397,116.134,382.388,267.091,262.08,115.389,366.308,263.313,254.377,247.392,263.74,358.853,254.119,113.619,345.426,116.81,358.575,113.252,266.367,366.748,371.977,382.3,108.618,248.113,124.338,267.135,267.147,267.144,371.492,106.207,117.15,112.479,371.769,366.875,248.196,117.779,383.192,263.638,252.18,254.384,124.338,111.154,358.803,383.115,116.812,371.871,383.127,366.367,358.768,124.338,117.773,253.137,358.854,358.481,116.511,263.751,110.123,110.655,345.124,366.877,383.252,247.741,372.028,246.871,366.852,247.967,343.492,267.152,254.382
c_sys [bEUR],131.862,136.832,136.791,141.977,137.716,138.067,137.89,136.833,142.012,131.862,668.397,668.636,349.63,349.786,357.954,349.743,358.859,349.795,349.794,349.708,646.134,349.483,136.833,687.313,645.814,142.061,136.825,358.065,646.107,665.272,136.833,659.279,139.346,138.02,369.272,354.838,646.14,139.305,687.298,369.276,357.859,139.259,665.083,358.02,358.861,354.788,358.063,659.279,358.85,139.189,646.039,142.062,659.258,131.862,369.248,665.263,668.638,687.236,131.746,354.832,138.077,369.279,369.279,369.278,668.16,131.657,136.833,141.934,668.522,665.271,354.841,139.346,687.354,358.054,358.662,358.863,138.077,131.834,659.276,687.295,142.062,668.593,687.316,665.194,659.273,138.077,139.346,358.786,659.28,659.196,139.332,358.058,131.804,141.878,645.972,665.272,687.32,354.813,668.635,354.74,665.271,354.825,645.585,369.279,358.866
X Discharge,0.001,0.048,1.303,1.348,3.33,0.577,2.738,0.0,1.264,0.0,2.122,0.001,2.302,0.226,1.138,0.79,0.063,0.003,0.002,1.375,0.002,3.377,0.0,0.001,2.341,0.137,0.509,0.002,0.305,0.0,0.0,0.009,0.0,1.57,0.001,0.003,0.004,1.03,0.579,0.251,2.096,1.476,1.98,0.805,0.003,0.815,0.003,0.0,0.518,2.234,0.865,0.0,0.626,0.0,0.916,0.305,0.072,1.358,2.128,0.091,0.0,0.016,0.003,0.005,3.422,2.982,0.014,1.65,0.947,0.0,0.002,0.0,0.006,0.215,2.183,0.002,0.001,1.092,0.041,0.332,0.0,0.668,0.168,1.117,0.119,0.0,0.001,1.279,0.0,1.211,0.652,0.015,1.503,2.182,1.311,0.001,0.001,0.421,0.0,1.563,0.043,0.196,3.481,0.002,0.002
load_coverage [%],0.0,0.005,0.142,0.146,0.362,0.063,0.297,0.0,0.137,0.0,0.071,0.0,0.144,0.014,0.072,0.05,0.004,0.0,0.0,0.086,0.0,0.211,0.0,0.0,0.077,0.015,0.055,0.0,0.01,0.0,0.0,0.0,0.0,0.171,0.0,0.0,0.0,0.112,0.019,0.016,0.132,0.16,0.065,0.051,0.0,0.051,0.0,0.0,0.033,0.243,0.028,0.0,0.021,0.0,0.058,0.01,0.002,0.045,0.231,0.006,0.0,0.001,0.0,0.0,0.114,0.324,0.002,0.179,0.032,0.0,0.0,0.0,0.0,0.014,0.138,0.0,0.0,0.119,0.001,0.011,0.0,0.022,0.006,0.037,0.004,0.0,0.0,0.081,0.0,0.04,0.071,0.001,0.163,0.237,0.043,0.0,0.0,0.027,0.0,0.098,0.001,0.012,0.115,0.0,0.0
battery_load_coverage [%],2.03,3.09,2.935,1.741,2.939,3.324,3.035,3.103,1.777,2.029,4.551,4.594,2.311,2.364,3.195,2.334,2.719,2.393,2.392,2.324,3.668,2.279,3.102,3.23,3.616,1.933,3.034,3.205,3.667,4.516,3.103,3.908,3.067,3.226,1.957,2.808,3.667,2.978,3.226,1.961,3.184,2.921,4.5,3.193,2.722,2.769,3.206,3.908,2.711,2.864,3.652,1.959,3.896,2.031,1.949,4.507,4.603,3.212,1.866,2.789,3.4,1.963,1.964,1.964,4.539,1.751,3.097,1.673,4.558,4.516,2.808,3.067,3.247,3.2,2.655,2.721,3.397,1.967,3.904,3.214,1.959,4.6,3.229,4.491,3.899,3.398,3.065,2.688,3.908,3.872,3.024,3.199,1.93,1.601,3.64,4.517,3.234,2.776,4.595,2.763,4.515,2.783,3.615,1.962,2.722
G_discharge [GW],0.003,0.184,4.243,11.072,30.864,2.911,22.272,0.001,9.984,0.001,45.254,0.011,18.507,5.702,10.167,11.074,0.788,0.057,0.039,13.724,0.033,25.341,0.001,0.01,39.154,0.758,1.523,0.041,10.779,0.004,0.002,0.411,0.002,10.88,0.008,0.102,0.07,4.319,13.757,0.939,14.101,6.492,24.669,7.351,0.046,9.814,0.055,0.003,4.455,8.753,21.366,0.001,12.051,0.001,3.432,5.213,2.093,19.632,6.071,4.946,0.001,0.068,0.02,0.027,58.642,8.963,0.068,13.003,25.237,0.005,0.058,0.001,0.054,1.995,20.283,0.023,0.005,2.888,1.709,9.976,0.001,17.813,5.619,16.099,3.966,0.001,0.008,11.349,0.004,19.158,2.91,0.463,4.172,19.485,28.765,0.021,0.011,8.713,0.005,11.452,0.685,7.395,53.059,0.017,0.022
E [GWh],0.205,15.035,1121.283,417.609,2828.315,234.637,1948.137,0.048,375.551,0.055,2423.341,0.207,1296.632,74.266,879.757,280.028,31.124,1.04,0.59,592.046,0.577,2759.385,0.038,0.34,2200.514,27.7,215.897,0.637,135.658,0.099,0.133,5.279,0.077,877.708,0.276,1.112,1.465,374.403,358.82,147.449,2351.337,678.258,2857.836,588.428,1.484,436.442,0.897,0.072,344.814,1419.614,497.969,0.053,488.94,0.045,638.168,271.926,32.31,1663.383,879.253,30.76,0.051,8.926,1.562,3.252,4759.864,1645.936,3.661,548.566,788.56,0.127,0.703,0.049,1.806,118.676,2507.671,0.784,0.331,259.298,24.199,196.457,0.049,512.095,93.919,1311.343,72.666,0.075,0.296,1054.985,0.142,1195.067,213.361,5.521,446.621,1062.786,956.844,0.402,0.327,197.136,0.104,964.326,24.375,76.586,4352.274,0.784,0.607
G_charge [GW],0.005,0.275,7.75,8.162,20.981,3.144,16.284,0.002,7.669,0.002,21.97,0.005,15.474,1.428,8.146,5.187,0.482,0.023,0.015,9.131,0.018,23.4,0.002,0.007,21.634,0.835,3.172,0.019,2.569,0.003,0.003,0.071,0.003,8.784,0.01,0.024,0.035,5.676,5.294,1.9,15.725,8.265,20.111,5.64,0.025,5.41,0.022,0.002,3.935,13.396,7.553,0.002,5.349,0.002,7.05,2.734,0.588,13.29,10.7,0.548,0.002,0.128,0.029,0.046,36.291,16.561,0.076,10.198,8.394,0.003,0.02,0.002,0.056,1.558,18.321,0.018,0.007,5.145,0.336,3.082,0.002,5.635,1.48,10.487,0.973,0.002,0.008,10.044,0.004,10.423,3.495,0.104,7.216,14.158,11.717,0.007,0.013,2.734,0.003,10.468,0.335,1.228,32.76,0.021,0.017
G_battery [GW],29.119,45.648,43.297,25.762,43.379,49.41,44.995,45.842,26.238,29.118,237.271,241.914,80.483,83.59,113.456,81.777,94.885,86.959,86.968,80.995,198.364,79.86,45.842,187.801,192.243,28.537,44.847,114.016,196.895,252.618,45.842,226.116,45.017,47.851,67.753,113.734,198.34,43.578,181.606,67.583,112.701,42.674,243.407,113.439,95.082,109.29,114.013,226.152,94.931,41.652,194.968,28.913,221.575,29.121,67.241,250.528,241.694,180.265,26.628,111.492,50.513,67.762,67.779,67.775,235.527,25.044,45.767,24.73,238.738,252.617,113.75,45.018,187.682,113.424,93.198,95.082,50.506,28.262,225.031,182.584,28.914,239.848,185.246,245.83,223.485,50.509,45.003,94.104,226.148,220.193,44.251,113.826,27.742,23.798,193.667,252.611,187.767,109.526,241.907,108.724,252.16,110.202,191.773,67.776,95.096
E_battery [GWh],167.571,258.917,245.252,143.016,241.954,278.099,250.709,260.091,145.75,167.568,1434.514,1466.329,482.544,494.881,658.382,489.135,575.945,505.262,505.301,485.7,1161.975,477.987,260.087,1075.779,1133.037,159.546,254.303,661.486,1154.303,1455.9,260.087,1261.297,253.843,268.569,416.77,610.327,1161.854,245.513,1053.247,416.13,655.282,240.458,1423.115,658.767,576.747,596.596,661.475,1261.453,573.867,235.014,1145.148,161.777,1245.272,167.582,413.823,1448.719,1465.896,1045.173,152.959,603.577,284.827,416.811,416.859,416.854,1422.523,142.689,259.646,137.394,1444.372,1455.881,610.247,253.852,1075.084,659.603,563.499,576.733,284.785,162.101,1257.904,1058.973,161.783,1454.016,1067.865,1432.81,1253.309,284.806,253.798,569.164,1261.434,1238.904,249.635,660.918,159.006,130.998,1139.837,1455.891,1075.548,597.68,1466.298,594.763,1454.442,599.733,1131.34,416.82,576.783
G_homebattery [GW],71.98,73.166,72.684,76.648,73.323,73.799,73.187,73.179,76.846,71.982,14.34,14.254,14.569,14.551,17.618,14.43,17.666,14.632,14.62,14.492,12.522,14.551,73.179,14.291,12.4,77.681,73.039,17.668,12.629,16.87,73.179,14.55,80.949,73.186,14.605,19.938,12.542,79.77,14.337,14.669,17.457,79.68,17.026,17.678,17.686,19.623,17.664,14.56,17.734,78.9,12.631,77.799,14.695,71.98,14.636,16.921,14.241,14.433,71.293,19.729,74.057,14.676,14.682,14.683,14.308,70.792,73.18,76.705,14.278,16.87,19.96,80.95,14.456,17.653,17.746,17.694,74.064,71.527,14.545,14.212,77.797,14.346,14.278,16.867,14.559,74.062,80.969,17.785,14.56,14.481,80.045,17.617,71.569,76.222,12.621,16.87,14.325,19.609,14.259,19.67,16.86,19.682,12.495,14.672,17.702
E_homebattery [GWh],384.537,420.863,416.036,446.175,424.918,429.281,423.722,421.12,448.135,384.545,76.233,75.823,64.059,63.748,85.097,63.513,87.604,64.045,64.004,63.762,57.778,64.012,421.122,77.492,57.61,457.169,419.475,85.437,57.871,93.181,421.118,75.121,479.613,423.65,74.961,90.111,57.838,473.963,77.33,75.125,84.209,473.135,93.576,85.254,87.685,88.731,85.427,75.177,87.879,467.139,57.821,458.395,75.058,384.536,74.556,93.523,75.853,77.306,379.851,89.263,430.859,75.223,75.251,75.249,76.036,376.298,421.069,446.19,75.964,93.178,90.315,479.619,78.099,85.306,87.66,87.719,430.901,381.662,75.084,77.242,458.381,76.33,77.386,93.257,75.131,430.885,479.703,87.895,75.18,74.089,475.257,85.276,381.832,443.908,57.887,93.174,77.597,88.548,75.845,88.732,93.152,88.746,57.857,75.202,87.748
G_PHS [GW],56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
E_PHS [GWh],1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69
G_electrolysis [GW],0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,814.352,823.829,75.154,77.254,83.569,76.699,75.592,77.49,77.489,76.088,778.458,72.847,0.0,793.365,767.487,0.0,0.0,84.956,778.878,859.29,0.0,797.46,0.0,0.0,83.997,70.597,778.472,0.0,791.713,83.568,82.686,0.0,852.258,84.238,75.689,70.18,84.956,797.497,75.178,0.0,775.93,0.0,795.372,0.0,82.48,858.155,823.614,787.254,0.0,70.684,0.0,83.912,83.939,83.935,809.937,0.0,0.0,0.001,819.95,859.292,70.599,0.0,793.444,84.724,74.025,75.688,0.001,0.0,797.392,792.825,0.0,820.907,793.193,855.002,797.236,0.0,0.0,74.81,797.497,793.094,0.0,84.947,0.0,0.0,773.259,859.287,793.385,70.592,823.829,68.93,859.225,70.675,763.759,83.95,75.68
E_H2 [GWh],0.071,0.07,0.081,0.082,0.076,0.088,0.11,0.061,0.07,0.059,6436.295,6514.569,822.919,932.338,895.532,892.359,766.03,953.98,954.17,859.58,7646.998,737.468,0.075,5868.87,7462.446,0.084,0.067,966.984,7647.557,8155.043,0.081,5789.186,0.082,0.073,1049.717,721.065,7646.751,0.066,5849.327,1032.388,862.572,0.073,7992.211,924.449,767.637,717.443,967.042,5789.728,761.638,0.068,7634.781,0.05,5788.164,0.073,988.171,8124.237,6517.026,5807.714,0.069,723.926,0.083,1046.646,1047.365,1047.233,6284.766,0.071,0.076,0.092,6569.695,8154.956,721.252,0.081,5875.865,954.962,718.714,767.696,0.076,0.064,5784.828,5852.398,0.072,6542.431,5879.024,8073.963,5784.594,0.07,0.07,753.265,5789.886,5780.258,0.063,967.394,0.08,0.075,7621.672,8154.634,5870.968,720.709,6514.702,705.424,8147.999,725.169,7330.619,1047.615,767.595
