,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
avail_onwind [MWh],159221453.388,137047091.684,139243077.203,152767883.398,142192952.71,133596564.353,140248640.218,136996111.704,152435805.566,159221502.33,854719264.923,852263396.138,413294855.569,407804794.149,334860447.085,409268268.792,340296247.424,406834871.293,406825764.177,411292454.756,979993932.055,416687813.439,136995486.882,840396847.281,980412918.978,150174460.792,137811047.97,333374479.733,979949902.552,844334835.885,136995998.288,950108791.08,163462476.444,136537141.278,385522168.204,391532748.506,980001071.083,163605131.282,841104049.568,385923259.778,337569295.617,164670893.343,846337169.479,334644675.145,340190145.002,393554441.599,333373683.653,950108426.831,340441226.217,166718072.431,979905028.205,150025956.311,950618545.707,159222799.472,387805403.101,844549583.231,852414845.646,842004590.643,163903791.806,392103403.424,132548985.083,385475254.841,385483520.186,385491956.545,857980637.014,167525508.326,136969116.93,153540557.495,852921055.294,844343741.852,391505641.156,163467187.192,840515630.277,333834473.28,345862163.683,340192656.915,132547870.033,160809742.195,949249172.959,840819548.108,150024942.296,852756394.355,840890896.78,845001082.022,949260719.586,132548696.336,163467722.532,342353675.47,950096777.244,950616535.367,163313144.227,333407838.749,161605374.744,155621593.796,979943666.509,844330657.809,840431668.287,392788593.481,852263506.556,394984670.721,844715528.294,392367108.553,979405304.519,385502063.383,340202093.283
avail_offwind [MWh],299834710.647,291852724.821,292112628.039,284590597.564,272137214.2,275784924.143,273487574.023,291682424.083,284391776.103,299834048.671,456672779.142,455243477.325,385215788.928,385627457.335,366559505.515,385377826.449,349183322.0,385682862.816,385688468.211,385098293.962,560690722.029,385889437.998,291684005.832,646752232.978,561348705.249,284035853.128,291790314.879,366934900.969,560622407.454,520054618.308,291683919.243,525358456.546,237290919.663,274501313.715,379021669.106,373919901.778,560709201.108,237762516.927,647908188.888,379005588.927,365770891.906,237280997.483,521812635.721,366749775.643,349182853.682,373762819.98,366936898.902,525348131.612,349009441.46,236932442.573,560077613.431,283770414.995,525867306.844,299832549.423,378795107.804,520490882.363,455500637.34,649349955.501,298584875.687,373922921.067,275978057.047,379061140.784,379036735.837,379030605.015,458235976.065,297782776.537,291773831.95,284593246.858,455468231.415,520054402.676,373950564.418,237283466.011,646849479.98,366947159.167,348332853.128,349182594.613,275977907.551,299674062.818,526007503.459,646984185.877,283772032.411,455420194.393,646772802.656,522047641.924,525983825.445,275978479.703,237271948.002,348671111.089,525368382.974,527446016.987,237710486.13,366949239.255,299514628.511,284472173.053,559490285.036,520063746.857,646782966.408,373903593.351,455242783.554,373422375.912,519976402.21,374037273.922,565229596.462,379031310.18,349184460.219
avail_solar [MWh],277672997.51,308772069.993,306238261.227,292589823.762,327325062.179,331944108.4,327931297.006,309016253.5,292869229.94,277674046.68,1156261114.992,1158185583.581,515859084.473,518327542.772,612657890.523,518039494.827,613057301.606,518363039.333,518360366.073,517169230.482,927502494.764,514063723.588,309015037.584,963034949.298,930530835.865,295222407.798,307859205.532,613136281.112,928841716.946,1125974471.298,309015278.151,1017814580.457,343892252.164,330388636.764,527143698.69,548388950.932,927507882.275,342929918.671,963088067.759,526915432.972,611683647.506,342433440.113,1124838355.991,612428989.18,613090827.493,547471967.444,613137165.794,1017815021.807,612852664.281,340782754.01,929816782.568,295594226.679,1016938467.837,277674256.062,526291157.119,1125911247.598,1157909488.044,962930398.837,274537763.573,548229649.709,332890239.576,527142093.411,527150522.671,527143807.835,1152454795.189,272451296.766,308942518.421,291988447.595,1158536438.58,1125968473.543,548390108.408,343894571.745,962942305.859,612866968.179,609846059.246,613087162.53,332890803.272,276266231.803,1017851894.543,963171802.204,295594044.094,1158329213.121,962921514.191,1124837490.16,1017928221.319,332890172.232,343902095.697,611884910.981,1017808824.622,1015807297.408,343459459.761,613100798.184,275677782.766,290629772.547,930668758.796,1125968264.408,962980427.869,547977397.985,1158184684.459,547057108.95,1125832320.641,548131266.234,930768996.27,527144865.708,613085316.67
used_onwind [MWh],137041948.062,115724205.327,122211714.679,137304927.669,130816134.226,116231371.225,127944962.451,115592630.528,136922480.205,136967027.837,821815899.793,816031088.524,397966497.802,388508499.022,316086573.108,390763902.587,317498403.312,387620028.622,387624145.905,394012999.561,956502795.122,402922939.936,115491607.809,802622165.964,959407736.925,131817663.579,117999300.875,311910287.752,956288092.962,816082396.314,115517872.212,914220886.88,135335782.916,121623019.66,359837823.184,366323337.997,956408233.004,139413336.666,803660726.286,360951027.78,320827627.037,142033160.416,820383731.79,315281478.46,317261847.368,370524310.8,311885610.654,914278300.507,319184790.995,146664122.254,956695411.042,131401082.055,914798847.858,137052642.096,363930146.623,816662925.18,815678848.155,804768084.019,148181418.254,366912455.192,113450265.315,359931537.081,360001064.828,360051284.384,827935791.516,153998118.038,115489947.753,138809902.87,817153159.826,816203085.631,366353853.96,135362052.146,802435661.271,312709859.381,328621104.161,317266741.267,113265100.508,141988796.229,913943349.693,803916854.794,131252400.209,816752829.336,802957674.103,818234708.904,913886221.921,113304606.305,135263740.069,323080173.375,914266527.689,916954860.534,137765521.162,311854576.082,144047004.54,141935458.991,956738214.966,816129725.546,802150921.994,368732839.085,815966913.31,373644271.379,816497527.651,367466163.141,958744205.96,359916280.962,317228637.894
used_offwind [MWh],286894621.786,277477700.855,278257188.726,273856417.767,258993572.829,259216874.557,259143163.06,277234667.799,273656865.675,286937348.463,442209141.777,437683532.592,378202519.924,377949549.9,357215105.165,377420338.778,340598313.672,378172900.132,378175103.412,377908058.702,544883138.236,377286141.355,277353700.806,627215903.837,543836265.826,272656379.973,277675246.862,357181578.567,545862620.617,504614906.178,277320981.472,505711230.799,223312993.3,258846201.365,368026475.431,364733525.329,544860617.217,223961112.848,631664280.501,369021097.485,356843448.288,223607190.627,509072024.352,356721037.125,340488677.991,364432672.499,357150259.703,505560910.244,340459552.964,223657404.88,545357863.825,272236547.942,508397885.725,286886368.433,368986546.008,504857587.049,439168249.211,633573428.017,286653903.84,364255007.246,259149556.089,368952222.005,369009960.647,369075288.421,444626328.079,286591332.417,277436180.85,274011987.463,439757921.635,504421767.309,364661343.3,223293394.079,629724201.509,357378524.291,339146843.346,340466615.526,259268392.803,287148102.688,505926703.802,627041362.907,272367299.16,441042629.248,628619896.909,506722558.074,506174480.798,259241355.088,223330922.251,340096852.98,505596237.406,507641497.995,223739047.601,356943956.221,287223629.017,274401749.593,545504003.436,504603410.952,628343667.16,364764798.963,437794688.977,364130426.479,504521843.753,364653743.478,548726144.143,368768285.394,340353663.155
used_solar [MWh],270964211.476,300464764.643,298166097.801,286068305.09,318722347.035,322176045.369,318904449.576,300681797.04,286312207.239,270984966.649,1137093282.68,1139750534.853,505940536.875,507874930.97,599219034.301,507981529.875,603001874.45,507699666.713,507699858.851,506930450.299,912536281.889,505119744.454,300671144.174,950060706.99,916439048.272,288487989.971,299681494.029,599347821.831,913515446.112,1101866138.01,300672862.339,998644936.444,334943226.557,320900060.757,520398623.257,537167979.837,912545009.234,334089014.413,948529588.911,519659667.338,598476657.473,333699803.73,1101103880.263,599053417.692,603010086.352,536607560.398,599388665.951,998676841.207,602957299.036,332279820.105,914589581.006,288859484.264,997401739.202,270958807.734,519195061.776,1101897088.513,1139177722.998,948532630.519,268051059.113,537301290.49,322984104.993,519868522.037,519820960.053,519793344.175,1133560705.298,266202976.56,300623825.112,285522546.454,1139606432.634,1101872500.961,537223706.344,334936761.036,948795757.209,599130211.755,601344984.637,603018722.112,323028505.717,269589044.792,998753917.998,950243965.525,288868607.249,1138889177.035,949422874.33,1101161833.348,998794519.65,323016271.688,334987238.878,602472602.907,998661475.907,996911177.175,334524940.411,599461472.367,269025000.883,284277528.051,915452550.374,1101886528.027,949673805.422,536880875.977,1139736954.028,536340843.768,1101739657.517,537033213.422,916588499.746,519965775.079,603088738.402
gas_OCGT_gen [MWh],42721627.5,32113851.9,31770009.6,32474103.9,34234947.6,35456134.5,34667811.9,32147915.7,32190326.1,42722202.9,6058462.5,8917894.2,11298602.7,12384700.5,6693550.5,12080140.8,9906320.7,12459959.1,12457677.9,11665193.1,13649832.3,10590876.6,32147127.6,6076719.0,11879757.0,32361077.1,31967276.1,7554474.6,13595546.7,11080917.9,32147902.8,7646675.1,24282111.6,35060289.9,10049309.7,8455705.2,13650618.3,23742488.4,5085256.5,9947026.2,6468406.2,23438924.1,8170779.6,6982892.4,9966077.4,7962930.0,7553130.0,7685316.9,9593079.9,22988782.5,13122084.9,32376570.3,6875709.9,42722220.3,9612312.6,10563555.3,8818794.3,4477437.9,42656573.4,8226447.3,35838399.9,10062895.2,10065278.4,10064830.2,5094426.0,42960891.9,32137182.9,32477985.9,7086042.0,11080896.0,8460186.9,24279773.7,6071610.0,7405211.7,8288291.4,9971571.3,35839878.0,42715491.6,7572806.7,5448351.0,32376212.4,7763601.6,5685384.9,9191283.9,7510674.3,35840133.9,24279927.0,9014888.1,7686105.6,6261339.6,24053738.4,7532691.9,42751444.2,32751673.2,12703631.1,11080342.2,6075605.7,8049069.0,8918357.1,7883015.4,11027676.9,8132896.5,10917476.7,10063266.0,9971462.4
gas_CCGT_gen [MWh],154438642.5,169444762.2,169930971.3,168934891.5,166444083.0,164716413.0,165831463.5,169396600.8,169336672.5,154437939.9,560122.8,589165.8,15471922.2,15219693.0,15420409.2,15032910.0,6961620.9,15300777.0,15300728.7,15258003.3,2275284.6,15860612.1,169397553.0,405884.4,2087387.1,169094913.0,169652063.7,15393935.7,2533008.0,604872.3,169396418.4,1754816.4,180523589.7,165276558.6,9761371.8,14425057.2,2274999.3,181287154.5,418927.8,9777422.4,15671649.9,181716502.5,600489.6,15419105.4,6962979.6,14193546.6,15392146.2,1750273.5,7068284.4,182353368.9,2406403.5,169073325.0,1738387.8,154437792.6,10005845.7,603942.6,590601.6,416898.9,154530707.7,14411225.1,164175722.7,9746990.7,9765321.3,9764047.5,561926.7,154100143.5,169411661.7,168929267.7,584945.4,604589.7,14425722.3,180526939.5,425110.8,15401246.4,7294884.3,6964977.0,164173565.1,154447451.1,1756247.7,406131.0,169073587.5,587415.3,409257.9,602326.8,1761802.5,164173354.8,180526793.1,7207912.2,1750883.4,1694460.3,180847005.3,15380463.0,154396433.1,168542445.6,2201357.7,604874.4,409405.2,14300205.3,588894.3,14215215.6,604743.6,14347211.1,1932295.8,9765855.6,6968751.0
coal_gen [MWh],108.6,113.4,150.3,160.2,138.3,153.3,166.8,118.8,96.0,94.2,1645.8,204.9,2242.5,1740.9,1359.3,1214.1,909.0,1952.4,1767.3,1740.3,1254.9,112.5,141.0,205.5,240.9,128.7,129.0,2048.4,1987.8,252.9,140.7,205.8,156.3,131.7,878.7,1882.5,1641.6,121.5,2174.1,1457.7,2083.2,137.4,1873.5,1588.5,1118.4,2399.7,1803.3,185.4,1548.0,126.9,2292.6,84.3,865.5,102.3,1533.3,195.0,629.1,1860.0,103.5,1511.1,143.4,1566.6,1631.4,1336.2,1891.2,114.6,129.3,180.6,900.3,185.7,2143.5,144.3,2454.0,1603.5,351.3,1444.2,167.7,89.1,228.0,253.2,117.3,1880.1,777.0,224.4,248.1,133.2,138.9,875.4,225.6,141.0,96.9,1215.3,106.5,116.1,1809.6,248.7,646.5,2326.8,182.7,1870.2,226.5,2080.5,200.7,1613.1,1805.1
nuclear_gen [MWh],555.9,668.7,746.7,1022.4,763.8,921.9,1097.4,530.4,768.6,522.6,21096121.2,20957117.1,36600.3,21047.4,44832.3,19572.3,19620.0,24413.7,22690.5,19047.0,22107017.7,1098.9,660.0,45116044.2,22071521.1,926.7,674.4,71359.2,22117884.9,21516717.6,807.0,22464722.4,779.7,747.3,68226.6,35481.6,22106800.5,676.2,42960781.2,124529.7,79586.7,677.1,21655979.1,64022.4,16803.3,83256.9,65457.9,22454859.6,24099.6,617.1,22127707.8,478.5,23306308.2,606.3,95488.2,21517407.6,20968322.1,40959764.7,488.7,35229.0,814.2,105323.1,107979.9,121890.0,21102585.9,613.2,699.0,1164.9,21032346.3,21513970.2,36010.2,768.0,45125994.9,53911.2,7296.3,27988.5,961.2,483.3,22465990.5,44071113.9,808.5,21048987.3,44417970.9,21514398.9,22504489.2,809.7,742.5,19729.8,22456812.6,23800848.3,616.2,42651.3,592.2,827.7,22118901.0,21516845.1,45147138.3,73686.3,20955975.0,51966.6,21515246.7,51303.9,22029170.1,106939.2,31877.1
gas_CHP_CC_gen [MWh],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2691.3,416.1,361017601.5,362242776.9,357970710.0,362061331.2,350054052.9,362157898.5,362159562.9,361719964.2,2261.4,358852797.0,-0.0,507.9,582.3,-0.0,-0.0,358871385.0,3537.9,492.3,-0.0,388.8,-0.0,-0.0,358849683.6,346420588.8,3324.3,-0.0,4919.7,358536746.7,357627411.0,-0.0,4784.4,358385415.9,350115558.9,346113813.6,358880446.8,369.6,349718856.0,-0.0,4778.1,-0.0,1582.2,-0.0,357897464.1,580.5,1197.6,4532.4,-0.0,346538362.5,-0.0,358790164.8,358808963.4,358805586.9,3365.1,-0.0,-0.0,-0.0,1514.4,474.0,346421787.6,-0.0,7347.0,358714126.2,349484506.2,350109606.9,-0.0,-0.0,540.6,768.9,-0.0,3315.6,1927.2,605.7,515.4,-0.0,-0.0,349716657.6,466.5,250.5,-0.0,358880243.4,-0.0,-0.0,3569.4,543.6,1798.2,346408989.3,282.9,345503762.4,520.8,346542601.8,345.9,358817553.0,350109095.4
gas_CHP_gen [MWh],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,44216757.0,45227912.7,52157359.5,52757469.9,62502435.9,52814811.3,49767059.4,52672292.4,52673070.6,52623293.7,49207760.4,51895239.0,-0.0,57325229.7,46207221.6,-0.0,-0.0,62449676.1,49589768.4,68169006.0,-0.0,59217624.0,-0.0,-0.0,62552488.5,60454438.8,49204888.5,-0.0,57561328.2,62513938.2,61507597.5,-0.0,67758557.1,62493889.5,49820046.6,60979878.6,62455175.4,59207150.4,49711434.3,-0.0,48918559.2,-0.0,59190689.7,-0.0,62121423.0,68264090.4,45213448.2,57036552.9,-0.0,60907814.4,-0.0,62540076.3,62528262.3,62529195.6,43427904.3,-0.0,-0.0,-0.0,45084225.0,68168206.2,60452373.9,-0.0,57302229.6,62388095.1,48830208.0,49820978.7,-0.0,-0.0,59266723.2,57643891.8,-0.0,44902428.0,57580146.9,68089360.5,59292187.8,-0.0,-0.0,49172139.0,59205770.1,58729177.2,-0.0,62552448.6,-0.0,-0.0,47977663.5,68169053.1,57322696.5,61024601.7,45228297.0,60621351.3,68173065.3,61014712.8,44619849.9,62533885.8,49819197.0
biomass_CHP_CC_gen [MWh],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,21784.8,2750.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3751321.2,-0.0,-0.0,3540.9,2083908.6,-0.0,-0.0,-0.0,3971381.4,10369400.4,-0.0,87213.3,-0.0,-0.0,-0.0,-0.0,3754832.7,-0.0,33468.9,-0.0,-0.0,-0.0,9096943.5,-0.0,-0.0,-0.0,-0.0,86761.2,-0.0,-0.0,3533985.0,-0.0,128071.2,-0.0,-0.0,10169529.3,8025.6,27761.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,23292.0,-0.0,-0.0,-0.0,11922.3,10368910.5,-0.0,-0.0,40063.8,-0.0,-0.0,-0.0,-0.0,-0.0,89136.0,4274.4,-0.0,24869.7,13440.0,9722387.7,89440.5,-0.0,-0.0,-0.0,87558.0,135405.6,-0.0,-0.0,-0.0,-0.0,3070935.3,10367598.9,11262.0,-0.0,2328.0,-0.0,10359567.3,-0.0,1416864.3,-0.0,-0.0
biomass_CHP_gen [MWh],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,139846026.6,139716015.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,135056261.4,-0.0,-0.0,139236519.6,136915953.3,-0.0,-0.0,-0.0,134810908.8,127674427.2,-0.0,139716221.7,-0.0,-0.0,-0.0,-0.0,135052410.6,-0.0,139208455.2,-0.0,-0.0,-0.0,129093834.0,-0.0,-0.0,-0.0,-0.0,139717851.9,-0.0,-0.0,135298836.9,-0.0,139707013.5,-0.0,-0.0,127897356.0,139714432.5,139266474.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,139932320.7,-0.0,-0.0,-0.0,139784013.3,127674968.7,-0.0,-0.0,139198065.9,-0.0,-0.0,-0.0,-0.0,-0.0,139713723.3,139235745.0,-0.0,139748331.9,139226001.0,128396093.1,139714736.4,-0.0,-0.0,-0.0,139717016.7,139746101.7,-0.0,-0.0,-0.0,-0.0,135815248.5,127676436.0,139228322.7,-0.0,139716433.2,-0.0,127685393.1,-0.0,137659960.5,-0.0,-0.0
onwind_gen [MWh],411125844.3,347172615.9,366635144.1,411914783.1,392448402.6,348694113.6,383834887.5,346777891.5,410767440.6,410901083.4,2465447699.4,2448093265.5,1193899493.4,1165525497.0,948259719.3,1172291707.8,952495209.9,1162860085.8,1162872437.7,1182038998.8,2869508385.3,1208768819.7,346474823.4,2407866498.0,2878223210.7,395452990.8,353997902.7,935730863.4,2868864279.0,2448247188.9,346553616.6,2742662660.7,406007348.7,364869059.1,1079513469.6,1098970014.0,2869224699.0,418240010.1,2410982178.9,1082853083.4,962482881.0,426099481.2,2461151195.4,945844435.5,951785542.2,1111572932.4,935656832.1,2742834901.5,957554373.0,439992366.9,2870086233.0,394203246.3,2744396543.7,411157926.3,1091790439.8,2449988775.6,2447036544.6,2414304252.0,444544254.9,1100737365.6,340350795.9,1079794611.3,1080003194.4,1080153853.2,2483807374.5,461994354.0,346469843.4,416429708.7,2451459479.4,2448609256.8,1099061562.0,406086156.3,2407306983.9,938129578.2,985863312.6,951800223.9,339795301.5,425966388.6,2741830049.1,2411750564.4,393757200.6,2450258487.9,2408873022.3,2454704126.7,2741658665.7,339913818.9,405791220.3,969240520.2,2742799583.1,2750864581.5,413296563.6,935563728.3,432141013.5,425806377.0,2870214645.0,2448389176.5,2406452766.0,1106198517.3,2447900739.9,1120932814.2,2449492583.1,1102398489.3,2876232618.0,1079748843.0,951685913.7
offwind_gen [MWh],860683865.4,832433102.7,834771566.1,821569253.4,776980718.4,777650623.8,777429489.3,831704003.4,820970597.1,860812045.5,1326627425.4,1313050597.8,1134607559.7,1133848649.7,1071645315.6,1132261016.4,1021794941.1,1134518700.3,1134525310.2,1133724176.1,1634649414.6,1131858424.2,832061102.4,1881647711.4,1631508797.4,817969140.0,833025740.7,1071544735.8,1637587861.8,1513844718.6,831962944.5,1517133692.4,669938979.9,776538604.2,1104079426.2,1094200575.9,1634581851.6,671883338.4,1894992841.5,1107063292.5,1070530344.9,670821571.8,1527216073.2,1070163111.3,1021466034.0,1093298017.5,1071450779.1,1516682730.6,1021378659.0,670972214.7,1636073591.4,816709643.7,1525193657.1,860659105.2,1106959638.0,1514572761.0,1317504747.6,1900720284.0,859961711.4,1092765021.6,777448668.3,1106856666.0,1107029881.8,1107225865.2,1333878984.3,859773997.2,832308542.4,822035962.5,1319273764.8,1513265301.9,1093984029.9,669880182.3,1889172604.5,1072135572.9,1017440529.9,1021399846.5,777805178.4,861444308.1,1517780111.4,1881124088.7,817101897.6,1323127887.6,1885859690.7,1520167674.3,1518523442.4,777724065.3,669992766.9,1020290559.0,1516788712.2,1522924494.0,671217142.8,1070831868.6,861670887.0,823205248.8,1636512010.2,1513810233.0,1885031001.6,1094294397.0,1313384067.0,1092391279.5,1513565531.4,1093961230.5,1646178432.3,1106304856.2,1021060989.6
solar_gen [MWh],812892634.5,901394293.8,894498293.4,858204915.3,956167041.0,966528136.2,956713348.8,902045391.0,858936621.6,812954899.8,3411406232.4,3419336469.3,1518606236.7,1524270310.8,1797775172.4,1524699372.6,1809156342.6,1523711619.0,1523711060.7,1521536274.3,2738582055.6,1516043674.2,902013432.6,2850861276.6,2750215230.0,865463970.0,899044482.0,1798164292.5,2741563139.7,3305604783.9,902018586.9,2996251422.9,1004829679.8,962700182.4,1563781249.5,1612821668.1,2738615109.3,1002267043.2,2846283017.1,1561591903.2,1795567212.3,1001099411.1,3303363028.2,1797279861.3,1809180156.9,1611127794.9,1798283602.5,2996345341.8,1809027541.2,996839460.3,2744731801.2,866578452.9,2992569566.1,812876423.1,1560177669.6,3305698062.9,3417631110.6,2846286025.5,804153177.3,1613220643.8,968952315.0,1562204627.7,1562060399.7,1561975249.2,3400813391.7,798608929.8,901871475.3,856567639.5,3418924045.2,3305624076.6,1612994329.8,1004810283.0,2847137599.8,1797506297.1,1804165335.6,1809211176.3,969085517.1,808767134.4,2996585822.7,2851388643.3,866605821.6,3416799961.5,2848936302.9,3303492824.1,2996711734.5,969048815.1,1004961716.7,1807565842.2,2996300420.7,2991135667.2,1003574821.2,1798493255.7,807075002.7,852832584.3,2747298598.5,3305666417.4,2849713117.5,1611948099.6,3419294705.1,1610274317.7,3305226226.8,1612416693.3,2750632248.3,1562498177.7,1809424549.5
hydro_gen [MWh],512688074.4,513940345.2,513961768.5,515935336.5,511057460.4,510987164.7,510958390.2,513932032.8,515902179.3,512711390.1,510818797.5,511879485.3,512901138.6,512889593.4,510344612.7,513175841.4,510707598.9,512747793.9,512727022.5,512727085.8,513126124.2,513664068.9,513916803.0,516374568.3,513787917.3,515839223.7,513992773.5,510344070.0,512966589.9,511191128.7,513930742.8,514555794.9,511405008.3,510970126.8,516050083.8,513742297.8,513214143.6,511412553.6,515180535.0,515641735.5,510433967.4,511387867.5,510218068.2,510717175.8,510675501.6,513923571.0,510410328.3,514605333.9,510736342.8,511395917.1,513197583.0,515852685.6,514089039.6,512689872.9,515651624.4,511351930.2,511573636.8,515753142.0,512771633.1,513999870.3,511010421.0,515642305.2,515548514.1,515521538.4,510796811.7,512814144.0,513946306.8,515944817.1,511217410.5,511351098.9,513678065.1,511400562.3,515692598.7,510306955.5,511629722.1,510709198.2,511075380.9,512746305.6,514625075.1,516408919.8,515877999.0,510470079.9,515999983.5,511310354.4,514597409.1,511066685.1,511438926.6,511093344.0,514591914.0,514527288.9,511387786.5,510524298.3,512758404.3,515954187.9,512986026.6,511167239.7,516229095.6,513660283.8,511824290.4,514043325.9,511221284.1,513860157.6,513658105.5,515689851.3,510813684.3
tot_gen [MWh],2792.281,2792.846,2807.925,2806.93,2835.225,2801.943,2827.357,2792.359,2806.006,2792.262,7925.725,7907.41,4799.047,4778.354,4770.397,4783.517,4710.501,4775.681,4775.678,4790.406,7980.699,4806.66,2792.369,7903.989,7993.808,2794.139,2798.024,4759.857,7986.347,8018.001,2792.368,8000.983,2794.56,2813.276,4701.887,4748.083,7980.457,2806.301,7911.81,4705.217,4780.089,2812.024,8038.037,4767.072,4709.627,4757.825,4759.88,8000.861,4714.444,2821.989,7988.294,2792.74,8006.664,2792.279,4711.5,8020.326,7908.7,7918.359,2816.211,4749.395,2795.713,4702.926,4703.103,4703.351,7939.068,2827.81,2792.493,2810.277,7914.101,8017.962,4748.066,2794.558,7906.516,4761.782,4732.634,4709.649,2795.696,2803.743,8001.161,7906.569,2792.733,7914.362,7906.109,8026.886,8001.838,2795.695,2794.556,4722.958,8000.873,8009.234,2801.858,4759.537,2808.397,2816.963,7989.718,8018.152,7904.698,4754.527,7907.459,4764.537,8018.574,4751.279,8004.145,4702.709,4709.514
cap_onwind [GW],148.895,129.686,131.675,176.364,135.989,127.476,133.918,129.645,175.973,148.895,981.481,977.912,424.83,421.404,348.313,422.077,396.211,420.859,420.849,423.488,1011.303,427.574,129.645,1082.922,1012.304,173.836,130.382,347.35,1008.619,908.473,129.645,1013.195,178.442,130.364,487.539,414.552,1011.316,178.345,1084.23,487.871,350.395,179.305,909.74,348.234,396.096,416.153,347.343,1013.195,396.146,181.331,1009.403,173.734,1013.785,148.897,489.182,908.469,977.823,1085.782,152.074,415.117,126.53,487.487,487.501,487.51,984.968,155.455,129.618,177.13,979.657,908.484,414.515,178.451,1083.121,347.715,400.84,396.101,126.529,149.44,1012.401,1083.568,173.733,979.071,1083.652,908.704,1012.472,126.53,178.454,397.57,1013.182,1013.989,178.028,347.374,149.918,179.274,1010.595,908.467,1082.987,415.579,977.916,417.255,908.841,415.305,1011.3,487.523,396.108
cap_offwind [GW],200.371,204.251,204.484,215.441,191.954,194.926,193.052,204.096,215.285,200.37,338.676,337.67,261.24,261.539,264.924,261.373,266.677,261.567,261.57,261.191,368.764,261.597,204.097,470.578,369.178,215.005,204.253,265.21,368.696,367.631,204.097,365.294,175.343,193.873,294.987,266.131,368.778,175.563,471.341,294.975,264.334,175.166,368.767,265.07,266.677,266.054,265.211,365.289,266.555,174.854,368.372,214.79,365.622,200.369,294.818,367.901,337.858,472.336,199.56,266.149,195.117,295.018,295.001,294.996,339.766,198.905,204.17,215.434,337.837,367.63,266.153,175.335,470.657,265.216,266.004,266.677,195.117,200.367,365.695,470.72,214.792,337.823,470.586,368.886,365.682,195.117,175.324,266.287,365.302,366.643,175.576,265.22,200.243,215.296,368.057,367.637,470.602,266.159,337.67,265.818,367.581,266.248,371.539,294.998,266.679
cap_solar [GW],746.499,847.472,841.041,820.943,867.617,877.933,868.643,848.146,821.654,746.501,2995.33,2999.687,1388.634,1395.12,1620.018,1394.731,1599.825,1395.131,1395.126,1392.319,2470.467,1383.24,848.144,2666.507,2479.124,827.675,845.128,1621.656,2473.038,2928.93,848.144,2770.095,893.493,874.405,1479.952,1513.155,2470.479,891.77,2667.238,1479.153,1617.411,890.835,2924.83,1619.304,1599.898,1510.155,1621.656,2770.07,1599.374,886.667,2476.35,828.644,2767.878,746.502,1477.105,2928.709,2998.887,2666.008,738.849,1512.541,880.01,1479.973,1480.002,1479.98,2983.673,733.566,847.958,819.499,3001.415,2928.913,1513.159,893.499,2666.267,1620.663,1591.294,1599.89,880.013,742.661,2770.434,2667.011,828.645,3000.849,2666.431,2925.95,2770.721,880.01,893.52,1596.816,2770.05,2764.787,892.825,1621.527,741.414,815.959,2479.378,2928.912,2666.33,1511.673,2999.686,1509.09,2928.507,1512.237,2478.163,1479.977,1599.888
cap_hydro [GW],142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191
