,eta_d,c_hat,c_c,eta_c,tau_SD,c_d,E,lc,dt
691,0.95,1.0,700.0,0.5,30.0,490.0,2.116,0.816,75.762
310,0.95,1.0,35.0,0.25,10.0,350.0,2.675,1.055,115.649
316,0.95,1.0,35.0,0.5,10.0,350.0,4.81,3.44,93.615
344,0.25,1.0,350.0,2.0,30.0,350.0,0.941,0.684,102.379
716,0.25,1.0,35.0,2.0,30.0,700.0,1.634,1.77,124.146
268,0.25,1.0,35.0,2.0,10.0,350.0,1.826,2.386,77.73
667,0.25,1.0,700.0,2.0,30.0,490.0,0.0,0.0,144.25
227,0.5,1.0,700.0,0.95,30.0,35.0,2.331,0.955,57.095
372,0.95,1.0,350.0,0.25,10.0,350.0,0.288,0.134,66.905
648,0.95,1.0,490.0,0.5,30.0,490.0,3.617,1.256,102.386
230,0.5,1.0,700.0,2.0,10.0,35.0,3.682,8.297,35.637
736,0.5,1.0,35.0,2.0,10.0,700.0,4.943,12.483,65.918
366,0.5,1.0,350.0,2.0,30.0,350.0,6.648,12.12,76.479
652,0.95,1.0,490.0,0.95,10.0,490.0,4.569,6.559,72.541
236,0.5,1.0,700.0,2.0,30.0,35.0,9.418,9.816,87.176
732,0.5,1.0,35.0,0.95,30.0,700.0,4.57,2.931,150.662
658,0.95,1.0,490.0,0.95,30.0,490.0,10.762,7.851,124.56
728,0.5,1.0,35.0,0.95,10.0,700.0,2.779,2.367,112.631
242,0.95,1.0,700.0,0.5,10.0,35.0,1.138,0.592,30.282
360,0.5,1.0,350.0,2.0,10.0,350.0,4.13,10.39,55.708
245,0.95,1.0,700.0,0.5,30.0,35.0,3.554,1.143,69.669
224,0.5,1.0,700.0,0.95,10.0,35.0,0.931,0.524,33.932
356,0.5,1.0,350.0,0.95,30.0,350.0,3.225,1.431,101.652
664,0.25,1.0,700.0,2.0,10.0,490.0,0.0,0.0,102.75
725,0.5,1.0,35.0,0.5,30.0,700.0,2.329,1.146,162.876
253,0.95,1.0,700.0,0.95,30.0,35.0,12.598,7.129,107.095
352,0.5,1.0,350.0,0.95,10.0,350.0,1.325,0.814,72.467
722,0.5,1.0,35.0,0.5,10.0,700.0,1.352,0.806,140.009
721,0.5,1.0,35.0,0.25,30.0,700.0,0.972,0.451,160.305
720,0.5,1.0,35.0,0.25,10.0,700.0,0.538,0.283,152.355
258,0.25,1.0,35.0,0.5,10.0,350.0,0.333,0.225,130.151
260,0.25,1.0,35.0,0.5,30.0,350.0,0.608,0.384,120.116
350,0.5,1.0,350.0,0.5,30.0,350.0,0.753,0.304,79.242
262,0.25,1.0,35.0,0.95,10.0,350.0,0.765,0.639,106.941
