,eta_d,c_hat,c_c,eta_c,tau_SD,c_d,E,lc,dt
853,0.95,2.0,490.0,0.5,10.0,700.0,0.671,0.399,60.379
841,0.5,2.0,490.0,2.0,10.0,700.0,1.782,5.587,49.512
81,0.95,2.0,35.0,0.95,10.0,35.0,6.417,14.911,35.66
838,0.5,2.0,490.0,0.95,30.0,700.0,0.272,0.198,93.105
95,0.25,2.0,350.0,0.95,10.0,35.0,0.037,0.029,22.203
97,0.25,2.0,350.0,0.95,30.0,35.0,0.423,0.243,38.331
99,0.25,2.0,350.0,2.0,10.0,35.0,1.012,0.969,33.812
103,0.25,2.0,350.0,2.0,30.0,35.0,1.523,1.395,38.935
835,0.5,2.0,490.0,0.95,10.0,700.0,0.003,0.002,73.639
107,0.5,2.0,350.0,0.5,10.0,35.0,0.298,0.196,23.453
856,0.95,2.0,490.0,0.5,30.0,700.0,2.094,0.934,87.584
110,0.5,2.0,350.0,0.5,30.0,35.0,1.08,0.507,40.786
831,0.25,2.0,490.0,2.0,30.0,700.0,0.0,0.0,87.75
113,0.5,2.0,350.0,0.95,10.0,35.0,1.285,1.092,29.63
76,0.95,2.0,35.0,0.5,30.0,35.0,7.13,4.604,68.018
117,0.5,2.0,350.0,0.95,30.0,35.0,2.556,1.63,49.677
827,0.25,2.0,490.0,2.0,10.0,700.0,0.0,0.0,inf
807,0.95,2.0,350.0,0.5,10.0,700.0,1.247,0.775,73.322
141,0.95,2.0,350.0,0.5,30.0,35.0,4.42,1.964,65.469
137,0.95,2.0,350.0,0.5,10.0,35.0,1.899,1.283,30.896
135,0.95,2.0,350.0,0.25,30.0,35.0,1.714,0.555,49.689
133,0.95,2.0,350.0,0.25,10.0,35.0,0.401,0.237,22.66
864,0.95,2.0,490.0,0.95,30.0,700.0,5.818,7.002,88.044
63,0.95,2.0,35.0,0.25,10.0,35.0,2.147,1.18,35.772
811,0.95,2.0,350.0,0.5,30.0,700.0,2.956,1.379,99.193
815,0.95,2.0,350.0,0.95,10.0,700.0,3.537,7.401,57.831
127,0.5,2.0,350.0,2.0,30.0,35.0,5.31,14.191,40.069
71,0.95,2.0,35.0,0.5,10.0,35.0,3.649,3.874,36.136
821,0.95,2.0,350.0,0.95,30.0,700.0,6.026,8.777,79.954
859,0.95,2.0,490.0,0.95,10.0,700.0,3.068,5.61,61.38
121,0.5,2.0,350.0,2.0,10.0,35.0,3.244,12.376,25.456
67,0.95,2.0,35.0,0.25,30.0,35.0,3.507,1.499,59.729
205,0.95,2.0,490.0,0.95,10.0,35.0,3.861,7.821,32.2
881,0.5,2.0,700.0,2.0,10.0,700.0,1.232,3.054,55.157
757,0.95,2.0,35.0,0.5,10.0,700.0,3.191,2.856,86.161
723,0.5,2.0,35.0,0.5,10.0,700.0,0.808,0.694,103.594
254,0.95,2.0,700.0,0.95,30.0,35.0,7.528,6.553,72.614
259,0.25,2.0,35.0,0.5,10.0,350.0,0.1,0.116,80.096
261,0.25,2.0,35.0,0.5,30.0,350.0,0.252,0.261,79.744
266,0.25,2.0,35.0,0.95,30.0,350.0,0.636,0.711,74.616
17,0.25,2.0,35.0,2.0,10.0,35.0,1.757,3.661,27.669
717,0.25,2.0,35.0,2.0,30.0,700.0,0.846,1.351,84.369
269,0.25,2.0,35.0,2.0,10.0,350.0,1.099,2.029,56.171
713,0.25,2.0,35.0,2.0,10.0,700.0,0.544,0.966,74.798
13,0.25,2.0,35.0,0.95,30.0,35.0,1.283,1.194,37.255
274,0.25,2.0,35.0,2.0,30.0,350.0,1.537,2.525,61.946
902,0.95,2.0,700.0,0.95,30.0,700.0,5.216,4.619,95.452
710,0.25,2.0,35.0,0.95,30.0,700.0,0.262,0.35,95.012
279,0.5,2.0,35.0,0.25,10.0,350.0,0.497,0.315,101.523
281,0.5,2.0,35.0,0.25,30.0,350.0,0.938,0.492,96.809
283,0.5,2.0,35.0,0.5,10.0,350.0,1.167,0.902,81.062
286,0.5,2.0,35.0,0.5,30.0,350.0,1.978,1.257,83.012
311,0.95,2.0,35.0,0.25,10.0,350.0,1.94,1.025,88.322
