,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
tres,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CO2 price [EUR],139.759,269.78,371.819,98.102,242.077,330.484,99.809,235.892,348.296,98.945,241.84,353.005,109.89,261.03,374.779,117.151,247.971,358.801,116.511,254.331,371.882,139.186,274.315,374.941,96.218,238.874,342.212,123.304,263.701,366.854,114.698,241.393,333.604,111.155,246.087,345.423,113.777,270.303,371.625,113.534,267.144,383.124,109.454,254.906,352.463,108.811,251.267,363.736,130.118,265.927,370.327
c_sys [bEUR],141.3,366.477,679.843,128.668,344.019,635.543,133.438,349.032,643.691,132.35,350.993,650.155,137.441,362.082,671.393,136.833,354.825,659.284,139.332,358.868,668.582,138.787,363.76,671.613,132.904,349.379,646.62,138.067,358.042,665.271,132.833,348.854,645.386,131.834,349.745,646.03,136.342,360.875,668.788,142.012,369.276,687.318,132.804,350.729,650.87,134.303,355.135,655.971,137.558,361.245,667.994
X Discharge,0.716,0.053,0.272,0.877,0.599,0.471,1.061,0.416,0.592,0.032,0.035,0.598,0.555,0.025,0.106,0.014,0.196,0.043,0.652,0.064,0.66,0.787,0.365,0.197,0.478,0.709,0.344,0.577,0.211,0.043,0.574,0.35,0.623,1.092,0.791,0.864,0.864,0.517,0.334,1.264,0.005,0.17,0.473,0.043,0.265,0.549,0.206,0.486,0.799,0.079,0.122
load_shift [%],0.078,0.004,0.019,0.095,0.051,0.034,0.115,0.035,0.042,0.004,0.003,0.043,0.06,0.002,0.008,0.001,0.017,0.003,0.071,0.005,0.047,0.086,0.031,0.014,0.052,0.06,0.025,0.063,0.018,0.003,0.062,0.03,0.044,0.119,0.067,0.062,0.094,0.044,0.024,0.137,0.0,0.012,0.051,0.004,0.019,0.06,0.017,0.035,0.087,0.007,0.009
battery_load_shift [%],3.358,2.933,4.072,2.301,2.524,3.635,2.18,2.603,3.96,2.595,2.958,4.304,2.045,2.227,3.245,3.095,2.784,3.911,3.023,2.717,4.58,3.516,3.096,4.203,2.352,2.781,4.16,3.321,3.18,4.515,2.963,2.625,3.975,1.967,2.339,3.651,2.615,2.714,3.757,1.776,1.965,3.232,2.478,2.795,4.43,2.478,2.935,4.189,1.526,2.101,3.393
G_discharge [GW],1.766,1.059,9.026,3.485,11.42,25.618,4.32,4.807,14.643,0.129,1.07,11.778,1.05,0.1,0.836,0.067,7.395,1.754,2.91,0.776,17.676,1.671,9.846,8.692,1.82,14.85,11.089,2.91,1.953,0.684,2.413,9.166,24.413,2.888,11.055,21.356,3.372,9.856,9.424,9.985,0.025,5.627,1.327,1.022,12.09,1.901,9.12,6.967,2.518,2.61,1.619
E [GWh],208.972,20.885,190.724,236.634,313.574,332.745,301.639,159.537,302.545,10.016,20.941,459.722,149.703,11.605,50.699,3.594,76.646,25.984,213.423,31.521,507.059,231.364,152.475,123.943,132.359,282.533,194.899,234.563,116.821,24.376,169.754,147.931,343.326,259.229,280.581,497.469,239.09,179.145,164.266,375.58,2.932,95.159,146.726,16.844,147.942,154.618,87.989,236.191,260.314,35.88,58.377
G_charge [GW],3.991,0.373,2.427,4.653,4.004,4.026,5.596,2.777,5.026,0.177,0.266,4.575,3.119,0.208,0.867,0.075,1.227,0.361,3.495,0.488,5.572,4.211,2.315,1.732,2.482,5.037,2.73,3.143,1.541,0.336,2.995,2.263,4.907,5.143,5.191,7.545,4.627,3.526,3.02,7.667,0.042,1.499,2.409,0.293,2.078,3.127,1.52,4.613,4.054,0.573,0.843
avail_onwind [MWh],146281595.797,362606535.077,834696894.97,179764715.794,441765916.226,955006586.541,171913471.138,410869679.75,953196725.864,149877817.536,372102720.709,892549610.327,168497905.145,394823516.718,923236031.54,136968872.562,392365846.803,949269495.32,163313463.919,340340955.062,852809843.243,144745223.558,393142782.531,905705728.134,137818313.981,354671361.234,836081438.346,133595171.582,333834638.025,844712845.23,193714505.294,454202887.049,922219349.96,160807713.927,409289736.471,979902261.679,157680692.824,395520594.122,899855122.636,152434446.826,385490558.402,840860140.893,143625300.908,347075616.257,867714167.787,144067725.134,362254326.382,846352687.173,154107119.51,399525917.247,898297384.396
avail_offwind [MWh],261605352.298,360610318.316,556521932.963,293212444.547,381236574.308,686926824.03,265538376.753,353300071.597,504826333.082,279366564.93,370936894.798,559647245.384,279949488.12,360438269.63,521568204.195,291774670.263,374039279.694,526031797.749,237711709.577,349193340.066,455367604.357,273946266.914,361334302.865,549985618.392,292444192.521,392070255.747,643264423.877,275790604.85,367026320.879,519978233.527,250117435.131,333333189.709,601182952.585,299676139.52,385372532.748,560105693.994,284677992.968,377754498.202,599137186.194,284394170.332,379032770.111,646797957.565,290063869.968,391143666.888,608626486.355,300504410.706,388104998.528,625517821.244,314662771.158,390702236.471,665138279.812
avail_solar [MWh],338129838.679,593260161.49,1094885793.642,264157816.633,499456561.202,867163954.926,297553337.93,537537015.859,997493412.761,298759219.705,554622732.433,1016974696.176,285111347.968,540566832.772,1007008257.664,308941501.107,548131729.126,1017821923.562,343458580.755,613018142.571,1158270033.633,325736229.325,571349261.408,1059358573.944,302334689.552,560051823.93,992216052.988,331940492.875,612815468.116,1125831614.902,296593077.571,534269300.032,968613913.522,276266117.303,518041153.983,929760290.363,295935864.617,535861392.689,967128662.785,292868136.344,527144206.206,962922583.26,308322233.494,584148540.236,1028572632.411,296351478.711,553569145.058,994880305.703,276214559.917,517161464.287,910894177.687
used_onwind [MWh],123360806.376,333850820.279,803856375.894,156774626.39,411472161.183,933788411.178,151955163.521,390762380.414,925385450.208,132723771.828,354778440.384,865397986.859,149985696.505,369934354.183,890518937.594,115347887.385,367469052.757,912774536.704,137731317.652,317348534.81,816544728.242,123919523.312,362756695.317,873421461.404,119753086.975,331506823.229,804077681.426,116131535.926,312844689.713,816506280.836,169372871.582,429227998.18,901118865.051,142014023.209,390954887.667,956725323.786,135805892.537,368900819.0,878371086.482,136899199.977,360054854.519,802712625.724,122200003.383,318672148.106,831147745.214,124126720.301,343170948.029,814270025.167,129226993.249,368530777.975,876788309.461
used_offwind [MWh],245780912.499,350668892.255,537804578.198,283663416.292,370095185.378,648136467.115,254774270.42,348434137.696,488752863.28,270732103.287,366610556.941,544978505.877,269248565.002,354369862.585,508153669.739,277544387.231,364774065.35,508019367.431,223753221.447,340217366.307,439533187.589,257497155.042,347344261.428,523561983.28,281048049.343,386003359.973,624939445.007,259269292.963,355461533.614,504492378.272,238681244.217,325692025.337,573619353.586,287107413.911,378018287.828,545384580.05,272957711.681,368708646.58,572450584.141,273663447.29,369106097.632,629288729.343,274355826.289,380795450.144,593601249.418,284375264.711,379225947.367,611636163.132,297899381.861,381858041.44,634291099.163
used_solar [MWh],326744915.922,580808321.316,1072961454.521,257300646.8,489032864.984,851389885.919,291490647.857,529990687.672,983913247.408,291648590.08,545620863.258,1003467875.21,278167949.284,531122801.22,989174844.3,300643088.095,536999240.107,998290048.31,334539980.596,603157227.836,1139409717.484,316310101.974,558313977.132,1035833829.204,294745127.135,547975723.593,975541595.22,322201856.308,599833875.074,1101758318.036,288219964.988,522148358.597,949509460.602,269599638.346,507677783.535,914622269.783,287752114.064,523838205.816,945966340.506,286324308.845,519774831.695,949229515.39,299511687.037,570612451.921,1007586870.069,288922380.872,542554254.727,978993405.773,270014984.328,507200408.477,895947676.225
gas_gen [MWh],67425950.1,8501528.9,5181152.4,64493705.2,8327480.8,5198325.9,66371382.6,5825607.3,2824639.2,66492570.2,6129454.7,4346788.3,65022728.7,8202100.5,4577661.2,67183040.6,7493346.9,3113429.5,68300172.8,5625690.8,2784184.5,66307501.6,8497487.9,5129027.5,67164809.6,6002091.7,2997235.8,66724094.2,7602528.1,3877511.3,65549797.7,9020624.9,4120702.1,65720878.8,9039677.7,5176277.6,67049663.6,6304310.9,2814873.7,67175521.0,6609233.4,2031511.3,66595992.5,7057017.4,3648203.8,65720204.5,7225614.2,3088540.0,66645147.5,5769366.7,3328871.1
onwind_gen [MWh],123360806.4,333850820.3,803856375.9,156774626.4,411472161.2,933788411.2,151955163.5,390762380.4,925385450.2,132723771.8,354778440.4,865397986.9,149985696.5,369934354.2,890518937.6,115347887.4,367469052.8,912774536.7,137731317.7,317348534.8,816544728.2,123919523.3,362756695.3,873421461.4,119753087.0,331506823.2,804077681.4,116131535.9,312844689.7,816506280.8,169372871.6,429227998.2,901118865.1,142014023.2,390954887.7,956725323.8,135805892.5,368900819.0,878371086.5,136899200.0,360054854.5,802712625.7,122200003.4,318672148.1,831147745.2,124126720.3,343170948.0,814270025.2,129226993.2,368530778.0,876788309.5
offwind_gen [MWh],245780912.5,350668892.3,537804578.2,283663416.3,370095185.4,648136467.1,254774270.4,348434137.7,488752863.3,270732103.3,366610556.9,544978505.9,269248565.0,354369862.6,508153669.7,277544387.2,364774065.4,508019367.4,223753221.4,340217366.3,439533187.6,257497155.0,347344261.4,523561983.3,281048049.3,386003360.0,624939445.0,259269293.0,355461533.6,504492378.3,238681244.2,325692025.3,573619353.6,287107413.9,378018287.8,545384580.0,272957711.7,368708646.6,572450584.1,273663447.3,369106097.6,629288729.3,274355826.3,380795450.1,593601249.4,284375264.7,379225947.4,611636163.1,297899381.9,381858041.4,634291099.2
solar_gen [MWh],326744915.9,581153500.7,1072978419.7,257300646.8,489061119.9,851402618.8,291490647.9,529997998.2,984059872.0,291648590.1,545628335.7,1003469265.2,278167949.3,531496070.5,989188395.1,300643088.1,537437706.5,998404747.6,334539980.6,603212055.1,1139443928.6,316310102.0,558463946.3,1035859316.6,294745127.1,548021541.6,975627099.8,322201856.3,599865686.5,1101760841.5,288219965.0,522166063.2,949541267.8,269599638.3,507931400.4,914938357.6,287752114.1,523972938.1,946099732.2,286324308.8,520639176.1,949456733.4,299511687.0,570624410.8,1007607316.6,288922380.9,542693231.0,979017450.8,270014984.3,507213106.2,895966044.8
hydro_gen [MWh],171708841.3,171527056.4,171383915.0,172247999.9,172072100.6,172433257.8,171023544.6,170979537.2,171168682.3,170601622.8,170530574.5,170724592.5,171191044.4,171159642.4,171122404.2,171325689.3,171285078.5,171415334.6,170467241.0,170352595.7,170474923.3,171441445.3,171695781.9,171674674.6,171024743.3,170928535.0,170937808.0,170346145.0,170418139.8,170434600.3,172165848.3,172295966.7,172505966.8,170918313.2,170911255.1,171010375.4,171268787.5,171250443.7,171448790.4,171970872.6,171829870.4,172017471.0,171390402.8,171324645.1,171219323.9,170832881.9,171049508.1,171080637.2,170662444.9,170648110.9,170813263.8
tot_gen [MWh],1001214085.39,2021504062.904,3057683779.254,1010676929.362,2026908427.584,3029844306.874,1005405157.168,2024181115.973,2984852956.129,1001575412.974,2022476193.395,2998878722.478,1008007612.543,2011905335.532,3017562722.111,999065225.733,2024008554.195,3000144048.131,998001581.13,2014772583.817,2980622228.093,1005484184.791,2023534396.261,3028026702.944,1000819225.836,2019336321.268,2996108646.107,1003259981.025,2021354228.793,3015512362.44,1006583052.085,2033094084.078,3013790155.235,1007369925.611,2032146493.104,3012979476.296,1002310609.272,2014702869.34,3017599947.941,1003080194.455,2005382401.789,2995392121.612,1003077826.733,2024399475.437,3022739541.03,1005989549.483,2019415431.438,2997355678.601,1003305430.728,2011060201.775,3036733213.221
cap_onwind [GW],149.567,393.862,924.255,158.333,425.297,921.211,170.002,428.477,977.442,137.825,382.481,924.434,185.737,458.287,1074.429,129.617,415.306,1012.424,178.027,396.262,979.135,139.403,416.229,975.078,131.873,378.856,894.517,127.474,347.694,908.841,198.69,488.216,957.172,149.437,422.086,1009.386,157.885,444.05,1020.692,175.972,487.503,1083.612,130.218,339.788,882.742,139.891,384.112,932.864,160.15,454.038,1000.754
cap_offwind [GW],191.019,273.361,407.318,188.875,249.415,430.737,180.19,247.214,346.511,190.267,255.38,372.727,199.35,261.767,372.441,204.171,266.249,365.717,175.578,266.685,337.763,191.331,257.196,380.263,200.884,272.803,424.713,194.93,265.267,367.582,161.067,219.659,397.314,200.368,261.373,368.388,204.227,276.015,418.689,215.287,294.998,470.606,192.007,265.721,394.24,205.673,269.904,419.074,221.644,277.992,451.386
cap_solar [GW],898.406,1585.748,2855.809,692.574,1311.985,2252.735,808.202,1452.653,2650.912,793.629,1479.132,2672.04,776.455,1474.917,2680.267,847.955,1512.239,2770.369,892.823,1599.727,3000.637,873.943,1530.319,2796.734,793.447,1461.241,2544.806,877.924,1620.443,2928.51,779.404,1407.397,2520.528,742.659,1394.742,2476.185,787.8,1425.567,2532.715,821.651,1479.98,2666.458,799.447,1516.78,2644.328,776.772,1444.345,2563.666,763.616,1422.682,2450.261
cap_hydro [GW],142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191
cap_gas [GW],166.587,1633.756,36.916,151.772,775.108,48.153,93.149,803.693,41.49,80.486,984.009,26.091,167.584,970.142,104.432,111.267,727.337,38.129,111.777,891.293,28.84,196.603,823.79,43.276,145.865,687.983,94.329,140.534,813.02,46.886,175.643,726.351,37.616,143.209,793.074,165.533,106.475,1013.418,37.354,102.951,860.777,54.115,214.759,805.193,35.872,101.291,802.153,48.248,128.208,880.748,63.999
sector,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B,,T-H,T-H-I-B
AL0 0 X Store,0.005,0.06,0.11,0.004,0.046,0.011,0.004,0.044,0.011,0.004,0.049,0.008,0.004,0.058,0.06,0.003,0.066,0.032,0.004,0.064,0.042,0.004,0.007,0.01,0.004,0.057,0.091,0.005,0.006,0.01,0.003,0.072,0.008,0.002,0.051,0.076,0.004,0.065,0.008,0.004,0.051,0.046,0.005,0.049,0.063,0.003,0.005,0.009,0.003,0.063,0.051
AT0 0 X Store,0.008,0.062,0.131,0.007,0.062,0.017,0.007,0.045,0.014,0.006,0.074,0.023,0.006,0.07,0.129,0.004,0.074,0.044,0.007,0.084,0.155,0.007,0.009,0.018,0.006,0.069,0.135,0.012,0.008,0.013,0.009,0.082,0.009,0.004,0.061,0.104,0.006,0.074,0.009,0.01,0.055,0.058,0.007,0.056,0.107,0.006,0.007,0.018,0.007,0.079,0.068
BA0 0 X Store,0.004,0.056,0.107,0.004,0.044,0.011,0.004,0.042,0.01,0.004,0.046,0.008,0.004,0.055,0.059,0.003,0.063,0.031,0.004,0.06,0.041,0.003,0.006,0.01,0.004,0.054,0.087,0.004,0.006,0.01,0.003,0.064,0.007,0.002,0.049,0.075,0.004,0.062,0.007,0.004,0.049,0.045,0.004,0.047,0.062,0.003,0.005,0.009,0.003,0.058,0.049
BE0 0 X Store,0.018,0.073,0.152,0.009,0.079,0.03,0.018,0.074,0.038,0.012,0.082,0.043,0.018,0.095,0.186,0.005,0.12,0.069,0.008,0.111,0.233,0.009,0.011,0.019,0.008,0.08,0.162,0.03,0.011,0.021,0.015,0.103,0.021,0.005,0.079,0.255,0.013,0.099,0.012,0.018,0.059,0.069,0.008,0.062,0.129,0.012,0.008,0.022,0.011,0.102,0.097
BG0 0 X Store,0.005,0.059,0.111,0.004,0.044,0.011,0.004,0.044,0.011,0.004,0.047,0.008,0.004,0.057,0.06,0.003,0.065,0.033,0.004,0.061,0.042,0.004,0.007,0.01,0.004,0.056,0.091,0.005,0.006,0.01,0.003,0.078,0.009,0.002,0.051,0.082,0.004,0.067,0.008,0.004,0.051,0.047,0.004,0.048,0.065,0.003,0.005,0.009,0.003,0.062,0.051
CH0 0 X Store,0.01,0.063,0.118,0.007,0.053,0.013,0.008,0.045,0.011,0.006,0.055,0.012,0.007,0.068,0.093,0.004,0.068,0.034,0.007,0.066,0.07,0.007,0.007,0.012,0.006,0.06,0.093,0.018,0.007,0.011,0.009,0.077,0.008,0.004,0.055,0.082,0.008,0.071,0.008,0.012,0.053,0.05,0.009,0.054,0.073,0.006,0.006,0.011,0.009,0.077,0.057
CZ0 0 X Store,0.005,0.057,0.116,0.005,0.05,0.019,0.005,0.042,0.015,0.004,0.056,0.015,0.004,0.061,0.087,0.003,0.065,0.043,0.005,0.067,0.06,0.004,0.007,0.021,0.004,0.065,0.185,0.007,0.006,0.012,0.005,0.072,0.011,0.003,0.052,0.144,0.004,0.065,0.009,0.006,0.049,0.056,0.004,0.048,0.095,0.004,0.006,0.021,0.004,0.066,0.059
DE0 0 X Store,0.011,0.06,0.16,0.009,0.066,0.033,0.012,0.047,0.026,0.008,0.07,0.066,0.008,0.068,0.153,0.005,0.072,0.069,0.007,0.083,0.238,0.011,0.009,0.057,0.008,0.069,0.335,0.023,0.008,0.041,0.015,0.1,0.041,0.006,0.06,0.214,0.01,0.081,0.024,0.016,0.053,0.095,0.012,0.057,0.382,0.012,0.007,0.052,0.014,0.079,0.09
DK0 0 X Store,0.043,0.119,0.14,0.055,0.159,0.013,41.978,0.088,0.017,4.231,0.386,0.013,0.051,0.123,0.08,0.012,0.148,0.038,0.033,0.185,27.966,77.651,0.033,0.012,0.037,0.175,0.112,0.022,0.009,0.015,3.335,0.23,0.009,0.011,0.154,0.112,29.44,0.354,0.031,121.502,0.106,0.05,20.43,0.121,5.2,34.745,0.012,0.01,0.067,0.187,0.083
DK3 0 X Store,0.007,3.395,1.124,0.006,9.374,4.991,0.009,0.115,0.087,0.009,12.294,9.247,0.007,0.109,0.14,0.004,1.963,0.036,0.005,0.538,0.05,0.005,0.02,0.011,0.005,0.108,0.106,0.004,0.009,0.012,0.006,12.553,0.01,0.003,0.161,0.286,0.013,0.133,0.014,0.02,0.166,0.067,0.009,8.246,0.866,0.005,10.501,0.063,0.006,13.839,0.143
EE6 0 X Store,0.008,0.142,0.256,0.029,0.087,4.005,0.006,0.056,0.02,0.006,0.255,0.025,0.006,0.093,0.113,0.006,0.099,0.132,0.005,0.11,0.063,0.007,0.205,0.044,0.005,9.167,0.197,0.021,0.008,0.026,0.007,2.775,0.015,0.006,0.175,1.767,0.006,0.09,0.018,0.011,0.068,0.063,0.007,0.587,1.366,0.007,0.012,0.028,0.006,0.187,0.12
ES0 0 X Store,0.01,0.069,0.121,0.006,0.059,0.014,0.007,0.054,0.016,0.004,0.062,0.01,0.005,0.078,0.078,0.004,0.088,0.045,0.005,0.076,0.1,0.008,0.008,0.011,0.006,0.069,0.116,0.006,0.008,0.011,0.005,0.082,0.01,0.003,0.059,0.087,0.005,0.081,0.012,0.004,0.055,0.055,0.006,0.066,0.078,0.006,0.007,0.011,0.01,0.103,0.114
ES2 0 X Store,0.318,0.072,0.132,0.006,0.064,0.012,0.011,0.066,0.02,0.004,0.066,0.01,0.005,0.09,0.089,0.006,0.1,0.042,0.005,0.092,0.245,0.008,0.009,0.014,0.005,0.088,0.112,0.007,0.008,0.011,0.007,0.094,0.012,0.003,0.065,0.087,0.007,0.098,0.02,0.004,0.061,0.087,0.007,0.074,0.074,0.007,0.009,0.011,1.15,0.125,0.134
FI3 0 X Store,0.005,0.449,16.884,0.009,16.443,41.438,0.006,0.053,9.89,0.004,0.103,14.533,0.004,0.084,0.156,0.003,0.068,0.073,0.007,4.452,17.655,0.004,0.009,0.089,1.251,3.186,7.781,0.006,0.006,0.036,0.004,0.372,7.648,0.003,0.16,1.881,0.004,0.069,0.016,0.005,0.05,0.092,0.005,0.106,24.559,0.007,0.011,8.54,0.004,0.145,0.473
FR0 0 X Store,0.012,0.073,0.141,0.007,0.064,0.018,0.014,0.067,0.036,0.007,0.07,0.042,0.014,0.099,0.145,0.005,0.104,0.06,0.007,0.103,0.216,0.006,0.008,0.014,0.006,0.068,0.124,0.012,0.008,0.016,0.008,0.095,0.011,0.004,0.061,0.115,0.007,0.084,0.01,0.012,0.058,0.061,0.007,0.058,0.102,0.006,0.007,0.018,0.012,0.1,0.077
GB4 0 X Store,3.621,5.943,1.057,9.871,31.616,0.133,7.535,36.357,25.53,4.502,1.036,0.046,0.584,7.859,2.775,3.402,9.454,12.654,8.028,19.628,7.985,27.045,13.365,0.083,2.663,28.46,6.208,8.589,39.501,2.178,8.242,2.781,15.821,9.393,33.532,19.173,12.247,7.884,20.477,0.053,0.444,5.831,11.93,1.361,7.496,6.481,3.463,7.031,11.472,7.996,6.681
GB5 0 X Store,203.193,0.594,159.68,226.361,244.109,107.985,251.132,109.081,166.152,0.994,4.265,270.478,148.853,0.292,0.211,0.015,60.821,10.914,205.122,1.426,351.853,103.273,120.045,76.388,128.212,236.09,118.148,217.867,40.459,0.076,154.055,100.883,141.491,249.639,232.656,410.554,197.068,166.94,96.399,238.971,0.191,86.126,113.111,3.692,97.678,105.78,73.359,154.272,230.198,1.082,12.195
GR0 0 X Store,0.008,0.067,0.115,0.004,0.048,0.012,0.005,0.052,0.011,0.004,0.052,0.008,0.004,0.063,0.064,0.003,0.067,0.034,0.008,0.074,0.044,0.005,0.008,0.01,0.004,0.066,0.097,0.007,0.007,0.011,0.004,0.097,0.01,0.003,0.058,0.084,0.005,0.088,0.009,0.004,0.058,0.051,0.008,0.054,0.068,0.004,0.006,0.009,0.005,0.069,0.053
HR0 0 X Store,0.004,0.055,0.106,0.004,0.044,0.011,0.004,0.042,0.01,0.004,0.046,0.008,0.004,0.055,0.059,0.003,0.063,0.031,0.004,0.061,0.042,0.003,0.006,0.01,0.004,0.054,0.087,0.004,0.006,0.01,0.003,0.065,0.007,0.002,0.049,0.075,0.004,0.062,0.007,0.004,0.049,0.045,0.004,0.047,0.062,0.003,0.005,0.009,0.003,0.058,0.048
HU0 0 X Store,0.004,0.055,0.106,0.004,0.043,0.01,0.004,0.041,0.01,0.004,0.046,0.007,0.004,0.055,0.061,0.003,0.063,0.031,0.004,0.06,0.041,0.003,0.006,0.01,0.004,0.055,0.088,0.005,0.006,0.01,0.003,0.066,0.007,0.002,0.049,0.074,0.004,0.061,0.007,0.005,0.048,0.045,0.004,0.047,0.064,0.003,0.005,0.009,0.003,0.057,0.049
IE4 0 X Store,0.136,8.126,7.146,0.067,9.901,2.414,0.036,12.232,62.543,0.095,0.466,0.054,0.022,0.947,44.177,0.031,1.661,0.569,0.055,2.907,58.188,0.055,16.102,46.496,0.034,2.634,44.778,7.666,36.562,15.804,0.02,0.434,6.4,0.052,11.84,57.545,0.041,1.212,38.315,0.012,0.215,0.502,0.049,0.776,2.365,0.051,0.431,43.298,0.047,9.917,36.333
