,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
AT0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.007,0.0,0.001,0.034,0.003,0.007,0.001,0.001,0.015,2.368,0.001,0.005,0.0,1.185,0.002,0.0,0.001,0.0,2.884,0.0
BA0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.002,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0
BE0 0 X Discharge,0.0,0.001,0.002,0.003,0.003,0.001,0.0,0.0,0.002,0.002,0.0,0.001,0.0,0.008,0.004,0.002,0.953,0.004,0.014,0.038,0.001,0.012,1.968,0.077,0.339,0.001,2.079,0.003,0.0,0.001,0.001,2.018,0.0
BG0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.019,0.001,0.002,0.084,0.005,0.56,1.162,0.001,0.058,1.592,0.002,1.309,0.001,1.115,0.003,0.0,0.001,0.0,1.719,0.0
CH0 0 X Discharge,0.0,0.001,0.312,1.801,1.934,0.002,0.0,0.0,0.016,1.026,0.0,0.001,0.0,0.003,0.0,0.001,0.003,0.002,0.004,0.001,0.001,0.003,0.001,0.0,0.011,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.0
CZ0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.004,0.0,0.001,0.006,0.002,0.003,0.001,0.001,0.004,0.012,0.0,0.004,0.0,0.001,0.001,0.0,0.0,0.0,0.095,0.0
DE0 0 X Discharge,0.0,0.002,5.056,5.58,5.444,1.148,0.0,0.0,3.484,4.99,0.001,0.001,0.0,0.003,0.002,0.001,3.514,0.002,0.002,0.0,0.001,0.003,8.921,0.887,0.003,0.001,6.768,0.003,0.0,0.0,0.0,10.227,0.0
DK0 0 X Discharge,0.001,2.245,3.147,3.223,3.096,2.965,0.0,0.0,3.157,3.16,1.151,0.001,0.0,2.893,0.0,0.003,0.006,0.062,5.174,5.801,0.001,3.959,0.001,0.0,5.937,0.0,0.001,0.002,0.001,1.521,0.0,0.001,0.001
DK3 0 X Discharge,0.0,0.0,0.001,0.395,0.553,0.0,0.0,0.0,0.001,0.055,0.0,0.003,0.0,6.025,0.777,4.426,1.227,5.639,5.305,4.857,0.003,5.883,1.47,0.885,4.683,0.335,1.406,0.013,0.001,5.519,0.004,1.46,6.088
EE6 0 X Discharge,0.0,0.0,0.001,0.011,0.077,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,2.181,0.519,0.033,1.019,2.28,2.125,1.94,0.002,2.169,1.6,0.677,1.951,0.129,1.48,0.006,0.001,2.271,0.001,1.613,1.466
ES0 0 X Discharge,0.0,0.001,0.463,2.092,2.475,0.026,0.0,0.0,0.264,1.365,0.0,0.001,0.0,0.728,2.193,0.002,4.61,0.01,3.008,3.411,0.003,1.619,8.631,3.482,3.519,0.006,6.136,0.006,0.0,0.061,0.001,9.808,0.0
ES2 0 X Discharge,0.027,0.09,0.1,0.089,0.094,0.116,0.0,0.0,0.108,0.094,0.057,0.001,0.0,0.189,0.292,0.003,0.433,0.048,0.311,0.539,0.002,0.211,0.681,0.405,0.547,0.076,0.529,0.006,0.0,0.176,0.002,0.716,0.001
FI3 0 X Discharge,0.0,0.0,0.0,0.251,0.378,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.353,3.098,0.034,3.355,0.168,1.194,1.431,0.004,0.477,3.571,3.212,1.441,2.882,3.501,0.042,0.001,0.134,2.106,3.606,0.019
FR0 0 X Discharge,0.0,0.001,0.996,2.198,2.299,0.003,0.0,0.0,0.547,1.577,0.0,0.001,0.0,0.006,0.0,0.001,0.015,0.003,0.017,1.034,0.001,0.009,5.096,0.001,1.927,0.0,1.614,0.002,0.0,0.0,0.0,6.699,0.0
GB4 0 X Discharge,0.37,0.645,0.64,0.726,0.688,0.677,0.0,0.002,0.655,0.679,0.52,0.003,0.0,1.228,1.254,0.346,1.709,1.147,1.183,1.141,0.01,1.25,1.569,1.523,1.162,0.917,1.761,0.373,0.001,1.169,0.888,1.439,0.875
GB5 0 X Discharge,4.321,13.893,14.978,15.346,15.149,15.142,0.0,0.0,15.22,15.628,9.666,0.002,0.0,15.897,22.806,0.017,27.079,13.138,19.467,20.76,0.005,17.276,23.832,26.303,21.162,18.008,25.278,1.043,0.001,14.768,14.528,23.236,7.208
GR0 0 X Discharge,0.0,0.0,0.021,0.243,0.31,0.0,0.0,0.0,0.001,0.117,0.0,0.001,0.0,0.042,0.001,0.002,0.082,0.006,0.877,0.914,0.002,0.254,1.326,0.002,0.917,0.001,1.006,0.003,0.0,0.001,0.0,1.847,0.0
HR0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.003,0.001,0.001,0.0,0.001,0.002,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0
HU0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.002,0.001,0.001,0.0,0.001,0.002,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
IE4 0 X Discharge,0.002,0.025,0.102,0.163,0.199,0.045,0.0,0.0,0.104,0.136,0.012,0.003,0.0,1.187,3.069,0.319,3.083,0.989,1.282,1.301,0.009,1.222,3.489,3.167,1.304,2.693,3.158,1.736,0.001,1.146,2.133,3.364,0.742
IT0 0 X Discharge,0.0,0.0,0.001,0.393,0.694,0.0,0.0,0.0,0.001,0.022,0.0,0.0,0.0,0.002,0.0,0.001,0.002,0.001,0.268,3.805,0.001,0.003,0.386,0.0,5.538,0.0,0.0,0.001,0.0,0.0,0.0,2.467,0.0
IT1 0 X Discharge,0.0,0.144,0.346,0.446,0.452,0.227,0.0,0.0,0.285,0.402,0.003,0.0,0.0,0.006,0.0,0.001,0.004,0.002,0.47,0.648,0.001,0.055,0.434,0.0,0.75,0.0,0.015,0.001,0.0,0.0,0.0,0.473,0.0
LT6 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.08,0.001,0.024,0.013,0.077,0.021,0.003,0.002,0.07,0.002,0.001,0.011,0.002,0.001,0.004,0.001,0.007,0.001,0.002,0.009
LU0 0 X Discharge,0.31,0.873,1.06,0.939,0.971,0.938,0.0,0.001,1.08,1.006,0.605,0.001,0.0,0.02,0.172,0.002,0.653,0.003,0.466,0.588,0.001,0.111,0.956,0.617,0.648,0.002,0.763,0.003,0.0,0.001,0.001,0.987,0.0
LV6 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.081,0.003,0.024,0.035,0.078,0.021,0.003,0.002,0.071,0.077,0.004,0.011,0.004,0.007,0.005,0.001,0.007,0.001,0.132,0.009
ME0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.004,0.0,0.001,0.006,0.002,0.003,0.001,0.001,0.004,0.002,0.0,0.003,0.0,0.001,0.002,0.0,0.0,0.0,0.003,0.0
MK0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.032,0.001,0.002,0.043,0.006,0.363,0.618,0.001,0.189,0.332,0.001,0.711,0.001,0.041,0.003,0.0,0.001,0.0,0.231,0.0
NL0 0 X Discharge,0.0,2.009,5.318,5.766,5.809,4.115,0.0,0.0,5.104,5.887,0.001,0.001,0.0,6.9,11.593,0.003,15.576,0.075,15.477,16.604,0.003,11.051,18.975,14.399,16.675,6.712,18.161,0.012,0.001,2.957,0.821,18.537,0.001
NO3 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
PL0 0 X Discharge,0.0,0.0,0.002,0.645,0.698,0.001,0.0,0.0,0.001,0.349,0.0,0.002,0.0,5.583,7.404,0.03,11.935,1.622,9.002,10.137,0.002,6.722,14.207,9.74,9.787,2.136,14.03,0.005,0.001,4.635,0.001,13.792,0.057
PT0 0 X Discharge,0.0,0.001,0.374,0.492,0.738,0.025,0.0,0.0,0.205,0.378,0.0,0.001,0.0,0.012,0.005,0.002,0.049,0.006,0.006,0.001,0.003,0.011,0.003,0.005,0.005,0.003,0.003,0.006,0.0,0.001,0.001,0.002,0.0
RO0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.008,0.001,0.001,0.014,0.004,0.006,0.001,0.001,0.01,0.001,0.001,0.007,0.001,0.001,0.002,0.0,0.001,0.0,0.001,0.0
RS0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.016,0.001,0.002,0.088,0.005,0.011,0.001,0.002,0.021,0.002,0.002,0.007,0.001,0.003,0.003,0.0,0.001,0.001,0.002,0.0
SE3 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.05,0.001,0.024,0.015,0.049,0.024,0.003,0.003,0.05,0.002,0.001,0.014,0.001,0.002,0.006,0.001,0.004,0.001,0.002,0.006
SI0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.0,0.001,0.005,0.003,0.005,0.001,0.001,0.006,0.063,0.0,0.009,0.0,0.001,0.002,0.0,0.0,0.0,0.266,0.0
SK0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.0,0.001,0.006,0.002,0.004,0.009,0.001,0.004,0.258,0.0,0.542,0.0,0.004,0.002,0.0,0.0,0.0,0.386,0.0
AL0 0 onwind,1.16,0.896,1.091,1.081,0.777,0.977,1.02,1.089,1.282,1.324,1.235,10.628,2.587,11.339,2.5,14.404,23.957,18.536,10.501,2.143,23.936,11.508,3.22,1.86,14.525,2.918,2.494,26.253,8.694,1.723,2.593,3.507,1.837
AT0 0 onwind,9.089,6.88,8.587,8.24,5.766,7.525,7.983,8.617,9.643,10.125,9.718,120.056,36.655,175.826,36.812,161.028,365.964,205.155,113.762,21.717,364.383,153.821,45.644,31.184,145.882,43.193,39.003,384.594,98.377,19.01,39.628,50.459,20.408
BA0 0 onwind,1.022,0.788,0.97,0.968,0.685,0.86,0.905,0.971,1.117,1.184,1.099,9.306,2.303,10.633,2.178,12.72,21.663,16.36,9.413,1.913,21.463,9.777,2.752,1.695,12.844,2.651,2.231,23.375,7.747,1.529,2.27,2.995,1.628
BE0 0 onwind,4320019.386,4013721.472,3493119.7,3268171.507,3189634.908,3886977.475,4701588.716,4705951.567,3671004.857,3457575.731,3993260.897,9898634.967,10213793.178,9973637.218,10220678.056,9887963.856,10195168.016,9934556.136,9950996.654,9948271.084,10143120.067,9999905.83,10323581.235,10222117.641,10087488.44,10235084.755,10297134.821,10145350.671,9841372.813,9769432.595,10211777.508,10340568.949,9708888.831
BG0 0 onwind,10.202,7.847,9.9,9.668,6.849,8.692,8.969,9.674,11.144,11.766,11.039,91.778,25.978,129.849,25.822,124.18,263.289,158.884,91.877,18.498,257.504,117.158,31.945,21.791,125.612,30.361,28.175,271.167,75.41,14.736,28.028,35.087,15.794
CH0 0 onwind,0.831,0.634,0.755,0.755,0.526,0.685,0.734,0.786,0.899,0.929,0.881,7.91,1.849,8.761,1.775,10.696,17.056,13.753,7.854,1.583,16.871,8.437,2.252,1.309,10.675,2.089,1.732,18.643,6.484,1.279,1.827,2.453,1.365
CZ0 0 onwind,67.439,43.984,48.692,38.011,25.092,44.873,61.371,67.091,56.618,52.565,66.247,3599707.573,5614584.631,3138695.39,6083242.489,3609243.57,6409663.382,3402311.661,3031369.438,2740258.14,5630507.537,3149565.464,7852728.538,6197050.825,2527582.091,5967212.317,7224074.174,5659749.992,3596367.348,3349015.384,5758264.876,8420532.649,3511993.681
DE0 0 onwind,21.418,16.588,21.319,21.254,15.466,18.32,18.814,20.242,23.449,25.334,23.127,5249480.518,42252792.808,4724329.12,41564341.098,5406588.366,43330776.121,5154227.856,4041212.658,4210246.627,41818545.807,4448397.066,48010365.281,41948290.499,4396622.688,41829882.361,45929512.971,41880469.949,5282190.059,4996137.513,42167038.841,49205822.681,5422120.875
DK0 0 onwind,9240537.476,10498282.166,11593030.317,12381695.151,12537389.387,11039193.091,9156296.744,9190121.917,11329526.826,11936767.736,9915568.474,21795688.727,65807255.038,22368249.279,65783551.3,21868693.492,66310932.019,21783110.848,24008896.132,25065092.933,66252664.312,23241443.622,65879672.436,65877758.728,25309344.669,65706465.791,65926008.999,66243068.042,21813613.343,22256190.026,65854097.109,65889555.088,21700209.284
DK3 0 onwind,5411307.194,5572359.317,5704977.398,6116196.971,6293912.693,5615596.635,5356573.151,5358152.88,5657739.543,5798835.752,5533910.159,13241431.844,13511454.34,13434555.155,13525285.539,13284225.815,13505508.79,13352234.751,13493545.443,13508943.325,13456439.497,13482584.556,13571158.268,13529205.073,13504388.896,13527535.209,13553308.399,13459909.737,13233634.483,13386920.3,13495379.924,13569769.618,13300908.404
EE6 0 onwind,3499749.513,3503795.571,3571130.497,3629204.248,3683582.961,3534901.806,3497429.069,3496134.545,3562366.982,3615924.632,3502323.246,4960589.791,10581536.129,5142277.221,10785505.903,4967774.305,10819043.306,5035989.665,5533177.13,5611510.586,10587502.701,5290621.121,11082483.783,10831055.346,5623254.992,10673090.011,11007517.255,10581636.898,4967030.612,5078396.663,10583144.193,11228181.044,5025714.319
ES0 0 onwind,11552690.787,10737909.578,8807494.391,5929483.393,5197290.326,10112542.246,11984479.48,11976043.219,9595830.561,7319037.968,11095582.888,25140783.77,26608760.473,25457542.369,27505896.224,25144884.778,27969550.782,25192950.987,25438670.391,25410760.112,26869018.099,25585997.022,32656823.767,27627889.998,25333486.089,26900542.389,29066379.409,26832474.232,25118723.351,25324081.372,26848519.891,33646549.043,25257144.792
ES2 0 onwind,533734.917,553384.309,574030.072,594952.656,604739.926,555370.18,513485.015,514480.225,569726.43,578803.309,547525.209,911696.214,2347583.675,918226.438,2427686.648,909191.582,2554768.015,919067.477,893965.585,887034.531,2355817.469,898005.496,2720679.671,2509239.532,911083.562,2395113.779,2633923.367,2355180.324,901317.907,881066.532,2349241.522,2768273.854,874312.535
FI3 0 onwind,161.718,122.573,162.549,154.947,115.246,138.135,134.886,152.512,179.203,202.441,165.553,1390.704,1695.61,3380.689,1385.442,1905.294,12780.874,2785.069,2328.06,425.98,17690.953,3199.946,899.76,1067.229,2834.414,1414.414,1062.393,17183.384,1156.35,293.977,1303.205,850.953,249.638
FR0 0 onwind,98.023,69.35,75.859,63.985,44.039,70.15,87.958,95.153,86.452,81.751,102.459,36333801.091,102439723.773,36208079.397,101126978.553,36418057.137,99948310.479,36325042.655,35654105.388,35800513.682,101751112.284,35881502.093,101407748.014,100764129.943,35670104.018,101891617.507,100519393.411,101781011.29,36482281.573,36639862.267,102221394.679,99868554.477,36667514.844
GB4 0 onwind,653596.757,963484.237,1609495.354,2797764.13,3101965.305,1120371.685,497440.075,499737.834,1297289.674,2262938.598,775783.447,4921085.035,35355203.953,5618656.128,35363314.571,5154424.233,35462839.769,5494134.224,6258916.833,6681793.287,35386178.454,5840904.629,35426403.323,35401734.514,6687220.306,35358341.186,35436363.493,35381423.417,4949567.301,5510406.625,35371274.635,35532245.127,5447695.898
GB5 0 onwind,62336203.434,69916790.193,73692253.43,77315959.394,78192981.409,71474095.294,58364459.858,58387633.824,72471847.461,75340312.12,66640570.276,162588876.515,415994512.875,173696733.765,416681409.921,162516991.875,415414566.695,167873714.04,182208798.206,189257895.795,415104234.018,177441048.319,413501276.524,416774107.746,193089666.797,416234538.504,414866326.711,415071702.696,162272742.321,169517207.259,415963166.918,412771545.054,164755360.3
GR0 0 onwind,12.682,9.83,12.825,12.877,9.365,10.947,11.108,11.948,14.185,15.457,13.756,153.936,53.428,226.487,54.061,208.498,559.288,263.248,151.647,30.411,536.953,196.01,69.359,46.276,205.027,62.89,59.793,561.563,126.639,24.55,58.573,77.489,26.432
HR0 0 onwind,7.07,5.381,6.191,5.912,4.171,5.744,6.202,6.709,7.331,7.211,7.605,66.358,18.455,87.706,18.251,89.779,177.013,114.562,65.535,13.154,181.547,79.707,21.554,15.081,89.26,21.475,18.66,191.786,54.558,10.52,19.381,23.48,11.399
HU0 0 onwind,542.983,172.081,83.425,48.248,30.934,120.912,539.981,645.137,120.468,74.623,413.309,3706517.278,9308733.32,4212703.589,9311288.882,3758001.84,9423135.506,4012642.132,3762118.774,3223545.232,9315493.517,4164697.794,9697281.57,9338347.178,2912269.6,9276002.586,9528672.498,9315885.35,3707751.328,4152175.802,9293695.848,9806336.843,3865974.221
IE4 0 onwind,2449880.946,2457515.349,2427917.708,2462270.736,2471359.61,2438594.264,2399622.583,2401339.396,2431137.924,2457102.384,2453485.59,6620229.687,35568649.396,7360755.255,37778873.13,6657151.491,40682652.769,7125356.451,7703928.779,7590388.759,35725715.597,7463070.333,47186912.658,39022972.275,7827654.669,36735435.844,43684574.022,36002344.613,6602384.141,7072318.468,36322170.576,49087416.245,6735227.639
IT0 0 onwind,14.41,10.617,12.36,11.114,7.8,11.252,12.822,13.815,14.209,14.005,15.22,3611123.523,1519209.431,2978177.665,1621068.966,3441411.625,1516819.564,3202155.156,1789179.469,451978.789,1549150.704,2474369.96,208349.936,1661490.393,6165.309,1588995.259,799136.588,1539967.502,3582575.082,3099906.738,1553880.817,3491.986,3171959.98
IT1 0 onwind,1343275.177,1330067.367,1246252.277,1125154.554,1105039.912,1300633.64,1348200.29,1349172.0,1277244.474,1185535.692,1326395.463,2135983.723,3266908.367,2148070.364,3342953.549,2145140.611,3368004.507,2144082.232,2388251.145,2582795.644,3287400.732,2204921.601,3532544.482,3355157.0,2599047.212,3282683.474,3471564.656,3288320.262,2138560.651,2145966.033,3275365.21,3527741.408,2146984.409
LT6 0 onwind,57.739,44.542,59.485,58.662,40.52,49.445,50.677,55.307,65.446,71.228,63.14,556.719,194.077,904.832,196.311,762.9,1878.463,1019.841,649.033,131.29,1995.7,820.964,210.237,162.29,868.69,221.225,187.76,2083.902,459.072,96.118,207.941,230.826,99.624
LU0 0 onwind,18.103,14.0,14.198,14.61,8.736,14.482,17.365,15.975,20.864,18.331,18.987,1843163.109,1869030.323,1849894.808,1866795.585,1844780.687,1856503.69,1843050.558,1871561.175,1889332.231,1841452.367,1854990.346,1878987.861,1870323.344,1876429.006,1870163.762,1873409.786,1845347.833,1849518.556,1862701.073,1866508.141,1876326.678,1869243.073
LV6 0 onwind,95.968,78.767,112.035,120.19,78.343,88.005,82.795,91.121,121.81,141.414,107.815,1556.086,219.589,2708.498,220.604,2085.599,2195.923,2896.375,1539.857,317.101,2254.208,2447.552,241.372,187.78,2090.162,255.942,223.217,2329.653,1264.856,281.286,241.865,259.058,275.159
ME0 0 onwind,0.909,0.692,0.791,0.787,0.569,0.733,0.802,0.845,0.963,0.961,0.951,8.095,1.892,8.79,1.852,11.049,17.055,14.198,7.989,1.647,17.483,8.767,2.447,1.36,11.119,2.121,1.778,19.345,6.583,1.311,1.877,2.726,1.407
MK0 0 onwind,0.453,0.345,0.422,0.416,0.299,0.38,0.401,0.428,0.497,0.522,0.486,4.079,0.939,3.629,0.746,5.455,6.867,7.068,3.844,0.817,8.093,3.474,1.158,0.517,5.529,0.895,0.223,9.294,3.329,0.655,0.778,1.286,0.699
NL0 0 onwind,24324802.259,25367771.669,27441133.554,29087915.888,29522646.69,26585428.213,24429680.447,24414929.153,27177179.699,28317885.927,24064585.213,41749284.363,43663283.941,42507225.388,43667865.407,42030456.445,43402700.824,41906992.065,43300966.378,43586699.275,43281301.679,42812206.192,43678378.787,43672286.252,43269025.956,43673455.059,43672250.651,43290494.715,42091580.139,42909931.851,43654062.923,43676133.335,42626739.221
NO3 0 onwind,14.058,10.956,13.988,13.936,10.043,12.051,12.37,13.359,15.579,16.746,15.004,149.629,39.093,230.639,39.012,202.879,401.667,261.115,154.522,30.438,393.249,200.443,45.875,33.213,208.013,45.0,41.858,413.162,123.603,24.428,42.433,49.157,25.814
PL0 0 onwind,3516506.679,3202525.892,2653023.31,2222347.154,2074075.544,2956724.63,3649358.567,3645321.693,2966125.415,2308652.99,3343293.499,17728894.975,50449182.997,17720398.195,51206026.559,17838669.813,50428909.84,17793595.794,18611201.399,19011953.538,50061469.178,17934502.988,50504189.356,50754948.804,18764475.612,50709391.726,50936790.737,50099482.94,17799127.91,17837542.567,50502631.811,50689822.759,17964623.489
PT0 0 onwind,40.019,30.729,37.97,39.435,27.956,33.505,34.529,37.317,42.712,47.161,43.57,384.996,108.709,582.251,102.761,519.947,1065.05,674.677,378.488,76.992,1089.204,504.945,118.096,87.229,516.812,126.386,113.436,1140.082,315.651,62.871,117.306,125.21,66.904
RO0 0 onwind,12.187,9.454,11.865,11.612,8.267,10.434,10.731,11.558,13.369,14.112,13.271,113.49,31.502,166.98,31.362,153.459,322.241,196.661,112.067,22.032,314.46,146.07,38.239,26.461,148.982,36.676,33.786,330.488,93.42,18.161,34.339,41.832,19.54
RS0 0 onwind,8.0,6.12,7.402,7.003,4.909,6.672,7.086,7.643,8.454,8.681,8.666,81.337,23.344,110.933,23.537,110.303,245.861,141.176,79.785,16.049,232.089,100.026,28.394,19.843,107.798,27.36,25.645,244.452,66.879,13.011,25.557,31.049,14.054
SE3 0 onwind,34.259,22.029,35.486,35.15,22.34,28.945,30.727,33.18,29.318,42.193,32.245,375.276,78.173,557.038,79.166,500.43,784.3,618.453,342.869,66.249,790.351,473.166,83.646,65.212,446.541,90.796,78.213,829.114,308.699,57.883,85.672,88.276,62.208
SI0 0 onwind,1.747,1.339,1.524,1.528,1.096,1.407,1.547,1.577,1.865,1.847,1.815,15.925,3.534,19.215,3.469,22.01,31.025,28.242,16.044,3.265,33.914,17.129,4.554,2.711,22.002,4.026,3.135,37.375,13.157,2.616,3.442,5.075,2.808
SK0 0 onwind,28.123,20.187,22.461,18.159,12.613,21.502,25.785,27.87,26.705,23.932,28.605,1720412.459,1534412.947,1611074.837,1637073.024,1708618.509,1985057.29,1669854.201,1328267.912,1186029.315,1522793.189,1543783.121,2257229.53,1912237.896,1058619.4,1551548.197,2166685.966,1491911.407,1721109.002,1635256.298,1442988.901,2255161.212,1686189.29
AL0 0 offwind-ac,3.194,2.54,2.706,2.859,1.941,2.688,3.05,2.669,3.813,3.306,3.243,34.131,5.529,41.902,6.771,48.514,58.785,59.165,33.659,7.584,60.833,32.553,9.233,5.612,48.847,7.71,5.632,74.601,28.594,5.796,6.812,11.934,6.28
BE0 0 offwind-ac,172.835,143.885,189.71,233.698,152.819,168.691,141.184,156.846,250.202,289.938,224.555,3505105.966,3606370.29,3486540.69,3596412.662,3523554.897,3539090.399,3472585.537,3557709.37,3602386.816,3517856.297,3497239.295,3610462.43,3601256.76,3527665.416,3608417.919,3607219.628,3522178.789,3556431.682,3600851.53,3602304.113,3606977.555,3608769.228
BE0 0 offwind-dc,5755353.507,5731230.462,5747344.437,5790786.95,5803407.636,5752590.515,5801298.386,5795508.37,5753794.054,5769895.586,5737380.695,5745251.301,5893306.22,5732166.364,5885553.893,5761038.292,5799456.882,5712575.237,5808773.844,5898978.47,5772292.143,5748752.447,5916073.138,5888235.585,5793852.127,5901070.192,5909853.353,5775997.386,5800663.055,5892265.792,5884503.965,5912461.547,5911028.596
BG0 0 offwind-ac,12.19,8.985,9.958,10.876,7.092,9.702,11.294,10.04,12.513,12.573,12.362,124.373,27.975,163.679,35.319,170.865,305.642,214.88,122.11,26.491,313.126,130.213,45.014,28.128,175.827,38.568,27.121,382.542,102.235,20.554,35.662,62.028,21.976
BG0 0 offwind-dc,2.625,2.534,3.182,2.872,1.991,2.871,2.227,3.359,3.51,3.728,3.746,20.798,6.623,30.483,9.991,22.82,79.476,26.262,15.258,3.445,84.372,24.472,10.102,8.102,26.218,9.264,9.176,77.087,13.568,2.646,7.369,14.878,2.85
DE0 0 offwind-ac,20029132.534,19308250.817,19572495.599,19745137.406,19737950.257,18937252.157,19975268.805,19967502.057,19457812.515,20152314.447,19925083.196,30588153.865,30640405.527,30557985.307,30638245.701,30595421.732,30511646.151,30553810.359,30622623.711,30651022.027,30488558.168,30569728.424,30643579.675,30639655.959,30599543.6,30643725.537,30640831.402,30491712.74,30618533.387,30648380.256,30636104.824,30641550.612,30651307.775
DE0 0 offwind-dc,100167606.188,101446548.599,103948644.908,105514548.479,105845940.391,102208960.145,99771017.769,99771027.471,103215823.32,104569422.153,100705512.097,107657409.014,105960741.993,107957961.197,106213297.122,107610674.738,107340319.837,107848898.741,108014697.043,108064289.632,106980568.128,108016021.759,106982937.818,106332224.802,108406509.876,106055403.019,106753691.701,106940300.267,107502910.126,107429302.466,106015025.898,107183639.422,107397322.148
DK0 0 offwind-ac,46.067,32.92,39.591,37.469,23.399,35.989,41.001,44.31,46.875,46.506,48.913,425.431,372.951,560.094,387.211,579.142,4181.305,742.028,384.227,77.188,3769.339,525.753,536.704,338.804,517.412,441.222,454.562,3967.55,350.451,68.359,411.885,601.464,73.986
DK0 0 offwind-dc,52.398,39.767,45.63,43.086,30.944,41.968,51.443,55.135,56.239,54.486,58.444,992.498,36137436.57,1514.534,38454728.047,1342.422,39164647.588,1695.101,610.662,131.589,35663444.909,1071.55,46100639.896,38553450.973,881.492,38395204.93,41896630.535,35719582.861,777.037,147.547,37004787.708,48436627.132,169.269
DK3 0 offwind-ac,14.816,12.084,15.019,15.218,11.162,13.196,13.492,14.292,16.959,18.027,16.206,150.336,87.277,222.828,94.691,206.604,972.704,265.089,165.847,33.459,899.882,181.952,120.237,80.484,227.484,106.093,81.118,980.743,124.618,25.144,98.38,135.378,26.358
DK3 0 offwind-dc,21.815,16.988,19.664,20.009,14.471,18.059,19.337,20.499,23.547,23.519,22.756,231.92,404.985,369.677,504.079,319.001,6211.941,415.521,271.012,54.264,4347.646,320.775,892.677,497.301,367.016,524.726,599.365,4630.603,192.276,39.645,461.934,1103.889,40.982
EE6 0 offwind-ac,28.521,21.913,23.476,25.624,16.472,23.677,24.868,27.183,31.135,28.041,30.878,235.634,59.309,333.838,59.659,322.837,604.57,418.055,236.344,49.307,591.22,296.009,73.636,50.798,336.335,69.649,60.115,631.239,194.853,38.977,64.357,80.325,41.403
EE6 0 offwind-dc,26.506,21.142,25.223,26.02,18.915,23.238,23.603,24.282,30.902,30.37,29.424,246.083,49.741,352.345,63.355,341.026,569.963,439.118,241.354,53.251,563.461,283.609,64.594,49.305,360.166,67.192,43.84,662.351,204.657,40.717,62.0,88.389,43.614
ES0 0 offwind-ac,261.351,232.859,196.01,158.449,104.776,229.076,241.337,277.817,246.879,199.998,327.132,87512.196,518.135,243912.573,631.842,97786.051,12033.103,111083.667,7954.576,1628.951,6047.374,45416.998,912.565,685.261,10167.339,717.51,1395.185,6462.611,70065.638,20025.644,663.71,944.845,10229.534
