,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
tres,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CO2 price [EUR],130.119,124.971,115.408,102.899,99.88,121.763,131.517,131.517,118.424,109.636,128.079,266.048,370.346,263.628,369.017,265.939,369.03,265.19,259.458,256.129,370.326,262.271,367.906,368.851,254.714,369.531,369.245,370.306,266.049,264.612,369.89,366.426,265.685
c_sys [bEUR],137.558,137.41,136.958,136.16,135.924,137.279,137.572,137.572,137.127,136.587,137.504,361.241,667.986,360.823,667.615,361.244,666.997,361.128,359.993,359.222,668.009,360.593,665.105,667.327,358.788,667.824,666.126,668.004,361.241,360.985,667.934,664.51,361.198
X Discharge,0.799,3.32,7.183,13.677,15.786,4.527,0.0,0.001,5.9,9.993,1.957,0.001,0.0,5.59,3.951,0.079,8.079,2.161,13.54,21.809,0.003,8.272,20.815,5.941,26.792,1.966,13.253,0.125,0.001,3.752,0.749,26.742,1.005
load_coverage [%],0.087,0.361,0.78,1.486,1.715,0.492,0.0,0.0,0.641,1.086,0.213,0.0,0.0,0.353,0.13,0.005,0.266,0.137,0.851,1.366,0.0,0.521,0.688,0.195,1.676,0.065,0.437,0.004,0.0,0.237,0.025,0.885,0.064
battery_load_coverage [%],1.526,1.358,1.136,0.743,0.589,1.296,1.63,1.629,1.207,0.949,1.457,2.111,3.382,1.992,3.309,2.096,3.19,2.056,1.879,1.707,3.401,1.96,2.808,3.253,1.608,3.358,3.028,3.401,2.107,2.019,3.374,2.675,2.066
G_discharge [GW],2.517,11.958,24.692,38.764,42.064,16.531,0.001,0.002,21.166,31.346,6.611,0.016,0.001,30.514,34.581,2.658,56.764,15.273,56.889,73.396,0.031,39.624,96.926,45.778,81.385,20.349,76.55,1.653,0.006,22.351,11.273,108.385,9.068
E [GWh],260.294,1034.601,1819.91,2739.98,3021.245,1308.953,0.166,0.332,1597.252,2233.385,577.713,1.685,0.323,1762.754,1818.882,35.583,3128.136,843.221,3506.973,4687.94,3.394,2479.406,5809.148,2481.762,5278.264,984.146,4272.132,60.66,1.222,1295.218,402.075,6735.962,430.065
G_charge [GW],4.054,14.562,27.998,45.668,51.269,18.875,0.002,0.006,23.914,35.809,9.269,0.018,0.003,26.804,24.586,0.574,43.53,12.133,53.403,76.845,0.041,37.199,85.124,34.138,88.59,13.208,61.554,0.876,0.012,19.436,5.1,103.267,6.215
G_battery [GW],22.342,19.697,16.392,11.143,8.689,18.631,23.889,23.886,17.369,14.039,21.264,73.461,179.2,66.182,173.348,71.864,166.265,69.099,62.278,56.599,179.201,64.932,145.597,170.097,53.493,176.817,158.162,179.227,73.453,67.728,178.2,137.734,70.31
E_battery [GWh],123.043,108.531,89.962,58.203,46.009,103.343,131.982,131.96,95.929,74.727,117.057,444.743,1065.063,416.228,1032.467,440.25,986.016,430.607,390.289,351.377,1064.842,408.366,857.455,1012.335,328.84,1052.792,934.466,1065.076,444.703,424.997,1060.809,811.097,435.819
G_PHS [GW],56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
E_PHS [GWh],1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69
G_electrolysis [GW],0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,82.106,811.639,74.258,801.107,82.172,795.898,78.973,66.803,60.789,811.579,71.394,788.755,798.662,57.78,804.7,792.606,811.151,82.121,76.347,808.44,785.589,80.692
E_H2 [GWh],0.078,0.061,0.078,0.077,0.056,0.067,0.068,0.074,0.086,0.093,0.085,925.349,8268.225,688.956,8458.33,922.474,8495.86,805.713,539.604,483.065,8264.641,630.747,8386.239,8514.746,461.304,8389.596,8484.61,8262.225,925.231,760.489,8337.936,8263.131,886.209
avail_onwind [MWh],154106140.133,158381019.51,159982141.554,161875237.537,162247149.168,159712072.657,152916595.496,152916942.877,159750460.715,160671942.396,155534581.608,398984051.339,898164235.184,405765113.192,900473751.692,399681991.69,905138557.984,401423098.05,413315071.576,418988521.114,897990444.027,409067990.849,922472784.479,901877297.2,421193985.93,899070268.291,912644401.72,898296795.163,399073067.196,402992180.801,899005980.584,925949459.976,400671734.114
