,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
tres,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CO2 price [EUR],130.119,131.518,131.493,128.676,130.581,130.938,130.309,131.321,131.391,131.518,131.165,128.786,129.683,128.504,131.444,131.517,131.518,130.717,129.032,130.492,266.016,369.923,370.337,265.943,266.022,370.329,370.342,266.008,265.726,265.997,129.289,370.326,370.312,266.016,265.733,266.03,265.985,370.068,370.249,369.86,370.333,265.951,265.837,265.987,370.342,266.03,266.027,265.915,266.009,265.629,370.329,265.974,265.93,370.346,370.32,370.197,370.327,370.342,370.326,370.101,265.616,370.333,370.325
c_sys [bEUR],137.558,137.572,137.572,137.531,137.565,137.569,137.561,137.571,137.571,137.572,137.57,137.536,137.552,137.528,137.572,137.572,137.572,137.567,137.541,137.563,361.251,667.974,668.004,361.24,361.248,668.002,667.979,361.238,361.227,361.229,137.546,668.007,668.005,361.245,361.233,361.245,361.243,667.971,667.982,667.937,668.004,361.245,361.241,361.249,668.0,361.245,361.242,361.241,361.231,361.227,668.007,361.247,361.242,667.985,668.008,667.97,668.016,667.983,668.011,667.963,361.218,668.0,668.013
X Discharge,0.799,0.001,0.01,1.472,0.485,0.23,0.674,0.053,0.034,0.0,0.087,1.395,0.97,1.549,0.022,0.001,0.0,0.352,1.255,0.573,0.003,0.781,0.046,0.072,0.001,0.003,0.117,0.015,0.613,0.066,1.121,0.063,0.101,0.005,0.47,0.003,0.024,0.589,0.217,0.961,0.003,0.058,0.266,0.012,0.029,0.001,0.003,0.109,0.043,0.858,0.002,0.034,0.079,0.073,0.005,0.32,0.002,0.08,0.009,0.431,1.02,0.002,0.005
load_coverage [%],0.087,0.0,0.001,0.16,0.053,0.025,0.073,0.006,0.004,0.0,0.009,0.152,0.105,0.168,0.002,0.0,0.0,0.038,0.136,0.062,0.0,0.026,0.002,0.005,0.0,0.0,0.004,0.001,0.039,0.004,0.122,0.002,0.003,0.0,0.03,0.0,0.002,0.019,0.007,0.032,0.0,0.004,0.017,0.001,0.001,0.0,0.0,0.007,0.003,0.054,0.0,0.002,0.005,0.002,0.0,0.01,0.0,0.003,0.0,0.014,0.065,0.0,0.0
battery_load_coverage [%],1.525,1.63,1.628,1.487,1.563,1.597,1.538,1.616,1.618,1.63,1.612,1.496,1.515,1.48,1.625,1.63,1.631,1.586,1.507,1.552,2.118,3.395,3.398,2.099,2.118,3.398,3.383,2.102,2.087,2.085,1.507,3.398,3.399,2.113,2.096,2.118,2.109,3.39,3.388,3.375,3.397,2.1,2.096,2.113,3.398,2.116,2.114,2.095,2.09,2.089,3.397,2.111,2.099,3.384,3.401,3.382,3.402,3.384,3.401,3.381,2.079,3.395,3.4
G_discharge [GW],2.517,0.002,0.036,4.778,1.543,0.716,2.116,0.186,0.126,0.001,0.287,4.512,3.089,5.067,0.086,0.005,0.001,1.089,4.039,1.803,0.095,10.097,0.575,2.468,0.027,0.033,1.578,0.88,5.796,2.459,3.603,0.747,1.259,0.232,4.976,0.11,1.144,8.385,3.573,11.965,0.03,2.054,3.906,0.59,0.369,0.044,0.114,2.995,1.845,6.783,0.02,1.378,2.613,0.828,0.069,5.326,0.021,0.911,0.117,6.972,7.705,0.02,0.06
E [GWh],260.281,0.177,2.186,480.875,151.102,71.266,218.407,14.447,8.766,0.155,24.031,456.774,316.545,510.848,5.303,0.348,0.116,107.586,411.05,183.084,2.269,523.088,22.158,31.918,1.82,1.888,55.378,6.861,305.207,28.195,367.381,30.938,47.362,2.94,233.472,2.151,11.013,390.081,113.191,663.466,1.721,25.569,129.254,5.933,14.504,1.631,1.787,49.307,18.892,427.167,2.152,15.615,35.609,33.12,3.65,183.189,2.771,35.598,5.579,267.762,510.698,1.575,3.554
G_charge [GW],4.053,0.004,0.056,7.308,2.502,1.225,3.411,0.312,0.201,0.003,0.494,6.971,4.897,7.625,0.13,0.009,0.002,1.846,6.283,2.927,0.035,5.81,0.361,0.518,0.018,0.033,0.801,0.122,3.92,0.471,5.641,0.493,0.715,0.051,3.047,0.032,0.188,4.287,1.443,7.278,0.032,0.425,1.765,0.104,0.238,0.021,0.03,0.76,0.322,5.417,0.027,0.262,0.57,0.531,0.058,2.144,0.031,0.563,0.089,2.977,6.376,0.023,0.057
G_battery [GW],22.341,23.89,23.868,21.731,22.928,23.474,22.529,23.711,23.742,23.89,23.646,21.897,22.195,21.621,23.822,23.889,23.889,23.255,22.096,22.741,73.408,178.388,179.308,71.976,73.451,179.206,179.26,72.9,71.256,71.968,22.017,179.302,179.269,73.36,71.48,73.404,72.755,178.462,178.882,178.181,179.242,72.244,71.546,73.127,179.352,73.443,73.414,71.692,72.381,71.201,179.208,72.665,71.897,179.31,179.206,178.65,179.197,179.325,179.234,178.568,70.959,179.228,179.205
E_battery [GWh],123.035,131.981,131.84,119.787,126.399,129.244,124.138,130.81,131.108,131.987,130.472,120.376,122.106,119.136,131.568,131.975,131.983,128.181,121.37,125.284,444.492,1061.638,1065.251,440.543,444.619,1064.87,1065.29,443.193,438.475,440.697,121.286,1065.248,1065.083,444.381,439.16,444.496,442.792,1062.078,1064.116,1060.58,1065.18,441.313,439.35,443.702,1065.454,444.625,444.577,439.723,441.964,438.092,1064.928,442.549,440.315,1065.423,1064.741,1063.506,1064.818,1065.55,1064.986,1063.007,437.037,1065.096,1064.845
G_PHS [GW],56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
E_PHS [GWh],1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69
G_electrolysis [GW],0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,82.079,808.061,811.411,82.17,82.084,811.583,811.164,82.122,81.433,82.189,0.0,811.274,811.182,82.085,81.69,82.071,82.096,808.818,810.661,807.374,811.586,82.14,81.901,82.081,811.496,82.086,82.093,82.155,82.141,80.817,811.587,82.088,82.16,811.272,811.577,810.401,811.59,811.25,811.57,809.546,80.731,811.578,811.58
E_H2 [GWh],0.054,0.081,0.087,0.074,0.071,0.061,0.082,0.084,0.06,0.089,0.088,0.085,0.07,0.087,0.086,0.08,0.071,0.069,0.074,0.068,924.589,8276.195,8261.454,923.178,924.406,8265.545,8272.313,924.862,897.722,924.214,0.071,8261.27,8262.708,924.643,906.145,924.269,923.81,8283.476,8292.874,8302.321,8266.518,923.068,912.975,924.148,8261.409,924.61,924.901,922.339,923.281,887.381,8265.151,923.145,923.1,8267.668,8263.473,8308.231,8263.606,8266.7,8265.066,8295.952,884.319,8266.29,8264.374
avail_onwind [MWh],154107311.584,152915650.071,152894558.593,154567000.277,153547999.0,152975130.303,154035177.342,152709093.149,152804126.89,152916774.407,152736754.151,154442045.745,154182304.295,154796734.971,152839534.043,152917499.754,152916118.968,153516355.546,154182493.031,153745905.702,398916498.821,898897034.69,898110917.844,399557552.794,398897696.1,898022674.677,898285877.289,399187270.502,400790339.402,399672126.847,154247029.819,898085163.887,898241357.789,399024505.658,400157104.531,398872181.848,399071640.93,898917709.11,898223931.431,898930200.961,898038593.888,399451602.538,400381396.65,399033661.734,898084852.747,398897506.179,398991737.289,399857519.978,399570089.448,400705430.798,898036921.831,399134757.083,399591444.056,898100017.971,898014605.056,898250972.576,897996250.634,898216423.162,898006655.432,898432413.235,400571352.172,898040337.266,897999114.478
avail_offwind [MWh],314661014.494,314626028.761,314655117.012,314617014.26,314760660.395,314979544.3,314626883.241,314888299.394,314785789.508,314625017.417,315014469.776,314574092.86,314684093.642,314599753.053,314753944.779,314624996.701,314624539.933,314729186.495,314677123.978,314746034.258,391002184.515,663844711.956,665144976.395,390663839.895,391014933.124,665268510.352,665158644.173,390806047.115,390192425.605,390519047.524,314702943.221,665233054.385,664855777.3,390895614.616,390349515.148,391039539.148,390965623.614,663809224.926,665603244.926,664149959.292,665246861.675,390764060.314,390384304.283,390936395.619,665147340.1,391007555.008,390920713.617,390496569.568,390581646.183,390211528.439,665265295.142,390949573.553,390643122.555,665230111.241,665284022.433,665154516.091,665317366.217,665100711.722,665271487.732,664306266.524,390274157.55,665270310.692,665310818.235
avail_solar [MWh],276214923.113,277444199.262,277430036.961,275434820.54,276684207.966,277067102.444,276392527.583,277344306.519,277400966.05,277444263.207,277219448.893,275631588.537,276054365.323,275271132.672,277388017.324,277443357.852,277445229.006,276837757.758,275850704.992,276511752.214,517086043.573,911835478.918,911021632.004,517146300.947,517085896.295,910928892.839,910865560.868,517093082.499,516756823.031,517144592.318,275892311.336,910988674.255,911230871.6,517096253.827,516968045.195,517085113.117,517097271.934,911775917.84,910541122.54,911604699.952,910931284.596,517098248.354,516952438.654,517087463.106,911027765.774,517098806.624,517107246.304,517141313.875,517116632.761,516839148.67,910930665.672,517094322.195,517149967.849,910947488.992,910950455.223,910866339.678,910937174.428,910980337.006,910964867.531,911593957.272,516781479.671,910905970.807,910934134.689
used_onwind [MWh],129142417.433,125944966.846,125936244.527,131474812.327,127689359.835,126487016.935,128666503.744,125853553.952,125820193.673,125924318.061,125917649.23,131170419.205,129749590.845,131802912.098,125868701.193,125903299.648,126022734.774,127301701.688,130534493.862,128161461.473,367840791.268,876932378.087,876335375.764,368535983.517,367858758.682,876160819.096,877970414.682,367871385.554,370796431.467,368525526.756,130258865.847,876284244.662,876422828.659,367886161.912,370216270.458,367933333.068,368035345.859,877342902.074,877215979.065,878989191.21,876428172.692,368363979.105,369650912.062,368037654.413,876165454.481,367806092.496,367865902.075,368860430.708,368410429.885,371349428.037,876172316.391,368155485.647,368529329.097,877526280.425,875941437.988,878175501.162,875842469.832,878008918.695,875865893.797,878208322.149,371819456.218,876365918.822,875958192.788
used_offwind [MWh],297913621.542,297239480.511,297291668.773,298349461.953,297880084.271,297863667.027,297835662.343,297597685.488,297478016.063,297259217.457,297791048.416,298267469.773,298043729.318,298400855.157,297422771.721,297282182.128,297209659.472,297702560.125,298291376.923,297885462.583,382150906.417,635303065.489,635138309.597,381567368.325,382182085.988,635479346.97,631880613.523,380982438.684,380841003.011,379790246.029,298153403.88,635283942.306,635060539.701,381759563.889,381628637.206,382269235.509,381999675.885,633873301.002,633893351.471,631625760.721,634842598.686,381397612.258,381591466.854,381921198.782,635374215.734,382047092.154,381702032.284,381173293.266,379817672.859,381023631.928,635385139.369,382160826.964,381684960.407,632329300.548,636046895.411,631934302.101,636212586.47,631638200.321,636159418.83,631416824.669,380508175.401,634878308.869,635951689.628
used_solar [MWh],270064807.393,271088263.555,271085476.181,269327679.788,270491458.878,270815881.387,270210790.829,271030842.077,271099132.208,271089489.994,270904438.451,269509636.716,269887349.64,269163741.489,271062152.187,271089837.047,271056679.18,270593733.766,269706677.38,270323907.42,507137386.605,896572173.537,895843078.551,507392477.635,507114097.97,895745257.284,896483174.962,507784933.186,507237849.106,508321608.453,269731081.032,895789597.118,895982000.615,507369246.298,507016202.929,507125853.18,507252583.601,896685106.716,895818976.662,897247938.022,895871567.539,507517356.528,507073163.369,507246152.825,895888252.485,507236919.14,507452769.262,507528306.872,508283465.629,507238606.084,895698395.889,507112910.595,507302928.256,896476833.58,895639333.706,896527196.108,895574187.036,896626403.704,895638143.283,897224673.859,507518213.801,895824752.17,895645666.061
gas_OCGT_gen [MWh],36028243.5,36362871.6,36372473.1,35648389.8,36281171.4,36471219.3,36139669.2,36384201.0,36389011.5,36364142.1,36421790.1,35703801.3,35956971.3,35579801.7,36371109.6,36363573.3,36363825.6,36357126.9,35793105.9,36220124.4,7344460.5,8729191.5,9693650.1,7326573.6,7348068.6,9797495.4,9578791.2,7317675.6,7044660.3,7327872.0,35872515.9,9660540.9,9591006.9,7337916.6,7119306.3,7345217.7,7328262.6,8901157.5,9463488.9,8657995.5,9796765.2,7323517.8,7224834.9,7331303.4,9731136.9,7346794.5,7341814.8,7293587.7,7313107.5,6943034.1,9800485.8,7324599.3,7321652.4,9637230.9,9794842.2,9326613.0,9800966.7,9624864.6,9785208.0,9124767.0,6901735.2,9799174.5,9796367.1
gas_CCGT_gen [MWh],163907537.4,163433898.3,163420137.3,164444650.2,163549467.0,163280730.6,163749550.5,163403592.6,163397047.8,163432037.1,163350390.9,164366098.2,164008163.4,164541519.0,163422088.8,163432919.1,163432619.7,163442081.7,164239891.2,163635943.2,9889789.2,424454.7,424434.9,9978662.1,9889203.0,424856.1,412657.8,9892920.0,10085318.4,9941836.8,164127627.3,424996.5,426213.3,9875988.3,10101715.8,9878830.2,9904754.4,420249.3,418081.8,413066.4,425142.0,9961117.8,10038202.5,9901694.7,422271.6,9875119.5,9865528.5,9990446.4,9920574.0,10116493.5,425709.0,9922431.9,9986106.9,414313.5,426551.7,412871.7,430601.4,413279.7,428048.7,412835.1,10158310.5,422636.1,429529.8
coal_gen [MWh],81.3,114.3,151.8,114.6,125.1,113.4,137.1,143.4,105.9,125.7,143.1,139.8,113.7,141.9,146.7,112.8,109.5,114.6,125.4,102.0,2148.3,2177.1,1557.3,1380.3,1982.4,1425.3,198.0,840.0,1157.7,132.9,106.8,1758.9,1839.0,1425.0,1599.6,1795.5,1586.1,1311.3,644.4,209.1,1405.8,1689.6,1960.8,1823.1,1313.7,1668.0,1205.4,1497.0,185.4,1530.0,1727.7,1957.5,1676.1,338.1,1851.3,204.3,2375.1,253.2,2114.1,224.1,1092.3,1284.9,2165.7
nuclear_gen [MWh],577.8,959.1,946.5,701.7,905.4,689.7,955.5,976.8,654.9,1053.6,993.9,883.8,735.3,825.0,1124.4,978.6,852.0,695.1,717.0,755.1,139903.8,58514049.3,58758371.4,83301.6,115323.0,58766308.8,58663721.4,55458.3,73985.7,6970.5,725.1,58753676.7,58722734.1,94895.4,90942.0,98727.3,85103.4,58674804.0,58806591.6,58353950.7,58778123.1,100197.9,101724.0,121061.7,58739539.5,81667.2,46587.6,99236.1,12504.6,96897.6,58772550.0,134315.7,106183.5,58743876.9,58761735.6,58842122.1,58786569.3,58734961.8,58782411.9,58741593.9,76272.3,58769811.3,58789857.9
onwind_gen [MWh],387427252.2,377834900.4,377808733.5,394424436.9,383068079.4,379461050.7,385999511.1,377560662.0,377460581.1,377772954.3,377752947.6,393511257.6,389248772.4,395408736.3,377606103.6,377709898.8,378068204.4,381905105.1,391603481.7,384484384.5,1103522373.9,2630797134.3,2629006127.4,1105607950.5,1103576276.1,2628482457.3,2633911244.1,1103614156.8,1112389294.5,1105576580.4,390776597.4,2628852734.1,2629268486.1,1103658485.7,1110648811.5,1103799999.3,1104106037.7,2632028706.3,2631647937.3,2636967573.6,2629284518.1,1105091937.3,1108952736.3,1104112963.2,2628496363.5,1103418277.5,1103597706.3,1106581292.1,1105231289.7,1114048284.0,2628516949.2,1104466456.8,1105587987.3,2632578841.2,2627824314.0,2634526503.6,2627527409.4,2634026756.1,2627597681.4,2634624966.3,1115458368.6,2629097756.4,2627874578.4
offwind_gen [MWh],893740864.5,891718441.5,891875006.4,895048386.0,893640252.9,893591001.0,893506986.9,892793056.5,892434048.3,891777652.5,893373145.2,894802409.4,894131187.9,895202565.6,892268315.1,891846546.3,891628978.5,893107680.3,894874130.7,893656387.8,1146452719.2,1905909196.5,1905414928.8,1144702104.9,1146546258.0,1906438041.0,1895641840.5,1142947316.1,1142523009.0,1139370738.0,894460211.7,1905851826.9,1905181619.1,1145278691.7,1144885911.6,1146807706.5,1145999027.7,1901619903.0,1901680054.5,1894877282.1,1904527796.1,1144192836.9,1144774400.7,1145763596.4,1906122647.1,1146141276.6,1145106096.9,1143519879.9,1139453018.7,1143070895.7,1906155418.2,1146482481.0,1145054881.2,1896987901.5,1908140686.2,1895802906.3,1908637759.5,1894914600.9,1908478256.4,1894250474.1,1141524526.2,1904634926.7,1907855068.8
solar_gen [MWh],810194422.2,813264790.8,813256428.6,807983039.4,811474376.7,812447644.2,810632372.4,813092526.3,813297396.6,813268470.0,812713315.5,808528910.1,809662048.8,807491224.5,813186456.6,813269511.0,813170037.6,811781201.4,809120032.2,810971722.2,1521455035.5,2689805063.7,2687601224.1,1522204203.0,1521380613.0,2687304107.4,2689464577.2,1523372484.9,1521737698.8,1524967593.6,809193243.0,2687443806.9,2688025889.7,1522136630.7,1521080525.7,1521410835.9,1521787142.7,2690117505.3,2687492227.5,2691758199.9,2687681048.1,1522582925.1,1521251321.7,1521774227.4,2687728205.7,1521742379.4,1522385420.1,1522615120.5,1524854558.4,1521746838.9,2687171124.9,1521378479.4,1521942719.4,2689452813.9,2686999597.2,2689597079.1,2686819248.9,2689896386.7,2686999716.0,2691689669.1,1522577788.8,2687534245.5,2687024982.3
hydro_gen [MWh],512032800.6,512031298.5,512030103.0,511998735.3,512049145.2,512055191.7,512014598.1,512038084.8,512074722.6,512029760.4,512029095.6,512009773.8,512002906.2,511981268.4,512049006.3,512034923.4,511988684.7,512025375.3,512013720.0,512025778.2,512015401.2,511828214.1,512126078.4,512111493.9,511956462.3,511927340.7,512881892.4,512510163.0,512300105.7,512801205.3,512006011.8,512068251.6,512121162.0,512173305.9,511898738.4,511814150.1,511960179.9,512212271.4,512534102.4,512871713.4,512237952.6,512240740.5,511959260.1,512065128.0,511893936.3,511987233.3,512039397.3,512243790.0,512815205.4,512280207.3,511987688.7,511928367.6,512077108.5,512805024.3,511733147.7,512893046.4,511807869.9,512897881.8,511689152.4,512826048.0,512443703.4,512121268.2,511830444.3
tot_gen [MWh],2800.613,2791.934,2792.048,2806.826,2797.349,2794.592,2799.336,2792.575,2792.342,2791.932,2792.934,2806.203,2802.289,2807.484,2792.19,2791.942,2791.947,2795.925,2804.913,2798.295,4729.813,8012.46,8010.31,4731.151,4729.814,8010.423,8007.806,4728.823,4734.515,4729.211,2803.707,8010.329,8010.568,4729.608,4734.417,4730.173,4730.265,8010.651,8009.055,8010.0,8010.017,4730.576,4733.202,4730.116,8010.444,4729.613,4729.43,4731.496,4728.757,4736.102,8010.104,4730.694,4731.205,8007.926,8010.947,8008.252,8011.061,8007.806,8011.023,8008.461,4736.703,8009.674,8010.858
cap_onwind [GW],160.15,159.681,159.661,160.082,159.86,159.485,160.173,159.415,159.539,159.683,159.394,160.022,160.068,160.196,159.582,159.683,159.682,159.938,159.816,159.978,453.584,1001.491,1000.558,454.081,453.565,1000.471,1000.734,453.888,454.949,454.254,160.001,1000.54,1000.703,453.705,454.365,453.558,453.705,1001.5,1000.666,1001.528,1000.492,454.025,454.685,453.692,1000.505,453.581,453.687,454.325,454.208,454.697,1000.488,453.734,454.104,1000.544,1000.469,1000.646,1000.448,1000.659,1000.442,1000.908,454.55,1000.486,1000.45
cap_offwind [GW],221.643,221.603,221.621,221.597,221.707,221.861,221.614,221.791,221.716,221.602,221.885,221.553,221.656,221.588,221.692,221.602,221.602,221.678,221.625,221.697,278.19,450.5,451.39,277.963,278.196,451.472,451.386,278.035,277.609,277.83,221.657,451.44,451.205,278.114,277.72,278.207,278.156,450.496,451.635,450.649,451.433,278.027,277.755,278.149,451.399,278.185,278.123,277.845,277.871,277.638,451.467,278.152,277.95,451.425,451.493,451.334,451.509,451.335,451.481,450.785,277.662,451.458,451.502
cap_solar [GW],763.617,766.686,766.656,761.213,764.803,765.764,764.078,766.527,766.637,766.686,766.162,761.734,763.057,760.722,766.555,766.684,766.689,765.194,762.341,764.39,1422.542,2453.826,2450.809,1422.631,1422.538,2450.596,2450.141,1422.528,1421.354,1422.594,762.556,2450.741,2451.471,1422.57,1422.048,1422.526,1422.529,2453.552,2449.305,2452.953,2450.579,1422.489,1421.992,1422.543,2450.822,1422.568,1422.595,1422.598,1422.53,1421.697,2450.594,1422.511,1422.641,2450.517,2450.663,2450.433,2450.621,2450.587,2450.692,2453.159,1421.573,2450.506,2450.619
cap_hydro [GW],142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191
