,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
G_charge [GW],4.654,4.626,4.054,3.9,3.973,4.908,2.65,5.475,0.82,0.792,0.383,0.001,0.001,0.639,0.47,0.554,0.882,0.696,0.023,0.079,0.069,0.007,0.073,0.041,0.004,0.003,0.82,0.997,0.835,0.553,1.03,0.706,0.747,0.716,1.487,0.569,0.475,0.306,0.003
avail_onwind [MWh],464012116.131,231754395.9,154107040.055,114407960.448,91421882.452,73495019.88,65304519.712,57867458.602,47425762.495,43291535.346,39541589.18,32414310.754,16630791.991,1219035110.162,606632238.84,399801527.344,298411996.009,234481944.231,184983827.029,161263300.5,147989013.949,122513410.84,107117739.674,98377178.068,70523754.219,37252717.519,2703004245.573,1353480831.149,898312779.88,671806428.182,529580254.753,436392243.818,377061608.569,339140014.989,286470214.183,254864557.47,229360395.937,171694001.357,85122512.737
avail_offwind [MWh],956710830.174,476566221.828,314661704.239,236392161.412,184580560.248,148887686.658,127143082.879,118428709.661,96657320.412,84364670.428,75351295.796,47994559.52,24853189.477,1190440178.13,589114146.262,390451070.003,291981413.631,230760027.953,191950357.458,162104040.205,145074498.876,122796319.593,110233069.208,100246467.107,85048600.25,42306379.617,2041651382.03,1004095940.942,665125159.918,493403414.373,390390739.472,293347894.817,257118939.826,230517618.726,184506621.169,159202349.466,145094089.335,98664137.986,49397839.017
avail_solar [MWh],816155302.259,410217064.034,276214643.666,208304141.551,170779316.166,148345936.795,125290997.625,103629732.978,103522755.914,94851949.91,87162729.493,99629979.529,48161285.9,1517360656.944,766288698.088,517144908.54,391803423.819,320175303.729,277389339.506,238093006.911,196149946.04,191148835.538,174894119.825,158928049.668,166770940.569,82316999.289,2684606048.892,1357768950.566,910896253.433,694594303.783,566992631.576,505804784.332,430385241.488,354939323.749,360354849.923,333446669.415,305175971.873,352514741.731,177659587.183
used_onwind [MWh],388953537.797,194529814.463,129106009.028,95685372.798,76856420.582,62521192.797,55048039.658,48654804.825,39841729.636,36353714.832,33217178.784,28940057.34,14799840.66,1123314289.867,559024369.309,368722236.157,275024180.418,215111937.406,170099117.215,148152624.006,136347665.071,112131814.41,98137904.835,90093979.167,64391298.313,33464184.906,2637087469.009,1316623561.493,877027468.26,654330340.056,515829927.984,423877605.212,366430769.677,329981717.822,276633245.074,245232817.687,221555856.065,163939693.382,80991818.693
used_offwind [MWh],905474543.198,450844045.337,297957117.974,223745799.489,174710483.905,141525843.878,121040517.338,112088298.222,91842115.585,80157768.809,71747995.854,46743442.089,24370465.313,1165798046.788,573636910.313,379628203.657,283641016.713,224382446.686,186854686.555,157810076.11,141065034.997,119772374.482,107408317.486,97510449.569,83031489.29,41296553.353,1950597589.612,962260968.815,633912335.546,470671485.12,372017826.44,281071643.527,245742994.768,220085491.954,177309938.99,153537859.427,138988855.267,95623420.712,47744462.72
used_solar [MWh],798781555.56,401139659.4,270061117.188,203324365.765,166745522.164,144679880.567,122206278.114,101060390.697,99907729.733,91772086.378,84437368.548,96988412.325,46966015.967,1486011249.601,752141344.975,508344323.103,382966141.939,313252461.827,271865179.113,231820946.583,191662382.53,185834439.553,170059178.037,153550831.941,164295478.564,81144253.888,2644733991.793,1336809937.636,895998097.461,684556760.543,558379690.073,499151692.817,420797009.692,349546026.351,350231400.831,325031297.655,296921127.082,348095893.014,176160277.826
gas_gen [MWh],199926928.4,99927671.5,66645154.6,49848828.3,39847038.8,33429317.0,28481705.9,24902739.5,22043679.7,19824014.4,17934384.1,15902074.5,7995876.6,18705927.9,9106154.5,5758380.8,4485236.9,3739207.3,2504214.4,2695340.4,2469513.5,2071128.9,1772399.7,1625765.6,879419.0,418134.3,9105997.7,4756463.8,3329328.1,2279759.4,2049575.3,1675466.1,1241913.4,1340077.1,1067288.5,1160302.2,976750.5,738644.4,496788.2
onwind_gen [MWh],388953537.8,194529814.5,129106009.0,95685372.8,76856420.6,62521192.8,55048039.7,48654804.8,39841729.6,36353714.8,33217178.8,28940057.3,14799840.7,1123314289.9,559024369.3,368722236.2,275024180.4,215111937.4,170099117.2,148152624.0,136347665.1,112131814.4,98137904.8,90093979.2,64391298.3,33464184.9,2637087469.0,1316623561.5,877027468.3,654330340.1,515829928.0,423877605.2,366430769.7,329981717.8,276633245.1,245232817.7,221555856.1,163939693.4,80991818.7
offwind_gen [MWh],905474543.2,450844045.3,297957118.0,223745799.5,174710483.9,141525843.9,121040517.3,112088298.2,91842115.6,80157768.8,71747995.9,46743442.1,24370465.3,1165798046.8,573636910.3,379628203.7,283641016.7,224382446.7,186854686.6,157810076.1,141065035.0,119772374.5,107408317.5,97510449.6,83031489.3,41296553.4,1950597589.6,962260968.8,633912335.5,470671485.1,372017826.4,281071643.5,245742994.8,220085492.0,177309939.0,153537859.4,138988855.3,95623420.7,47744462.7
