,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
GR0 0 onwind,10.985,13.974,11.778,11.359,13.663,10.231,9.941,12.865,14.062,14.384,11.304,12.381,10.902,13.331,402.373,582.25,496.726,52.631,60.126,11.568,29.621,60.289,53.609,385.317,11.469,283.484,453.969,267.978,506.953,22.797,227.51,63.343,197.976,10.815,106.247,212.77,577.063,150.472,273.674,61.554,155.697,216.887,555.931,435.996,219.993,274.605,18.669,193.999,47.853,19.336,33.751
HR0 0 onwind,6.164,7.839,6.6,6.357,7.651,5.766,5.554,7.195,7.891,7.894,6.252,6.94,6.104,7.01,138.433,178.441,159.008,18.357,20.735,6.491,12.779,20.676,16.929,130.72,6.428,95.652,156.04,115.85,175.321,9.954,97.915,21.872,84.934,6.066,45.739,91.744,194.728,64.452,117.279,21.061,68.111,92.784,191.26,147.788,94.662,118.105,8.035,83.73,15.338,8.402,14.556
HU0 0 onwind,568.74,709.052,549.12,559.14,643.433,538.089,477.181,601.36,699.929,280.025,413.992,657.005,527.989,149.529,9316778.043,9288493.454,9315754.945,9306633.298,9309150.624,583.266,3712701.125,9314115.997,9308479.996,9316176.691,571.613,9314461.01,9316488.73,3708166.44,9314596.704,3785667.608,3704782.378,9309360.926,3705408.167,564.065,3753591.585,3704929.334,9315682.764,3705218.705,3721009.409,9309413.221,3757715.956,3755091.729,9315971.303,9316094.949,3702930.301,3751719.345,3713260.781,3703795.203,9259087.111,3713371.289,3711340.126
IE4 0 onwind,2398964.609,2401952.31,2424583.297,2395723.194,2393668.45,2462036.109,2390191.095,2395250.585,2411525.381,2459566.845,2462601.627,2400103.196,2396449.863,2466776.438,35740040.858,36675039.552,35756665.966,35716411.503,35600132.128,2421428.425,6509089.393,35835123.636,35610311.03,35746496.605,2393155.85,35709686.83,35736668.103,6626518.713,35729722.871,6860778.118,6636367.668,35574319.524,6619481.097,2395976.49,6614380.583,6630303.497,35746910.934,6611421.823,6624121.762,35628158.31,7151929.445,6779574.583,35767416.705,35795904.401,6633200.952,6664243.675,6522119.151,6619242.222,37292112.384,6524953.938,6548668.87
IT0 0 onwind,12.697,16.147,13.549,13.109,15.764,11.634,11.48,14.818,16.24,15.574,12.472,14.291,12.584,14.042,1543107.996,1573796.493,1547987.572,1513866.66,1520634.346,13.343,3561807.217,1522271.239,1518406.112,1544842.868,13.242,1535193.485,1551379.849,3611865.896,1546870.234,3236623.555,3619119.073,1519139.324,3619592.531,12.489,3493618.943,3612444.806,1548481.112,3602771.785,3587522.341,1520904.919,3272634.254,3343639.914,1548647.291,1532780.323,3621991.447,3453975.544,3563898.183,3616460.598,1580097.48,3565450.913,3569920.586
IT1 0 onwind,1348098.679,1348558.389,1347726.266,1348051.493,1347269.391,1344536.654,1347007.743,1347330.461,1348565.837,1328710.974,1325636.421,1349062.595,1347499.063,1318433.395,3282403.363,3292982.048,3288483.666,3267747.665,3266194.678,1348667.167,2147886.47,3271535.461,3268237.76,3281880.92,1347586.338,3276763.571,3288629.607,2141166.6,3283748.013,2139121.374,2135844.25,3267070.561,2137279.98,1347643.777,2139449.703,2136812.118,3286626.817,2136757.947,2140730.099,3266541.198,2136587.218,2140948.519,3287994.506,3283490.899,2137387.682,2145177.319,2146603.707,2137787.28,3329619.325,2146173.866,2144870.22
LT6 0 onwind,50.845,64.436,54.099,52.116,62.935,49.288,45.287,59.002,64.949,66.001,50.86,57.197,50.13,62.623,1478.454,2019.805,1796.563,191.582,219.598,53.419,107.714,217.128,189.394,1424.3,52.619,1040.655,1643.339,974.223,1850.406,84.473,825.281,231.654,717.722,49.853,384.768,773.852,2122.547,546.07,998.315,224.26,588.026,827.218,2045.518,1599.811,795.959,1001.159,66.372,696.597,167.707,71.229,122.193
LU0 0 onwind,16.756,19.189,20.322,14.451,21.763,11.26,14.809,19.527,23.756,21.421,13.709,16.722,16.939,20.478,1847908.303,1846558.714,1845452.694,1871596.222,1865936.371,16.009,1861754.253,1862182.797,1864180.012,1841831.147,15.562,1850422.751,1841795.471,1841680.168,1848555.091,1858680.476,1842244.904,1869697.838,1842340.575,17.94,1844428.809,1842809.176,1844670.517,1845782.377,1844262.671,1863168.744,1848381.673,1842167.785,1842350.859,1846213.147,1840762.475,1841940.19,1857953.271,1843513.18,1860057.802,1857490.095,1853888.325
LV6 0 onwind,83.759,105.776,89.106,85.161,103.099,83.12,74.052,96.382,106.728,115.462,87.726,93.997,82.218,111.467,1660.532,2352.649,2026.133,217.062,248.362,87.638,300.661,247.36,213.4,1583.161,86.296,1171.341,1814.724,2674.62,2104.109,235.543,2277.962,261.826,2007.605,81.819,1059.685,2150.468,2394.6,1510.168,2767.475,253.315,1657.693,2443.539,2307.811,1799.372,2213.075,2730.512,187.488,1938.944,191.572,202.878,340.32
ME0 0 onwind,0.797,1.013,0.851,0.823,0.989,0.704,0.718,0.931,1.022,1.028,0.799,0.897,0.789,0.934,14.371,15.418,14.515,1.97,2.139,0.837,1.565,2.102,1.434,13.022,0.834,9.111,15.494,13.877,18.994,1.217,11.665,2.25,9.806,0.785,5.612,11.017,19.359,7.516,13.681,2.158,7.931,10.164,19.337,15.167,11.215,14.587,0.957,9.861,1.457,0.998,1.776
MK0 0 onwind,0.397,0.504,0.423,0.41,0.494,0.348,0.358,0.464,0.509,0.515,0.398,0.448,0.394,0.476,6.003,7.051,6.166,0.911,0.887,0.415,0.776,1.019,0.685,5.162,0.416,4.169,5.758,7.037,8.869,0.578,5.876,1.075,5.062,0.39,2.799,5.569,8.005,3.869,7.04,0.857,4.041,5.293,7.381,7.502,5.649,7.257,0.486,4.994,0.634,0.507,0.842
NL0 0 onwind,24427936.605,24422074.505,24305707.674,24430634.002,24431185.563,24301538.661,24436576.957,24431831.036,24420822.718,24781759.954,24151494.23,24419516.491,24432537.346,26397791.667,43368855.104,43306816.543,43284435.351,43676141.122,43655185.394,24359951.499,42387723.044,43647733.972,43647418.043,43362417.29,24433286.746,43473101.972,43260713.39,41729233.916,43373400.586,42625178.151,41712028.494,43659331.053,41601687.107,24431490.371,42135035.827,41814083.602,43294512.366,41819705.475,41578454.151,43647671.887,42414432.116,41690431.601,43283550.377,43368761.73,41655586.673,41823392.785,42389053.329,41792106.738,43663026.106,42381916.374,42327320.323
NO3 0 onwind,12.274,15.614,13.126,12.675,15.232,11.189,11.075,14.322,15.71,16.026,12.367,13.813,12.153,14.731,294.289,423.089,367.377,38.425,43.745,12.921,28.805,44.167,39.763,279.996,12.791,207.935,330.775,261.814,369.3,22.46,224.11,46.114,193.314,12.076,103.333,209.218,423.381,146.41,265.786,44.825,154.716,213.596,405.11,319.064,216.83,266.795,18.196,189.474,34.71,19.2,32.796
PL0 0 onwind,3651066.959,3648352.962,3635304.936,3653131.52,3656893.297,3507417.329,3659307.149,3655602.966,3656688.601,3191903.167,3365381.311,3645518.531,3654491.173,3386857.298,50131635.934,50055652.099,50074237.601,50493293.913,50433174.974,3640206.595,17861793.22,50433792.809,50427530.418,50126234.336,3655791.476,50236507.642,50037964.414,17720579.795,50109243.725,17780184.555,17746770.45,50440867.843,17715566.997,3654135.825,17806909.239,17757973.533,50072837.906,17736972.838,17736634.351,50423924.667,17233362.247,17728977.017,50066401.262,50146457.251,17734496.627,17808843.336,17859254.945,17720663.148,51163091.829,17855591.201,17840350.951
PT0 0 onwind,34.292,43.613,36.888,35.328,42.602,32.349,30.927,40.059,43.887,45.48,35.767,38.626,33.974,40.206,814.719,1121.288,983.042,106.693,121.533,36.088,73.947,121.554,104.973,778.789,35.719,577.445,921.488,664.508,1019.745,57.812,566.767,128.446,495.191,33.736,265.642,527.329,1161.737,375.297,680.938,124.462,393.475,566.691,1124.062,879.262,546.819,682.049,46.652,483.381,95.361,48.003,84.312
RO0 0 onwind,10.617,13.499,11.362,10.961,13.192,9.861,9.588,12.403,13.596,13.816,10.775,11.965,10.526,12.675,236.514,339.561,292.379,31.009,35.293,11.175,21.808,35.43,31.425,224.684,11.08,167.548,264.681,198.493,297.66,16.952,168.105,37.283,146.927,10.445,78.433,157.346,338.724,111.038,201.559,36.171,116.242,162.772,325.348,256.24,162.704,202.172,13.795,143.717,28.009,14.493,24.841
RS0 0 onwind,7.02,8.921,7.494,7.239,8.713,6.493,6.333,8.191,8.987,8.927,7.042,7.906,6.953,8.092,174.802,248.648,214.15,23.027,26.175,7.381,15.618,26.26,22.919,165.956,7.325,123.976,195.635,141.986,220.616,12.155,120.292,27.679,104.973,6.901,56.181,112.687,250.114,79.518,144.652,26.767,82.695,116.889,241.286,189.762,116.213,145.488,9.851,102.748,20.728,10.355,17.77
SE3 0 onwind,24.112,32.872,31.928,27.572,32.448,24.183,22.749,31.376,33.84,39.326,29.022,26.242,24.488,36.239,592.925,863.538,755.087,76.574,87.564,31.395,71.938,88.84,83.192,563.33,25.959,417.049,680.983,652.794,736.674,55.053,558.183,92.003,483.746,26.792,257.289,521.561,857.177,365.37,660.038,89.767,381.446,537.176,814.918,639.599,541.033,656.903,45.701,474.725,72.348,48.291,82.12
SI0 0 onwind,1.54,1.957,1.647,1.593,1.915,1.295,1.397,1.803,1.985,1.993,1.518,1.73,1.525,1.81,27.851,27.69,26.335,3.805,4.159,1.608,3.107,3.985,2.636,24.578,1.62,16.951,29.639,27.88,36.682,2.419,22.77,4.298,18.863,1.523,11.116,22.058,36.547,14.581,26.49,4.181,15.566,19.817,36.994,27.649,22.055,29.094,1.888,19.685,2.558,1.967,3.524
SK0 0 onwind,25.901,32.899,27.418,26.514,32.087,21.714,22.991,30.133,33.204,29.17,23.585,29.093,25.516,26.023,1525143.47,1520457.633,1519394.898,1502328.671,1534463.592,27.29,1722487.705,1440655.744,1532929.366,1524283.236,26.876,1528698.298,1522120.257,1719260.278,1522806.122,1705469.799,1718152.243,1533872.42,1718305.032,25.5,1724935.35,1718658.504,1521211.389,1719812.212,1713064.11,1534282.232,1705214.23,1709449.767,1521588.509,1519983.581,1719207.134,1709915.322,1722458.947,1717839.223,1619703.803,1722634.056,1722875.914
AL0 0 offwind-ac,3.115,3.782,3.322,3.041,3.854,2.125,2.981,3.596,4.204,3.884,2.618,3.223,2.964,3.567,55.068,44.532,45.114,7.086,8.321,2.87,6.699,7.415,4.485,44.108,3.362,30.104,50.683,56.186,72.528,5.201,46.166,8.252,32.928,3.164,23.236,44.616,68.551,27.444,47.942,9.145,28.185,39.339,64.829,51.983,44.154,66.684,3.884,36.138,4.585,4.043,7.751
BE0 0 offwind-ac,154.903,187.289,187.966,134.495,207.033,142.205,128.763,189.531,204.331,198.836,162.065,162.017,153.331,209.463,3537732.491,3532173.756,3524509.25,3609339.846,3600293.717,164.268,3599734.373,3595438.696,3595645.928,3522567.55,133.212,3556210.864,3514365.012,3497022.913,3544299.713,3598111.816,3501969.564,3605144.095,3496511.825,160.987,3530919.671,3518247.462,3523050.225,3529046.996,3490756.845,3594574.106,3523587.729,3469328.83,3521307.15,3536714.521,3490301.518,3491808.208,3596760.266,3508549.458,3594775.194,3595071.379,3586424.424
BE0 0 offwind-dc,5800331.002,5797096.038,5774758.45,5803959.827,5805064.217,5744886.625,5810418.785,5804572.004,5799161.071,5732287.971,5728373.624,5795819.658,5803339.022,5771673.037,5792263.798,5783052.269,5774646.747,5902092.359,5882688.875,5788983.694,5891377.542,5876148.806,5875637.261,5780396.311,5806519.077,5812643.687,5769478.378,5721130.723,5797634.533,5885276.263,5716095.376,5892823.823,5722531.049,5803020.539,5778788.436,5731390.06,5775857.903,5754378.071,5709039.821,5875106.089,5757012.58,5705475.725,5773817.028,5789275.811,5711248.621,5729053.317,5885075.949,5734714.761,5877620.154,5882877.377,5864944.707
BG0 0 offwind-ac,10.982,13.557,12.016,11.442,14.093,8.138,10.767,13.643,15.433,13.708,9.935,12.146,10.89,12.392,278.586,218.173,240.753,35.287,41.553,10.439,23.941,37.552,24.06,232.163,12.209,160.332,267.295,207.264,357.721,18.435,166.825,42.345,128.819,11.809,85.561,157.259,366.859,107.178,194.484,45.755,108.951,156.482,334.569,277.296,162.609,230.558,14.656,142.288,25.047,14.867,27.833
BG0 0 offwind-dc,2.815,4.122,2.712,2.684,3.596,3.25,2.16,2.941,3.187,3.142,2.597,3.03,2.482,3.078,46.556,87.782,66.131,6.348,9.759,3.1,4.046,9.121,10.423,61.888,2.295,44.343,56.187,17.581,59.594,3.006,21.849,8.553,18.682,2.595,10.204,21.183,83.633,13.49,26.936,9.494,15.586,28.73,74.724,53.356,19.887,24.996,2.312,16.131,7.838,2.662,4.312
DE0 0 offwind-ac,19972884.669,19966876.613,20394315.806,19974533.194,19974765.651,20013529.85,19977911.062,19975384.207,20000778.727,19633187.327,20139434.137,19968237.353,19975315.342,20134103.459,30523855.801,30484868.858,30489769.713,30645061.004,30636777.788,20166803.299,30647197.242,30633789.735,30633757.096,30522135.186,19976984.023,30565287.024,30480328.798,30562293.643,30527530.329,30647189.942,30578542.229,30638815.394,30572799.51,19974352.252,30608418.803,30588376.792,30492835.114,30594960.134,30557104.189,30633929.285,30594152.206,30549818.451,30489072.06,30523434.473,30573558.055,30572552.256,30648170.858,30578888.804,30636204.661,30647039.426,30642383.565
DE0 0 offwind-dc,99763412.461,99767873.083,99872508.839,99807701.455,99803204.401,100145136.541,99830097.894,99786743.361,99770649.692,101441980.616,100551966.246,99754620.183,99779763.695,103346027.489,106772815.701,107050994.233,106965266.729,105938115.633,105964225.807,99749497.365,107418635.865,106005122.301,105988436.496,106797373.934,99809795.826,106520606.861,107034522.8,107827728.648,106800437.552,107458279.665,107690703.095,105968688.583,107731814.816,99786020.66,107561317.586,107657388.865,106937164.908,107619328.65,107801584.36,105995092.592,107805821.533,107867203.643,106971219.103,106775186.241,107721568.732,107729747.387,107413948.307,107708857.656,106242249.183,107419627.777,107422953.854
DK0 0 offwind-ac,40.81,51.724,43.37,41.85,50.676,35.981,36.682,47.685,52.262,50.905,39.499,45.896,40.403,46.315,2821.856,3928.402,3448.38,369.513,421.643,42.889,81.908,421.087,356.861,2704.995,42.445,1995.14,3152.456,739.782,3548.334,63.489,602.592,445.372,545.18,40.12,293.352,582.727,4045.541,415.991,756.539,433.905,430.931,618.066,3879.559,3062.892,597.92,760.49,49.639,526.516,333.556,51.153,93.309
DK0 0 offwind-dc,50.669,63.173,50.596,50.944,63.183,39.352,45.664,59.553,65.208,58.8,43.635,56.862,50.295,54.569,35750603.563,36943887.627,35680382.127,36220166.291,36127694.394,50.016,190.178,36300990.919,36168553.069,35737781.94,52.642,35857477.746,35650321.407,1550.75,35711658.152,145.994,1350.49,36134174.295,1273.234,49.896,683.105,1303.173,35675871.641,968.327,1759.39,36113120.025,978.264,1490.153,35671279.201,35771831.169,1326.36,1753.198,114.124,1132.42,38438734.701,118.061,217.836
DK3 0 offwind-ac,13.468,17.078,14.529,13.645,16.88,10.523,11.947,15.784,17.422,17.828,13.741,15.371,13.416,16.506,700.261,757.293,810.005,92.191,104.778,14.366,29.115,102.33,74.375,646.662,14.144,480.96,751.266,263.674,886.553,22.846,214.844,111.257,186.31,13.361,104.535,204.287,989.288,144.166,259.081,108.534,154.572,206.57,943.783,744.351,207.663,272.324,17.95,183.722,76.963,18.929,33.207
DK3 0 offwind-dc,19.328,24.473,20.809,19.66,24.292,16.11,17.188,22.881,25.205,25.598,19.256,21.933,19.288,23.554,3157.843,3939.236,3810.91,426.827,483.891,20.568,44.921,470.898,404.094,3140.269,20.37,2253.704,3529.148,406.954,4098.159,35.118,330.053,517.985,291.308,19.298,161.367,312.409,4714.24,223.388,403.699,501.931,241.392,324.622,4343.204,3416.022,314.987,420.52,28.005,287.04,398.825,29.561,51.246
EE6 0 offwind-ac,25.002,31.85,26.838,25.772,31.128,23.011,21.9,29.296,32.096,32.674,25.172,28.184,24.771,30.102,453.652,459.04,462.683,59.725,67.962,26.439,45.622,67.045,42.677,422.133,26.034,301.155,497.865,412.895,573.996,35.708,338.52,70.598,298.173,24.634,163.194,321.027,634.553,227.433,414.106,69.522,240.903,336.489,615.014,482.451,330.783,424.044,28.329,295.755,48.41,29.693,52.018
EE6 0 offwind-dc,24.495,31.36,25.947,25.045,32.123,19.659,22.87,30.824,32.639,31.263,22.841,27.381,24.205,29.106,477.119,428.949,469.732,62.004,71.022,25.171,47.886,66.036,43.512,416.504,26.391,297.034,474.868,425.355,603.441,37.802,319.846,74.927,277.112,24.951,170.574,300.332,650.815,221.329,392.653,75.377,233.273,337.3,604.17,494.934,306.685,451.272,29.517,280.876,44.973,31.111,55.056
ES0 0 offwind-ac,261.63,337.51,283.443,241.748,342.264,228.736,232.211,322.77,339.643,336.782,229.98,302.923,247.936,255.532,4582.212,5200.884,4938.769,570.418,691.822,281.46,16468.542,682.625,522.052,4427.61,261.615,3215.8,5059.45,131687.072,5742.716,7922.859,114357.654,721.697,107571.875,262.977,62164.665,100161.884,6524.714,78012.814,135889.349,713.67,153486.322,102099.112,6194.713,5005.58,109127.975,127372.447,12392.05,103734.708,557.091,13471.967,20391.77
ES0 0 offwind-dc,12.188,17.277,14.647,12.498,17.157,9.607,11.999,17.411,16.571,14.941,10.162,14.376,12.358,13.666,276.147,324.166,294.789,34.226,49.227,13.072,28.295,44.008,36.82,271.85,12.104,211.882,287.872,154.252,315.799,18.607,197.846,45.988,131.96,13.107,85.146,156.25,389.773,101.786,206.977,52.496,112.428,198.059,342.626,311.168,175.647,214.076,16.545,126.794,36.235,16.836,35.093
ES2 0 offwind-ac,3.404,3.969,3.92,3.079,4.403,2.478,2.938,3.676,4.481,4.212,2.995,3.216,3.245,3.803,36.998,34.427,36.474,5.368,6.016,3.163,4.892,4.888,3.899,29.067,3.31,18.748,33.06,32.691,49.338,3.88,32.133,6.65,23.78,3.164,15.581,28.77,49.67,19.584,35.269,6.304,18.63,26.824,37.85,34.319,29.068,49.498,2.919,23.83,3.219,3.012,6.332
ES2 0 offwind-dc,6.579,8.22,8.507,5.582,8.423,5.366,5.775,8.388,8.04,7.678,5.973,7.183,6.02,7.761,182.337,247.701,211.206,23.984,34.578,6.451,12.341,32.413,27.356,195.216,5.542,145.094,199.135,63.254,240.137,8.222,81.399,33.387,58.12,5.607,35.031,67.328,274.347,44.885,91.634,37.257,51.027,85.942,244.428,215.993,71.675,87.205,6.822,53.735,27.346,7.167,14.819
FI3 0 offwind-ac,968.818,1247.754,1018.988,989.58,1172.718,982.045,831.594,1093.949,1219.817,1008.526,910.342,1097.29,925.771,862.054,12008295.751,12101965.532,11967368.791,12111436.493,12118347.586,1021.238,6019283.051,12085992.478,12131409.407,12001960.213,945.678,12047251.052,11979745.085,5993027.112,11995520.942,5926418.391,6010314.988,12129829.267,6009017.394,940.15,5908485.761,6015500.366,11978656.88,6005736.239,5967132.331,12118294.501,6193210.807,5435230.069,11988411.344,12009689.717,6005987.557,5787379.883,6017338.738,6010764.774,12177538.948,6016622.365,6015243.654
FI3 0 offwind-dc,13316627.767,13316495.113,13315964.101,13315976.081,13315512.942,13313055.744,13315326.767,13315168.251,13315515.784,13286530.26,13299511.424,13316626.238,13316054.039,13268658.947,16552285.382,16876272.591,16585775.841,16322669.769,16354875.842,13314018.396,14807228.794,16511582.991,16343438.967,16557737.804,13315809.137,16498718.673,16572345.22,14883491.413,16566303.056,14890950.176,14870563.072,16308169.705,14866054.28,13315721.984,14961052.17,14863120.387,16576096.082,14864129.766,14896567.798,16371352.344,14584940.685,15495669.845,16566773.53,16572366.117,14874445.394,15117324.493,14814136.69,14865211.946,17080371.035,14816385.504,14826925.489
FR0 0 offwind-ac,60693163.671,60701057.891,60736529.049,60693977.889,60691889.416,60857708.587,60684459.079,60692068.694,60701238.099,61231710.382,60998937.006,60704059.472,60690918.85,61546850.585,61615163.667,61723009.701,61714588.431,60169207.373,60418176.178,60706778.422,61062619.506,60463187.621,60429007.602,61655932.583,60688273.696,61399140.158,61763409.051,61910694.462,61702472.272,61146095.55,61747408.09,60294421.044,61857585.809,60692010.893,61622939.2,61657331.132,61708183.161,61714376.39,61926213.703,60494888.583,61837686.519,61971128.685,61716556.075,61605768.532,61780448.602,61829352.675,61108564.639,61823328.86,60584716.195,61120602.123,61212708.848
FR0 0 offwind-dc,26315632.084,26313975.11,26322281.154,26316659.282,26316403.369,26321125.55,26317631.599,26316571.569,26315369.254,26363861.803,26333243.063,26314023.325,26316747.105,26393914.375,26219220.164,26154450.141,26163149.114,26427978.427,26412110.83,26314871.036,26369402.762,26407029.348,26407009.183,26216470.963,26317061.46,26288959.782,26147843.12,26221988.77,26226943.926,26370037.449,26246374.655,26416501.233,26244744.167,26316735.218,26304392.39,26263647.983,26168944.941,26281281.605,26216451.171,26406911.475,26282906.645,26204282.131,26162082.946,26218796.408,26240748.479,26239487.306,26371370.865,26254663.829,26411986.27,26369375.811,26361945.723
GB4 0 offwind-ac,74.122,97.012,78.049,74.54,95.757,64.186,67.456,91.372,97.611,82.214,63.332,84.381,71.252,73.575,5617.733,6215.054,6152.811,697.784,858.885,79.768,149.813,865.983,689.487,5546.439,78.596,3771.089,6196.497,1318.492,6932.972,104.606,960.582,887.155,841.654,74.526,520.12,901.249,8301.295,672.312,1163.218,898.733,588.984,963.946,7479.572,6180.647,946.76,1336.785,94.85,919.232,882.942,102.262,174.396
GB4 0 offwind-dc,2790652.31,2784931.976,2816343.686,2796784.102,2804582.255,2750719.93,2815029.78,2802022.541,2857802.822,2479736.903,2675144.188,2785476.839,2795268.134,2019806.359,12037781.461,12019623.085,12015189.723,12344448.819,12284457.084,2828348.795,1941708.932,12273701.45,12276787.806,12032414.733,2800322.366,12086498.125,12004556.409,1856080.173,12035817.114,1326018.87,1847939.145,12308421.527,1858361.169,2795542.944,1837652.93,1853962.76,12015840.429,1869814.108,1842535.516,12268347.959,1157631.621,1391432.528,12010821.926,12034916.275,1850865.513,1647924.958,1935395.545,1861040.057,12278667.082,1934122.32,1919585.661
GB5 0 offwind-ac,99.13,125.962,105.047,102.007,122.911,87.364,89.433,115.504,126.652,115.854,93.321,111.298,98.122,99.769,8375.148,16124.67,10295.28,1145.161,1258.134,103.578,219.312,1458.207,1023.829,8234.275,103.06,5952.318,9441.698,1985.828,10586.855,156.95,1672.11,1322.898,1475.97,97.455,785.264,1553.154,12113.375,1114.545,2021.176,1293.558,1026.853,1642.615,11589.152,9170.275,1606.076,2021.738,138.556,1442.639,1239.22,146.112,249.992
GB5 0 offwind-dc,66.441,83.911,69.973,67.812,82.402,56.067,59.88,77.456,85.066,81.936,63.655,74.012,65.784,73.822,69755969.033,69055282.076,70081161.715,68140842.46,68665827.374,68.636,152.915,68015943.498,68525996.463,69752107.43,69.01,69336055.108,70281112.122,1343.629,69819333.577,113.988,1133.486,68646786.518,1029.401,65.31,546.919,1051.6,70161847.556,778.569,1411.405,68685044.927,752.47,1111.428,70168368.168,69586624.38,1077.544,1420.847,96.39,978.014,67332792.661,100.79,174.39
GR0 0 offwind-ac,5.091,6.477,5.464,5.251,6.32,4.51,4.58,5.949,6.522,6.674,5.195,5.726,5.042,6.156,125.105,143.76,124.439,16.594,18.743,5.367,11.794,18.372,12.641,115.61,5.313,84.416,138.078,106.988,159.114,9.129,88.501,19.767,76.614,5.015,42.256,84.251,174.402,58.827,106.881,19.067,61.382,83.403,171.176,131.442,86.291,109.651,7.376,77.083,12.937,7.635,13.441
GR0 0 offwind-dc,12024381.206,12028877.13,12024800.249,12023221.754,12019902.301,12042284.202,12014925.715,12020302.602,12025514.702,12020789.599,12055909.242,12031968.387,12021496.994,11955691.066,16594293.335,16638790.783,16629774.814,16411218.818,16426949.295,12026468.953,16445828.996,16435509.442,16432420.055,16600948.492,12019869.605,16543700.544,16644141.74,16651026.761,16593465.703,16447252.397,16613767.651,16420386.629,16617684.277,12021774.443,16549662.289,16596350.305,16626704.239,16575923.449,16640200.556,16434264.228,16601354.758,16649974.448,16632649.2,16595204.478,16621031.174,16620300.15,16443978.481,16615170.625,16434183.004,16447059.877,16460541.49
HR0 0 offwind-ac,8.706,11.036,9.266,8.919,10.835,7.106,7.775,10.193,11.237,11.013,8.461,9.736,8.596,9.572,206.741,206.949,203.241,27.21,31.122,9.105,17.495,29.808,20.322,188.468,9.134,128.859,222.148,155.945,266.654,13.657,126.178,31.488,104.533,8.602,62.577,122.628,276.467,81.899,149.39,31.532,86.455,116.548,274.344,208.821,123.975,166.008,10.7,110.106,20.885,11.122,19.996
HR0 0 offwind-dc,7.957,9.953,8.423,8.066,9.941,6.061,7.272,9.443,10.451,10.092,7.281,8.668,7.815,8.753,163.818,139.609,137.883,21.025,24.66,7.999,15.872,22.649,14.036,141.812,8.493,92.445,159.062,137.382,210.699,12.358,109.897,24.245,84.738,7.959,56.3,106.309,208.212,69.115,124.886,25.804,72.057,99.528,205.037,159.997,107.654,154.374,9.539,93.076,14.63,9.887,18.313
IE4 0 offwind-ac,142.785,195.892,161.003,151.621,187.995,131.463,101.972,166.958,188.506,166.21,137.537,167.669,136.945,146.003,2006.369,2575.197,2475.414,254.261,300.243,165.614,570.278,290.11,196.77,1918.173,148.048,1416.152,2267.796,5029.57,2512.478,335.941,4203.065,316.968,3794.191,142.751,1969.382,3992.129,2856.561,2844.094,5067.151,308.724,2150.762,3618.696,2689.438,2145.84,4068.362,4696.005,361.823,3667.232,208.514,387.963,647.908
IE4 0 offwind-dc,745697.101,744590.373,746144.324,746501.718,746863.561,740869.881,748005.761,746644.942,745256.041,746634.589,742143.688,744470.235,746370.316,747070.855,689402.816,693599.936,687798.728,738174.261,725065.899,744515.018,740693.06,723404.091,722127.105,686010.576,747201.995,696625.508,685510.55,713130.357,692717.898,741369.931,706128.615,732593.718,712497.757,746422.271,716492.779,709928.031,687681.322,719864.322,712159.064,718306.982,723177.726,696832.071,685613.727,691045.83,704196.895,711375.841,738893.684,715416.393,720664.418,737253.126,733966.498
IT0 0 offwind-ac,8.456,10.751,9.047,8.724,10.494,7.837,7.636,9.866,10.814,10.63,8.476,9.513,8.378,9.607,397.02,554.447,484.312,52.257,59.438,8.896,42.737,59.268,51.334,378.221,8.815,281.364,444.235,386.694,501.274,33.141,327.492,62.996,285.534,8.314,152.627,306.068,568.827,216.723,393.029,61.009,229.843,320.935,549.579,432.239,316.545,394.117,26.864,279.55,46.617,28.142,48.651
IT0 0 offwind-dc,10.039,12.38,10.733,9.961,12.358,7.371,9.143,11.566,13.033,12.404,8.857,10.691,9.79,11.025,617.167,562.934,606.727,76.297,91.646,9.865,77.714,83.881,58.002,557.043,10.435,378.677,618.89,675.274,778.157,61.522,563.116,94.785,458.415,9.867,274.045,513.597,840.854,362.23,650.701,99.529,418.734,555.3,788.394,645.597,553.039,732.684,48.597,471.016,60.493,50.756,90.861
IT1 0 offwind-ac,12.804,16.443,13.886,13.485,16.675,10.188,12.509,16.319,17.752,16.228,11.78,14.444,12.715,14.416,295.002,253.885,268.722,36.842,44.268,12.75,34.119,40.833,25.884,249.444,14.268,174.664,283.335,295.759,381.134,26.274,240.507,44.308,188.006,13.563,120.872,222.881,387.634,150.647,269.019,48.526,158.2,230.739,360.746,298.094,230.578,327.354,20.575,194.574,26.808,21.809,39.678
LT6 0 offwind-ac,55.174,66.832,55.942,47.737,66.723,40.866,44.79,60.461,70.646,65.435,47.66,54.529,48.125,58.321,1158.904,1014.868,1123.874,137.879,178.953,47.35,118.72,148.876,112.363,1056.518,47.78,646.843,1066.113,936.214,1443.086,92.465,795.062,180.521,618.139,47.423,445.673,680.08,1592.405,500.704,928.607,201.352,502.81,874.424,1295.303,1228.234,762.492,1184.314,78.103,659.262,107.801,82.561,148.428
