,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
E_battery [GWh],123.031,79.203,99.46,56.738,117.849,131.864,120.846,91.57,115.825,131.988,67.699,1060.749,979.049,1038.436,1065.078,941.327,1056.85,444.483,1063.477,435.797,1065.256,412.286,438.367,108.169,387.146,433.437,1065.343,1052.333,443.679,439.0,421.292,429.221,398.982,440.276,1063.594,1018.204
G_PHS [GW],56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
E_PHS [GWh],1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69
G_electrolysis [GW],0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,807.827,778.294,797.246,811.633,767.054,804.604,82.105,810.221,79.08,811.444,70.265,80.454,0.0,63.118,77.557,811.163,801.848,82.165,81.908,73.489,75.811,66.953,82.166,810.641,789.335
E_H2 [GWh],0.059,0.08,0.075,0.075,0.078,0.085,0.067,0.077,0.078,0.074,0.075,8278.088,8251.209,8274.71,8268.003,8127.394,8288.786,924.955,8303.887,821.288,8268.363,649.897,876.374,0.061,574.24,796.129,8272.786,8306.535,925.236,914.066,708.705,762.685,606.957,922.599,8290.037,8248.393
avail_onwind [MWh],154107966.067,160559399.055,158546778.708,163174631.933,154835154.508,152892833.272,154354340.07,159158746.804,156460227.447,152915637.857,161655509.642,898431681.454,905380785.359,899965217.421,898158327.869,911026721.567,898930798.752,399014332.442,898096248.769,400857742.556,898208474.276,408015933.794,400166987.048,158120774.823,414412126.591,401297712.655,898285156.017,898932982.971,399237742.814,400497789.251,405329490.586,402941077.984,410710181.846,399671005.861,898202439.609,902645516.197
avail_offwind [MWh],314660027.587,311373910.048,313157320.415,309799491.496,314442644.298,314655123.405,314559556.382,312709277.136,313877320.189,314625330.984,310423134.691,665330723.621,657676909.434,664309301.361,665263563.619,651376456.338,665237537.353,390888808.625,665706263.616,390270517.813,665126376.155,389328836.72,390288996.098,313283105.269,387508606.346,390147230.271,665157104.191,665831789.956,390702147.564,390254189.579,389933700.951,390213394.223,388735947.395,390600287.874,665542836.575,662029659.526
avail_solar [MWh],276214893.187,273203290.836,273050306.311,274238851.826,275282420.405,277431336.673,275803169.558,272983731.402,274437774.845,277444933.967,273667967.698,911173769.277,921147287.815,913359354.98,910800444.95,928860458.727,911477887.131,517109992.829,910561529.968,516818429.071,910876910.118,515595780.792,516961955.437,273338724.968,517897374.287,516780711.94,910867324.011,911639886.456,517127338.867,516934980.921,515283358.887,516089361.203,516326804.091,517142018.33,910631741.133,915234550.749
used_onwind [MWh],129103455.582,147165773.461,141033783.309,153171874.539,133092219.77,125970007.676,131065716.967,143292582.409,135611506.734,125938779.282,150068771.642,877305783.932,892205639.645,883533364.283,877890038.231,900980793.282,879743156.132,367858202.154,878082712.36,374392077.737,877881120.001,389246476.309,371972948.49,139214753.841,400854807.48,376590110.139,878122825.741,880838210.495,367968582.851,369653470.117,384472757.107,380049608.086,394253327.877,368632252.085,876280177.395,887337278.41
used_offwind [MWh],297938145.189,303765007.535,301277941.387,306386171.976,298457282.815,297266668.509,298245398.766,302720029.218,298508942.704,297239864.407,304662591.1,635676756.703,639148103.935,636337716.93,631829262.921,637812357.852,634264421.642,381553206.202,632743090.705,381721660.786,631794182.038,382565776.398,381364509.478,299160706.342,383213504.654,381694713.25,631607045.579,635888009.18,380144600.322,379497528.872,382591217.984,381815650.96,383119897.43,381619839.952,636176833.512,635896993.689
