,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
NL0 0 X Store,0.016,198.993,173.589,280.609,0.087,0.01,0.028,181.748,27.622,0.006,212.367,134.331,606.322,492.091,0.011,684.206,269.288,0.056,2.305,1.657,0.013,429.388,0.392,129.036,548.265,73.93,0.048,391.399,0.014,0.025,313.219,194.871,505.262,0.164,0.957,569.932
NO3 0 X Store,0.003,0.004,0.004,0.005,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.068,0.064,0.01,0.007,0.071,0.007,0.038,0.004,0.058,0.005,0.043,0.047,0.003,0.078,0.065,0.008,0.007,0.007,0.005,0.064,0.061,0.045,0.045,0.083,0.01
PL0 0 X Store,0.007,19.607,0.119,51.703,0.015,0.007,0.01,8.111,0.022,0.005,35.024,1.716,506.528,345.835,0.01,623.389,97.388,0.086,0.045,0.461,0.009,81.391,0.211,0.027,125.271,1.067,0.026,230.678,0.02,0.018,43.151,9.981,103.14,0.128,0.351,399.49
PT0 0 X Store,0.008,24.608,22.29,34.959,0.029,0.007,0.013,22.227,0.223,0.004,30.202,0.237,0.373,0.048,0.01,0.57,0.037,0.044,0.016,0.232,0.009,0.354,0.123,13.323,1.976,0.46,0.017,0.046,0.009,0.01,0.497,0.423,0.744,0.078,0.205,0.045
RO0 0 X Store,0.003,4.863,0.011,18.765,0.005,0.004,0.004,0.045,0.006,0.004,11.522,0.076,0.141,0.015,0.007,0.216,0.009,0.04,0.005,0.074,0.005,0.113,0.057,0.006,0.456,0.09,0.009,0.008,0.007,0.006,0.137,0.104,0.197,0.049,0.091,0.019
RS0 0 X Store,0.003,0.008,0.006,0.015,0.005,0.004,0.004,0.008,0.005,0.004,0.01,0.078,0.19,0.016,0.007,0.474,0.009,0.04,0.005,0.073,0.005,0.114,0.055,0.004,1.063,0.089,0.009,0.009,0.007,0.006,0.144,0.11,0.188,0.049,0.091,0.025
SE3 0 X Store,0.003,0.005,0.005,0.007,0.004,0.004,0.004,0.005,0.004,0.004,0.005,0.141,0.167,0.025,0.009,0.232,0.02,0.082,0.01,0.125,0.007,0.115,0.099,0.003,0.361,0.129,0.012,0.017,0.019,0.011,0.142,0.128,0.168,0.099,0.143,0.024
SI0 0 X Store,0.003,4.32,0.016,10.217,0.005,0.004,0.004,1.476,0.006,0.004,6.796,0.075,0.31,0.015,0.007,3.575,0.009,0.039,0.005,0.068,0.005,0.191,0.052,0.006,5.043,0.083,0.009,0.009,0.007,0.005,0.132,0.096,2.013,0.048,0.087,0.022
SK0 0 X Store,0.004,0.011,0.008,0.049,0.006,0.005,0.005,0.009,0.007,0.004,0.014,0.107,0.646,0.024,0.008,13.663,0.014,0.039,0.007,0.066,0.006,0.068,0.052,0.006,0.306,0.078,0.01,0.013,0.007,0.005,0.093,0.081,0.094,0.048,0.105,0.035
AL0 0 X Discharge,0.0,0.097,0.0,0.15,0.0,0.0,0.0,0.038,0.0,0.0,0.126,0.003,0.118,0.001,0.0,0.278,0.0,0.001,0.0,0.002,0.0,0.27,0.002,0.0,0.443,0.004,0.0,0.0,0.0,0.0,0.112,0.008,0.32,0.001,0.003,0.002
AT0 0 X Discharge,0.0,0.001,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.774,0.001,0.0,1.471,0.0,0.001,0.0,0.002,0.0,0.002,0.001,0.0,0.071,0.002,0.0,0.0,0.0,0.0,0.003,0.003,0.005,0.001,0.002,0.014
BA0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.0,0.0,0.009,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.001,0.001,0.0
BE0 0 X Discharge,0.0,0.012,0.002,0.688,0.0,0.0,0.0,0.002,0.001,0.0,0.165,0.005,1.346,0.139,0.0,1.619,0.001,0.001,0.0,0.003,0.0,0.008,0.002,0.001,0.529,0.004,0.0,0.002,0.0,0.0,0.007,0.005,0.061,0.002,0.004,0.915
BG0 0 X Discharge,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.675,0.001,0.0,1.125,0.0,0.001,0.0,0.003,0.0,0.231,0.002,0.0,0.948,0.004,0.0,0.0,0.0,0.0,0.016,0.006,0.559,0.002,0.003,0.159
CH0 0 X Discharge,0.0,1.289,0.148,1.458,0.0,0.0,0.0,0.774,0.0,0.0,1.584,0.002,0.026,0.0,0.0,0.608,0.0,0.001,0.0,0.002,0.0,0.003,0.001,0.001,0.56,0.002,0.0,0.0,0.0,0.0,0.003,0.002,0.014,0.001,0.002,0.001
CZ0 0 X Discharge,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.0,0.0,0.012,0.0,0.001,0.0,0.002,0.0,0.001,0.001,0.0,0.004,0.002,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.001,0.002,0.0
DE0 0 X Discharge,0.0,4.658,2.138,7.205,0.001,0.0,0.0,3.544,0.001,0.0,5.741,0.004,2.915,0.009,0.0,4.945,0.001,0.001,0.0,0.002,0.0,0.002,0.001,0.171,0.004,0.002,0.0,0.001,0.0,0.0,0.002,0.002,0.002,0.001,0.003,1.609
DK0 0 X Discharge,0.001,1.892,1.878,1.973,0.932,0.0,0.294,1.892,1.392,0.0,1.99,0.003,0.744,0.001,0.0,1.622,0.0,0.001,0.0,0.023,0.0,2.44,0.006,1.896,3.192,0.46,0.0,0.0,0.0,0.0,1.915,1.021,2.696,0.003,0.003,0.003
DK3 0 X Discharge,0.0,0.002,0.0,0.159,0.0,0.0,0.0,0.001,0.0,0.0,0.057,0.03,0.953,0.457,0.0,1.186,0.013,0.05,0.002,4.644,0.001,3.138,4.764,0.0,2.723,4.561,0.001,0.228,1.347,5.358,3.516,3.833,2.695,4.363,0.017,0.707
EE6 0 X Discharge,0.0,0.001,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.015,1.047,0.522,0.0,1.109,0.008,0.031,0.001,0.087,0.0,0.77,0.037,0.0,0.85,0.253,0.001,0.319,0.008,0.004,0.649,0.622,0.774,0.038,0.008,0.862
ES0 0 X Discharge,0.0,1.933,0.822,2.704,0.001,0.0,0.0,1.298,0.005,0.0,2.344,0.01,7.568,3.423,0.0,8.78,0.002,0.001,0.001,0.009,0.0,2.417,0.004,0.377,3.77,0.061,0.001,0.318,0.0,0.0,1.67,0.706,3.44,0.002,0.008,5.838
ES2 0 X Discharge,0.027,0.101,0.097,0.095,0.064,0.0,0.044,0.093,0.097,0.0,0.096,0.012,0.307,0.119,0.0,0.365,0.014,0.001,0.001,0.029,0.0,0.128,0.006,0.099,0.144,0.074,0.001,0.053,0.0,0.0,0.114,0.09,0.126,0.003,0.008,0.172
FI3 0 X Discharge,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079,3.632,3.149,0.001,4.071,2.505,0.029,0.986,0.053,0.001,0.065,0.036,0.0,0.727,0.064,0.004,2.909,0.007,0.004,0.049,0.066,0.334,0.037,0.15,3.579
FR0 0 X Discharge,0.0,1.376,0.149,2.189,0.0,0.0,0.0,0.161,0.001,0.0,1.59,0.003,3.137,0.001,0.0,4.923,0.0,0.001,0.0,0.003,0.0,0.014,0.002,0.001,1.812,0.004,0.0,0.0,0.0,0.0,0.008,0.005,0.473,0.001,0.002,0.287
GB4 0 X Discharge,0.37,0.63,0.587,0.581,0.444,0.117,0.396,0.672,0.515,0.0,0.557,0.89,2.264,1.257,0.002,2.82,1.066,0.005,0.751,0.743,0.011,1.055,0.661,0.543,1.223,0.864,0.333,1.15,0.004,0.577,1.058,0.957,1.143,0.345,0.596,1.814
GB5 0 X Discharge,4.324,13.603,11.582,14.85,8.698,0.001,6.938,12.101,10.19,0.0,14.226,10.504,34.549,23.969,0.002,40.627,15.758,0.001,7.509,11.406,0.006,19.456,6.714,11.681,24.024,14.425,1.046,18.265,0.0,1.205,17.437,16.492,21.331,0.019,4.232,26.649
GR0 0 X Discharge,0.0,0.263,0.106,0.473,0.0,0.0,0.0,0.18,0.0,0.0,0.336,0.003,0.68,0.001,0.0,1.251,0.0,0.001,0.0,0.003,0.0,0.215,0.002,0.001,0.799,0.005,0.0,0.0,0.0,0.0,0.032,0.008,0.548,0.002,0.003,0.018
HR0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.004,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.0
HU0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.0
IE4 0 X Discharge,0.001,0.19,0.121,0.3,0.007,0.001,0.002,0.197,0.025,0.0,0.271,2.373,4.423,3.532,0.002,4.449,2.643,0.005,2.142,0.826,1.106,1.61,0.672,0.101,1.578,0.999,1.75,2.988,0.002,0.516,1.344,1.16,1.607,0.323,1.919,3.785
IT0 0 X Discharge,0.0,1.619,0.567,2.768,0.0,0.0,0.0,1.235,0.0,0.0,2.257,0.001,2.517,0.0,0.0,5.443,0.0,0.0,0.0,0.001,0.0,1.253,0.001,0.001,5.772,0.002,0.0,0.0,0.0,0.0,0.013,0.004,3.364,0.001,0.001,0.001
IT1 0 X Discharge,0.0,0.339,0.296,0.418,0.056,0.0,0.001,0.292,0.143,0.0,0.36,0.001,0.165,0.0,0.0,0.276,0.0,0.0,0.0,0.002,0.0,0.382,0.001,0.233,0.637,0.004,0.0,0.0,0.0,0.0,0.216,0.01,0.439,0.001,0.001,0.052
LT6 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.019,0.002,0.0,0.024,0.001,0.026,0.0,0.026,0.0,0.012,0.019,0.0,0.026,0.025,0.0,0.001,0.006,0.003,0.021,0.025,0.018,0.026,0.005,0.003
LU0 0 X Discharge,0.31,0.532,0.629,0.43,0.534,0.001,0.432,0.627,0.604,0.0,0.487,0.007,0.549,0.339,0.0,0.577,0.002,0.001,0.0,0.003,0.0,0.017,0.002,0.59,0.226,0.004,0.0,0.184,0.0,0.0,0.012,0.005,0.159,0.001,0.004,0.469
LV6 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.151,0.095,0.0,0.24,0.003,0.026,0.001,0.026,0.0,0.012,0.019,0.0,0.026,0.025,0.0,0.005,0.006,0.003,0.022,0.026,0.018,0.026,0.006,0.267
ME0 0 X Discharge,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.017,0.0,0.0,0.079,0.0,0.001,0.0,0.002,0.0,0.004,0.001,0.0,0.019,0.002,0.0,0.0,0.0,0.0,0.004,0.003,0.007,0.001,0.002,0.001
MK0 0 X Discharge,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.122,0.001,0.0,0.281,0.0,0.001,0.0,0.003,0.0,0.208,0.002,0.0,0.356,0.005,0.0,0.0,0.0,0.0,0.078,0.009,0.268,0.002,0.003,0.003
NL0 0 X Discharge,0.0,3.032,2.685,3.591,0.001,0.0,0.0,2.811,0.435,0.0,3.014,2.784,11.163,9.134,0.0,12.171,5.067,0.001,0.055,0.027,0.0,6.836,0.006,2.013,8.913,1.207,0.001,7.29,0.0,0.0,5.081,3.179,8.215,0.003,0.025,10.493
NO3 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.0
PL0 0 X Discharge,0.0,0.314,0.002,0.827,0.0,0.0,0.0,0.134,0.0,0.0,0.56,0.035,9.935,6.898,0.0,11.245,2.058,0.028,0.001,0.054,0.0,3.935,0.031,0.0,5.191,0.112,0.0,4.647,0.006,0.003,2.431,0.971,5.092,0.034,0.007,8.077
PT0 0 X Discharge,0.0,0.535,0.467,0.742,0.001,0.0,0.0,0.479,0.004,0.0,0.628,0.008,0.017,0.002,0.0,0.02,0.001,0.001,0.001,0.006,0.0,0.008,0.003,0.255,0.039,0.011,0.001,0.002,0.0,0.0,0.012,0.011,0.014,0.002,0.007,0.002
RO0 0 X Discharge,0.0,0.175,0.0,0.645,0.0,0.0,0.0,0.001,0.0,0.0,0.405,0.003,0.005,0.0,0.0,0.008,0.0,0.001,0.0,0.002,0.0,0.003,0.002,0.0,0.012,0.003,0.0,0.0,0.0,0.0,0.004,0.003,0.005,0.001,0.003,0.001
RS0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.01,0.001,0.0,0.025,0.0,0.001,0.0,0.003,0.0,0.005,0.002,0.0,0.058,0.004,0.0,0.0,0.0,0.0,0.006,0.005,0.01,0.002,0.003,0.001
SE3 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.006,0.001,0.0,0.008,0.001,0.027,0.001,0.036,0.0,0.009,0.026,0.0,0.015,0.038,0.001,0.001,0.006,0.003,0.021,0.037,0.012,0.025,0.007,0.001
SI0 0 X Discharge,0.0,0.127,0.0,0.277,0.0,0.0,0.0,0.037,0.0,0.0,0.202,0.002,0.013,0.0,0.0,0.183,0.0,0.001,0.0,0.002,0.0,0.008,0.001,0.0,0.254,0.002,0.0,0.0,0.0,0.0,0.004,0.003,0.103,0.001,0.002,0.001
SK0 0 X Discharge,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.015,0.001,0.0,0.342,0.0,0.001,0.0,0.002,0.0,0.002,0.001,0.0,0.008,0.002,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.001,0.002,0.001
AL0 0 onwind,0.869,1.198,1.131,1.108,1.156,1.26,0.998,1.158,1.158,1.097,1.114,21.256,17.931,3.111,2.398,19.171,2.147,12.317,1.335,17.458,1.627,13.001,14.992,0.908,20.909,20.563,2.632,2.286,2.226,1.56,19.583,18.651,8.617,14.118,28.481,2.734
AT0 0 onwind,6.786,8.833,8.514,8.005,8.998,9.899,7.777,8.63,8.906,8.607,8.235,301.604,246.825,43.137,36.909,307.905,38.426,138.927,25.278,205.565,29.054,144.784,168.722,6.995,237.604,229.014,36.173,32.895,25.099,17.462,219.925,211.539,132.175,160.033,399.418,38.589
BA0 0 onwind,0.767,1.045,0.984,0.963,1.024,1.115,0.88,1.005,1.022,0.969,0.976,18.836,15.469,2.698,2.176,16.871,2.017,10.903,1.226,16.038,1.513,11.585,13.281,0.801,18.95,18.159,2.289,2.015,1.968,1.378,17.448,16.849,7.738,12.443,24.873,2.411
BE0 0 onwind,4314053.652,3586266.907,3810918.973,4076000.198,4046841.113,4711180.723,4176043.631,3629742.431,4016010.55,4704251.913,3728980.971,10179462.217,10283141.642,10248974.558,10217414.215,10324744.617,10237425.564,9905499.212,10200557.542,9949441.585,10203774.58,10022639.014,9923490.442,4033469.508,10177638.806,9955004.207,10221172.925,10232542.748,9772615.955,9736785.435,10009750.773,9964064.624,10045701.316,9923147.233,10162837.96,10326357.498
BG0 0 onwind,7.626,10.298,9.778,9.573,10.16,11.124,8.755,9.929,10.113,9.669,9.771,212.806,177.741,30.274,26.18,227.985,26.492,106.174,17.478,157.861,20.681,112.018,129.605,7.99,186.837,176.476,25.62,23.163,19.208,13.458,169.103,162.631,100.234,122.431,282.538,27.299
CH0 0 onwind,0.623,0.848,0.798,0.783,0.827,0.907,0.714,0.816,0.828,0.788,0.787,15.119,12.553,2.203,1.718,13.377,1.54,9.16,0.946,13.306,1.173,9.672,11.158,0.646,15.95,15.256,1.869,1.615,1.657,1.158,14.58,13.96,6.434,10.537,20.125,1.938
CZ0 0 onwind,50.651,49.105,52.902,39.484,62.98,77.117,56.059,50.609,58.93,66.573,43.523,5760326.994,6217526.634,6146750.727,5614676.591,6301246.86,5880549.226,3602275.576,5698010.99,3522335.542,5613090.439,3352356.277,3553852.741,43.475,2919801.411,3522077.655,5654914.117,5987088.58,3596913.521,3598478.246,3460543.289,3518425.095,3203438.312,3607659.111,5684598.711,6223683.581
DE0 0 onwind,15.949,21.918,20.516,20.607,21.351,23.282,18.291,21.172,21.303,20.244,20.928,41904347.337,43991547.376,41723690.09,42235757.293,45360655.52,42019087.777,5260210.967,42202110.022,5062212.269,42252239.34,4406467.822,5241313.624,17.002,3655528.246,4992456.135,42315137.918,41984539.672,5322752.224,5463073.54,4529619.191,4803667.761,4082092.812,5382336.584,41825035.423,43033891.89
DK0 0 onwind,9161233.189,11369752.891,10759805.58,11907237.254,9852895.674,9210693.108,9392868.435,11018440.112,10211278.644,9191664.54,11717462.337,66171168.174,66492448.974,65879444.287,65827944.753,66757098.841,65844289.316,21795152.561,65850238.921,21809782.133,65836919.392,23390834.818,21800491.923,10591821.274,24660538.7,21955386.381,65764099.225,65867081.416,21795681.176,21770250.82,22755452.839,22373832.436,23964853.543,21851157.445,66241800.474,65882766.023
DK3 0 onwind,5410782.635,5770444.804,5639760.477,6145548.451,5529164.495,5356867.833,5455181.007,5689756.382,5552640.287,5357025.792,5956858.469,13466701.899,13588098.391,13536621.742,13508313.851,13603034.838,13503883.805,13248925.185,13494510.257,13357317.426,13496198.078,13491263.597,13315868.763,5581881.02,13584102.738,13423466.321,13517398.327,13516112.408,13259657.386,13298132.919,13477342.953,13430061.288,13520693.691,13290718.777,13452364.552,13578893.607
EE6 0 onwind,3501696.687,3531533.079,3499459.373,3655923.23,3501523.606,3495973.516,3498453.987,3499837.885,3502081.785,3496408.188,3579382.387,10546712.951,10889065.36,10710103.289,10572189.888,11243216.99,10633572.151,4964019.942,10533713.433,4970412.358,10569499.686,5241254.929,4967874.436,3496921.407,5392807.052,4989823.059,10572582.915,10678482.903,4968876.11,4975415.73,5127505.451,5059519.92,5300591.742,4966266.538,10591259.097,10672911.45
ES0 0 onwind,11569086.384,10251906.812,10567542.337,8713281.941,11140072.863,11964387.342,11276967.156,10468957.893,10928213.328,11973851.12,9655708.635,26961362.84,28571841.195,27345775.257,26615614.202,29769576.689,26917408.001,25143532.86,26663243.069,25203852.348,26600661.346,25363807.075,25190232.53,10811335.887,25375078.99,25169921.245,26519014.111,26950984.607,25140095.571,25183651.672,25287059.507,25161082.769,25536237.751,25174991.069,26916904.876,28129631.546
ES2 0 onwind,530767.462,613418.537,588551.899,640098.53,550368.478,514189.953,542087.688,596359.907,559800.032,513979.658,622684.662,2353486.638,2481199.131,2408028.5,2347629.999,2540978.229,2353871.75,912068.99,2349825.094,918081.223,2347837.277,921005.128,913863.086,570886.595,956407.474,921237.846,2347436.53,2398214.175,887736.494,881250.448,919631.079,918396.371,938345.135,916975.675,2354499.015,2443378.027
FI3 0 onwind,120.15,141.195,144.897,128.829,167.419,176.727,141.817,137.593,161.122,151.491,135.173,10272.493,7384.242,1357.918,1756.127,10982.796,1531.706,1626.361,1284.12,2448.667,1588.201,1995.761,1987.136,119.706,3956.514,2809.403,1563.602,1095.311,290.96,208.223,2866.977,2697.657,2185.136,1859.702,15938.909,1123.572
FR0 0 onwind,73.998,82.849,84.248,73.094,96.836,108.788,84.524,82.212,94.586,94.12,75.102,101533404.725,99672870.721,101234861.422,102417039.052,99860266.776,102136550.102,36336342.717,102238976.516,36385238.012,102421132.182,36092137.389,36377149.922,70.158,37035922.707,36360367.954,102582897.308,101456336.313,36525582.617,36628333.921,36169684.54,36402015.323,36363511.489,36374881.798,101665462.501,100748782.081
GB4 0 onwind,655752.153,1831348.052,1246242.643,2554824.381,814667.103,492175.452,666153.003,1526584.444,897549.22,501234.041,2101854.103,35447303.846,35764184.133,35543485.028,35353650.226,35899319.421,35407886.945,4922038.376,35343446.512,5588994.388,35339485.704,6410406.222,5459944.847,1063888.643,7681274.014,5704905.094,35310736.808,35455147.956,4972557.807,5334243.031,6005856.58,5799454.485,6907454.256,5142072.107,35388088.659,35661341.233
GB5 0 onwind,62315820.473,76065554.577,71595094.286,80734714.771,66311532.422,58391742.793,64518744.359,73343780.734,68299349.351,58377525.359,78196880.701,415547302.113,419165857.182,417758254.557,416001302.066,420464163.689,416452828.794,162628609.289,416147521.75,168364887.237,415953321.365,179620318.259,165921437.753,70270144.484,189304715.796,169940577.334,415967022.274,417045102.804,161960179.804,162836102.935,175977081.949,172416459.154,183819053.411,162774000.056,415088046.168,417805914.548
GR0 0 onwind,9.463,13.138,12.308,12.258,12.668,13.746,10.868,12.596,12.657,11.966,12.502,440.68,374.291,62.632,54.337,483.921,57.135,177.979,39.249,262.51,44.754,187.066,216.46,10.032,305.465,293.709,52.631,47.84,32.179,22.622,281.149,269.336,172.711,203.784,584.445,56.664
HR0 0 onwind,5.3,6.871,6.622,6.143,7.047,7.71,6.059,6.693,6.98,6.704,6.372,149.744,125.358,21.715,18.107,152.358,18.179,77.078,12.06,113.573,13.632,81.094,94.044,5.439,135.132,128.187,18.357,16.587,13.953,9.743,122.678,117.823,67.406,88.601,201.858,19.4
HU0 0 onwind,404.808,114.528,196.602,66.711,443.107,722.909,411.6,143.346,311.79,644.237,86.993,9300212.073,9268726.895,9257374.099,9309457.076,9211346.494,9280523.026,3706249.884,9303167.998,3770841.599,9307634.07,3740046.375,3760095.227,195.515,3452770.246,3792946.78,9306633.298,9271555.762,3733796.418,3771511.17,3808642.802,3786024.832,3645088.447,3753961.599,9315025.926,9266014.091
IE4 0 onwind,2436938.297,2518003.97,2471580.124,2571004.298,2453939.568,2417678.818,2458489.066,2509067.151,2470497.603,2402731.493,2547434.098,36298791.777,40884515.225,37874354.08,35576780.987,43151498.537,36486873.574,6618201.534,35868922.163,6936208.447,35662612.354,7366445.289,6796241.293,2483176.363,7464672.052,7044537.589,35716411.503,36817318.092,6551301.069,6633441.842,7244634.466,7147860.387,7409075.013,6669030.047,36008207.484,39263569.125
IT0 0 onwind,10.801,13.315,13.041,11.879,14.14,15.864,12.331,13.105,13.901,13.773,12.236,1551414.445,1482128.2,1630075.053,1520244.214,1262095.687,1563969.941,3611930.54,1529486.481,3314914.343,1518600.263,2722343.391,3318386.846,10.826,1432235.483,3280349.085,1513866.66,1568581.068,3527529.572,3360524.09,3215161.801,3270492.507,2254290.924,3463701.346,1560321.265,1599781.476
IT1 0 onwind,1341430.074,1436143.415,1408407.526,1409684.972,1328814.227,1348840.372,1330901.482,1422482.381,1362225.31,1348761.636,1431840.541,3284750.586,3309319.769,3302566.036,3267349.278,3230694.818,3300046.488,2137889.499,3269722.727,2128958.627,3270060.988,2234635.756,2138791.276,1380942.082,2369555.882,2131557.242,3267747.665,3276314.499,2143067.697,2151244.873,2204899.075,2130440.068,2283453.368,2144880.285,3287170.678,3318575.018
LT6 0 onwind,43.388,62.404,57.015,59.765,58.73,63.537,49.865,58.749,58.319,54.919,59.504,1588.384,1356.386,217.025,193.351,2022.543,204.288,651.85,142.523,978.92,157.908,719.782,798.74,45.714,1299.534,1101.225,191.582,169.181,116.828,83.112,1079.871,1023.778,689.484,747.987,2137.346,202.251
LU0 0 onwind,14.273,19.876,17.991,17.354,13.807,20.376,16.634,15.049,17.548,15.796,18.024,1853189.112,1869397.398,1874964.634,1868527.996,1881149.812,1866342.915,1842583.337,1860168.268,1845022.601,1863852.637,1856332.445,1843756.838,13.219,1876846.234,1846660.196,1871596.222,1867813.726,1852647.575,1858549.796,1849160.218,1847086.61,1869602.55,1841448.062,1846735.878,1882867.937
LV6 0 onwind,72.747,113.587,100.963,117.05,101.19,104.447,85.317,103.294,100.852,89.435,114.447,1820.091,1461.232,253.426,209.495,2052.58,232.7,1827.778,161.408,2736.706,176.78,2089.435,2218.753,80.198,3723.765,3058.034,217.062,196.682,324.273,229.323,3064.428,2808.726,2175.35,2074.359,2422.966,232.728
ME0 0 onwind,0.682,0.912,0.863,0.834,0.901,0.991,0.782,0.878,0.902,0.864,0.826,15.67,13.422,2.339,1.718,13.956,1.527,9.391,0.934,12.855,1.144,9.894,11.341,0.694,15.654,15.77,1.97,1.686,1.705,1.187,14.749,13.998,6.591,10.656,21.162,2.027
MK0 0 onwind,0.34,0.467,0.439,0.433,0.453,0.495,0.391,0.449,0.453,0.43,0.435,7.026,6.408,1.117,0.8,5.494,0.728,4.672,0.453,6.655,0.542,4.884,5.45,0.354,7.999,7.814,0.911,0.804,0.844,0.59,7.253,7.163,2.656,5.267,10.111,1.017
NL0 0 onwind,24338281.274,26971460.509,26278250.514,27569935.892,24108013.509,24414906.543,24230601.748,26569896.242,24450609.848,24421640.872,27183305.343,43471304.86,43552113.0,43676058.164,43661396.978,43566216.243,43666988.461,41757359.03,43650883.295,41847397.539,43656642.817,43258129.685,41954006.19,25684246.403,43367903.062,42178317.114,43676141.122,43675064.563,42383858.828,42553762.62,42903618.443,42704279.537,43372347.294,41851882.838,43297425.389,43686290.899
NO3 0 onwind,10.533,14.314,13.545,13.12,14.105,15.346,12.122,13.831,14.059,13.258,13.498,319.109,263.913,44.94,39.758,340.461,41.506,173.504,28.404,258.698,33.244,186.674,212.725,10.984,311.029,289.028,38.425,34.522,31.286,21.967,279.335,269.58,177.685,198.909,425.562,40.528
PL0 0 onwind,3526670.286,3219145.582,3167314.582,3192925.183,3453229.456,3649859.21,3518192.911,3016883.852,3360233.088,3648380.726,3345652.093,50208101.722,52849965.621,51739369.745,50438271.012,54382814.85,50652552.171,17740008.543,50441960.504,17697588.554,50431539.691,18045696.004,17781024.825,3245305.188,18436197.936,17658238.839,50493293.913,51194652.785,17849584.028,17921126.744,17798240.705,17605072.007,18023890.889,17785530.693,50122926.886,52112611.536
PT0 0 onwind,29.967,39.587,38.305,35.485,40.085,42.913,34.665,38.936,40.126,37.251,36.845,887.395,694.804,120.227,109.352,883.906,111.958,444.481,77.372,662.925,89.567,450.223,545.886,31.247,737.462,742.502,106.693,96.774,80.3,56.538,696.164,661.653,416.539,509.019,1171.407,107.585
RO0 0 onwind,9.123,12.303,11.739,11.346,12.21,13.287,10.49,11.894,12.142,11.536,11.593,258.731,213.858,36.464,32.001,278.415,33.495,131.487,22.769,195.627,26.387,137.359,160.775,9.612,226.537,217.795,31.009,27.993,23.758,16.644,208.558,201.495,126.277,151.59,342.021,32.755
RS0 0 onwind,6.001,7.79,7.544,6.979,8.006,8.773,6.888,7.61,7.918,7.617,7.232,192.97,160.481,27.234,23.607,207.453,24.266,94.295,16.45,140.733,19.083,98.25,115.589,6.2,161.346,156.56,23.027,20.847,16.99,11.962,149.58,144.679,84.205,108.59,254.009,24.624
SE3 0 onwind,25.39,32.673,28.051,31.862,31.369,37.262,28.879,28.157,33.935,32.93,28.179,643.254,527.142,90.297,79.309,700.902,84.503,433.495,60.345,632.466,68.175,460.682,521.745,25.894,792.903,705.574,76.574,69.853,78.077,54.106,680.916,660.724,463.154,493.574,847.922,81.475
SI0 0 onwind,1.324,1.78,1.671,1.636,1.706,1.916,1.516,1.692,1.742,1.667,1.573,29.484,26.113,4.592,3.096,27.293,3.03,18.741,1.795,24.979,2.101,19.457,22.545,1.322,30.544,31.506,3.805,3.25,3.409,2.344,29.351,28.293,13.002,21.251,41.325,3.857
