,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
NL0 0 X Store,0.02,0.788,0.033,162.453,214.081,0.011,0.025,72.028,0.049,0.009,187.205,244.937,452.285,0.686,0.013,16.322,0.2,47.997,0.238,0.061,552.656,25.782,0.111,96.558,0.361,103.219,0.185,0.088,172.505,0.067,3.16,0.187,0.188,332.378,0.088,0.254
NO3 0 X Store,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.037,0.009,0.043,0.007,0.008,0.07,0.044,0.024,0.009,0.007,0.061,0.004,0.06,0.057,0.063,0.039,0.041,0.01,0.04,0.06,0.051,0.046,0.049,0.01,0.046
PL0 0 X Store,0.009,0.015,0.011,0.028,0.049,0.007,0.01,0.021,0.014,0.007,0.037,100.16,174.023,0.176,0.011,0.049,0.15,26.734,25.489,0.03,205.761,27.367,0.017,17.033,21.194,1.239,9.013,0.052,35.77,0.048,27.511,0.143,0.935,157.687,0.036,18.921
PT0 0 X Store,0.01,0.017,0.014,0.028,0.066,0.007,0.012,0.023,0.017,0.006,0.041,1.448,0.313,0.151,0.008,0.045,0.091,0.758,0.116,0.021,0.287,0.632,0.022,1.072,0.209,0.916,0.091,0.051,0.342,0.047,0.444,0.088,0.089,2.087,0.027,0.13
RO0 0 X Store,0.004,0.004,0.005,0.005,0.005,0.004,0.004,0.005,0.005,0.004,0.005,0.224,0.078,0.049,0.007,0.01,0.075,0.47,0.076,0.01,0.067,0.466,0.005,0.689,0.124,0.12,0.048,0.043,0.031,0.043,0.325,0.056,0.05,0.418,0.011,0.072
RS0 0 X Store,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.005,0.004,0.004,0.819,0.798,0.056,0.007,0.014,0.075,11.012,0.162,0.01,0.195,4.232,0.005,18.285,0.197,0.181,0.06,0.043,0.06,0.042,1.178,0.056,0.053,6.497,0.011,0.098
SE3 0 X Store,0.004,0.005,0.005,0.008,0.009,0.003,0.004,0.007,0.006,0.004,0.008,0.256,0.056,0.112,0.008,0.028,0.083,0.315,0.181,0.015,0.061,0.413,0.006,0.387,0.458,0.275,0.244,0.044,0.062,0.043,0.459,0.109,0.232,0.359,0.02,0.341
SI0 0 X Store,0.004,0.004,0.004,0.005,0.005,0.004,0.004,0.005,0.005,0.004,0.005,0.105,0.034,0.046,0.007,0.009,0.072,0.148,0.042,0.009,0.043,0.179,0.005,0.236,0.08,0.084,0.043,0.043,0.018,0.042,0.139,0.054,0.049,0.173,0.011,0.055
SK0 0 X Store,0.005,0.006,0.006,0.009,0.01,0.004,0.005,0.008,0.007,0.004,0.009,0.069,0.019,0.053,0.008,0.01,0.081,3.304,0.032,0.011,0.018,1.899,0.008,0.901,0.064,0.092,0.043,0.043,0.017,0.042,0.43,0.055,0.049,0.098,0.013,0.052
AL0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.008,0.003,0.0,0.001,0.001,0.028,0.004,0.0,0.009,0.025,0.0,0.045,0.007,0.008,0.003,0.001,0.002,0.0,0.017,0.002,0.002,0.043,0.0,0.004
AT0 0 X Discharge,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.002,0.001,0.0,0.0,0.001,0.04,0.024,0.0,0.002,0.073,0.0,0.036,0.021,0.003,0.003,0.001,0.001,0.0,0.15,0.002,0.002,0.006,0.0,0.008
BA0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.001,0.0,0.0,0.001,0.004,0.001,0.0,0.001,0.005,0.0,0.008,0.002,0.002,0.001,0.0,0.001,0.0,0.004,0.001,0.001,0.004,0.0,0.001
BE0 0 X Discharge,0.0,0.001,0.0,0.001,0.003,0.0,0.0,0.001,0.0,0.0,0.002,0.007,0.003,0.002,0.0,0.001,0.002,0.03,0.003,0.0,0.007,0.027,0.001,0.072,0.005,0.007,0.002,0.001,0.001,0.0,0.019,0.002,0.002,0.012,0.0,0.003
BG0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.02,0.003,0.0,0.001,0.001,0.086,0.006,0.0,0.019,0.059,0.0,0.155,0.008,0.01,0.003,0.001,0.003,0.0,0.03,0.002,0.002,0.086,0.001,0.005
CH0 0 X Discharge,0.0,0.0,0.0,0.001,0.003,0.0,0.0,0.001,0.0,0.0,0.002,0.002,0.001,0.001,0.0,0.0,0.001,0.011,0.002,0.0,0.001,0.01,0.001,0.023,0.003,0.002,0.001,0.001,0.0,0.0,0.008,0.001,0.001,0.003,0.0,0.002
CZ0 0 X Discharge,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.001,0.0,0.0,0.001,0.033,0.008,0.0,0.001,0.041,0.0,0.043,0.009,0.003,0.003,0.001,0.001,0.0,0.039,0.002,0.002,0.005,0.0,0.005
DE0 0 X Discharge,0.0,0.001,0.0,0.009,3.661,0.0,0.0,0.003,0.001,0.0,1.186,0.005,0.002,0.002,0.0,0.0,0.001,0.016,0.004,0.0,0.004,0.019,0.001,0.024,0.005,0.005,0.002,0.001,0.001,0.0,0.017,0.001,0.001,0.009,0.0,0.003
DK0 0 X Discharge,0.001,2.41,0.509,3.374,4.828,0.0,0.042,2.888,1.202,0.0,4.092,0.006,0.003,0.002,0.0,0.0,0.001,3.139,0.013,0.0,0.006,1.069,1.666,4.413,0.013,0.005,0.004,0.001,0.001,0.001,0.205,0.003,0.004,0.013,0.0,0.006
DK3 0 X Discharge,0.0,0.0,0.0,0.001,0.006,0.0,0.0,0.001,0.0,0.0,0.002,1.874,2.205,0.021,0.0,0.151,0.003,8.952,8.494,0.002,2.764,8.885,0.0,8.93,8.163,0.688,6.777,0.002,1.638,0.0,8.773,4.276,6.649,2.192,0.003,7.023
EE6 0 X Discharge,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.326,0.629,0.006,0.0,0.003,0.002,5.785,5.861,0.001,0.883,5.754,0.0,5.856,5.342,0.071,4.312,0.001,0.056,0.0,5.694,0.042,1.378,0.403,0.001,5.105
ES0 0 X Discharge,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.001,0.0,0.0,0.001,3.231,5.769,0.006,0.0,0.002,0.003,0.18,0.004,0.001,6.757,0.037,0.001,0.5,0.007,0.057,0.003,0.001,1.861,0.0,0.019,0.002,0.003,4.445,0.001,0.004
ES2 0 X Discharge,0.026,0.08,0.042,0.119,0.282,0.001,0.032,0.098,0.051,0.0,0.23,0.085,0.418,0.005,0.0,0.002,0.003,0.175,0.008,0.001,0.489,0.129,0.073,0.191,0.01,0.029,0.003,0.001,0.031,0.0,0.057,0.003,0.003,0.319,0.001,0.005
FI3 0 X Discharge,0.0,0.0,0.0,0.001,0.639,0.0,0.0,0.0,0.0,0.0,0.005,3.54,3.673,2.342,0.0,2.899,0.004,0.841,0.362,0.006,3.839,0.58,0.0,0.996,0.543,3.127,0.371,0.001,3.275,0.0,0.468,0.04,0.211,3.579,0.733,0.553
FR0 0 X Discharge,0.0,0.001,0.0,0.001,0.002,0.0,0.0,0.001,0.0,0.0,0.002,0.003,0.001,0.001,0.0,0.0,0.001,0.012,0.002,0.0,0.003,0.011,0.001,0.03,0.003,0.004,0.002,0.001,0.001,0.0,0.008,0.002,0.002,0.006,0.0,0.002
GB4 0 X Discharge,0.37,0.81,0.49,0.952,1.384,0.134,0.41,0.879,0.557,0.0,1.105,1.874,1.947,0.911,0.0,1.079,0.01,1.844,1.475,0.35,2.182,1.756,0.616,1.878,1.368,1.097,1.138,0.006,1.484,0.001,1.643,0.343,0.81,1.952,0.763,1.294
GB5 0 X Discharge,4.322,16.753,8.369,19.773,23.705,0.002,6.428,18.508,10.803,0.0,21.235,32.88,41.898,15.976,0.0,17.857,0.005,18.057,12.842,1.046,44.193,17.133,13.573,18.602,10.064,21.1,3.121,0.003,27.197,0.001,15.898,0.022,0.31,35.697,10.436,6.196
GR0 0 X Discharge,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.04,2.895,0.003,0.0,0.001,0.001,0.796,0.008,0.0,4.411,0.215,0.0,2.131,0.01,0.011,0.003,0.001,0.003,0.0,0.05,0.002,0.003,0.283,0.001,0.006
HR0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.001,0.0,0.0,0.001,0.007,0.002,0.0,0.001,0.006,0.0,0.012,0.003,0.003,0.001,0.0,0.001,0.0,0.005,0.001,0.001,0.006,0.0,0.002
HU0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.001,0.0,0.0,0.001,0.006,0.001,0.0,0.002,0.007,0.0,0.01,0.002,0.003,0.001,0.0,0.001,0.0,0.006,0.001,0.001,0.005,0.0,0.001
IE4 0 X Discharge,0.002,0.014,0.003,0.018,0.157,0.0,0.002,0.021,0.004,0.0,0.101,3.406,3.988,1.974,0.0,2.359,0.021,1.187,1.221,1.744,3.989,1.125,0.008,1.209,1.231,3.134,0.865,0.007,3.219,0.001,1.134,0.323,0.609,3.609,1.876,1.118
IT0 0 X Discharge,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.003,0.001,0.0,0.001,0.003,0.0,0.008,0.001,0.001,0.001,0.0,0.0,0.0,0.003,0.001,0.001,0.002,0.0,0.001
IT1 0 X Discharge,0.0,0.011,0.0,0.089,0.202,0.0,0.0,0.065,0.001,0.0,0.143,0.002,0.001,0.001,0.0,0.0,0.001,0.005,0.001,0.0,0.001,0.005,0.002,0.011,0.002,0.002,0.001,0.0,0.0,0.0,0.004,0.001,0.001,0.003,0.0,0.001
LT6 0 X Discharge,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.028,0.007,0.004,0.0,0.001,0.002,0.102,0.053,0.0,0.006,0.134,0.0,0.125,0.126,0.025,0.078,0.001,0.006,0.0,0.142,0.028,0.078,0.039,0.001,0.097
LU0 0 X Discharge,0.31,0.883,0.511,1.101,1.598,0.133,0.429,1.054,0.601,0.001,1.288,0.009,0.009,0.002,0.0,0.0,0.002,0.024,0.004,0.0,0.297,0.02,0.737,0.07,0.005,0.006,0.002,0.001,0.001,0.0,0.016,0.002,0.002,0.022,0.0,0.003
LV6 0 X Discharge,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.051,0.013,0.004,0.0,0.002,0.002,0.105,0.054,0.001,0.014,0.137,0.0,0.129,0.128,0.037,0.079,0.001,0.012,0.0,0.144,0.028,0.08,0.065,0.001,0.098
ME0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.002,0.002,0.0,0.0,0.001,0.01,0.002,0.0,0.002,0.011,0.0,0.015,0.004,0.005,0.002,0.0,0.001,0.0,0.008,0.001,0.001,0.012,0.0,0.003
MK0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.003,0.0,0.001,0.001,0.524,0.008,0.0,0.016,0.255,0.0,0.549,0.01,0.01,0.003,0.001,0.003,0.0,0.056,0.002,0.003,0.094,0.001,0.005
NL0 0 X Discharge,0.0,0.018,0.001,3.835,7.192,0.0,0.0,1.662,0.001,0.0,5.197,8.358,15.914,0.02,0.0,0.586,0.003,3.887,0.015,0.002,21.032,2.244,0.003,13.161,0.013,3.624,0.004,0.001,6.177,0.001,0.326,0.003,0.004,11.33,0.002,0.007
NO3 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.003,0.0,0.0,0.001,0.003,0.0,0.008,0.001,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.001
PL0 0 X Discharge,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.001,0.0,0.0,0.001,6.179,10.839,0.004,0.0,0.002,0.002,8.302,7.915,0.001,12.673,8.498,0.0,5.289,6.581,0.062,2.799,0.001,2.143,0.0,8.543,0.038,0.294,9.399,0.001,5.876
PT0 0 X Discharge,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.001,0.0,0.0,0.001,0.049,0.01,0.005,0.0,0.002,0.002,0.019,0.003,0.001,0.01,0.016,0.001,0.027,0.005,0.031,0.002,0.001,0.011,0.0,0.011,0.002,0.002,0.07,0.001,0.003
RO0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.005,0.002,0.0,0.001,0.001,0.026,0.004,0.0,0.004,0.026,0.0,0.038,0.007,0.008,0.003,0.001,0.002,0.0,0.018,0.002,0.002,0.027,0.0,0.004
RS0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.053,0.004,0.0,0.001,0.001,0.603,0.009,0.0,0.013,0.232,0.0,1.001,0.011,0.012,0.003,0.001,0.004,0.0,0.064,0.002,0.003,0.428,0.001,0.005
SE3 0 X Discharge,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.009,0.006,0.0,0.002,0.002,0.098,0.056,0.001,0.01,0.128,0.0,0.12,0.142,0.026,0.078,0.001,0.007,0.0,0.142,0.028,0.074,0.039,0.001,0.109
SI0 0 X Discharge,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.002,0.002,0.0,0.0,0.001,0.012,0.002,0.0,0.003,0.01,0.0,0.019,0.004,0.005,0.002,0.0,0.001,0.0,0.008,0.001,0.001,0.01,0.0,0.003
SK0 0 X Discharge,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.001,0.0,0.0,0.001,1.039,0.01,0.0,0.001,0.603,0.0,0.283,0.009,0.003,0.002,0.0,0.001,0.0,0.137,0.001,0.001,0.004,0.0,0.004
AL0 0 onwind,1.11,0.984,1.158,1.201,1.098,1.003,1.101,1.131,1.276,1.137,1.07,12.827,3.052,14.045,2.433,2.619,23.867,13.834,7.658,3.189,2.371,18.244,1.328,19.218,16.97,21.775,12.043,12.707,3.587,12.409,18.828,16.003,14.583,18.024,3.285,14.521
AT0 0 onwind,8.657,7.666,9.043,9.172,8.329,7.867,8.89,8.665,9.821,8.894,8.133,195.621,41.856,196.859,36.437,37.162,350.197,140.743,81.792,47.114,35.976,195.274,10.166,186.411,195.038,326.347,138.457,145.491,55.131,142.782,200.016,183.629,162.744,271.421,45.006,162.659
BA0 0 onwind,0.98,0.874,1.024,1.06,0.963,0.885,0.988,0.998,1.126,1.005,0.943,11.689,2.66,12.243,2.18,2.315,21.123,12.211,6.728,2.865,2.153,16.878,1.171,16.826,15.191,19.684,10.774,11.306,3.256,11.037,16.937,14.348,12.906,15.895,2.844,12.897
BE0 0 onwind,4315182.876,4221789.304,4226886.369,4225695.832,4149886.69,4581514.006,4262058.215,4278308.177,4121542.489,4701633.528,4208762.84,10171992.952,10235015.318,10176450.806,10204650.87,10213738.176,10160050.528,9939645.707,9858433.801,10200647.989,10226803.462,9919824.888,4135485.923,9952634.918,9934928.785,10170692.263,9917996.371,9910556.562,10207718.697,9899651.497,9910927.62,9934435.5,9917422.024,10161483.789,10217208.843,9923132.304
BG0 0 onwind,9.73,8.71,10.239,10.434,9.584,8.829,10.009,9.849,11.154,9.988,9.295,139.901,30.659,139.211,25.747,26.354,247.067,121.455,65.312,33.418,26.923,164.093,11.562,167.987,151.541,231.854,106.835,111.269,39.217,109.213,163.557,141.179,125.424,197.13,31.857,126.469
CH0 0 onwind,0.795,0.701,0.827,0.854,0.772,0.72,0.791,0.806,0.912,0.817,0.758,9.241,2.16,9.956,1.731,1.859,16.887,10.358,5.667,2.273,1.69,13.763,0.947,14.283,12.694,15.548,9.117,9.62,2.556,9.404,14.055,12.123,10.852,12.754,2.326,10.971
CZ0 0 onwind,64.465,49.17,63.422,56.308,49.058,61.352,64.913,54.178,66.72,68.731,48.916,5721420.324,5651836.751,5783914.756,5614056.126,5807324.58,5626471.379,3281043.67,3324617.394,5654462.926,5630715.338,3319602.357,67.949,3314857.776,3343943.118,5868440.751,3527292.281,3599302.307,5815788.375,3600127.516,3334044.029,3606074.786,3525491.096,5707817.576,5719548.128,3449578.984
DE0 0 onwind,20.352,18.523,21.353,22.014,20.281,18.477,20.97,20.775,23.345,20.917,19.662,42022223.229,42687983.365,41957481.05,42244304.508,42114509.922,41852303.106,5993832.902,5565479.707,42259823.14,42881286.259,5833089.072,24.289,5930009.494,5504518.697,41629006.493,5364691.185,5247202.764,41914623.684,5246700.659,5675846.887,5379105.631,5464687.106,42280886.434,42243080.659,5421743.048
DK0 0 onwind,9161933.599,10287421.195,9543767.623,10752339.294,11034685.532,9190153.235,9349890.689,10472316.5,9797914.566,9134809.992,10962760.434,66097199.445,65817607.783,66109624.0,65834686.847,65734913.201,66227189.384,21852544.846,21766539.305,65868540.701,65843095.057,21750599.152,9941182.274,21948247.633,21818956.671,66133853.169,21842281.619,21811947.936,65809183.867,21808917.252,21634239.794,21844078.99,21841018.903,66213360.997,65806484.46,21863662.45
DK3 0 onwind,5411271.857,5553829.345,5463517.261,5582091.413,5628464.474,5356747.937,5425528.585,5570282.669,5524460.168,5357035.731,5608020.04,13477123.274,13528332.796,13450266.783,13496920.732,13501170.186,13452269.24,13433626.076,13336957.302,13488274.556,13522391.448,13409511.961,5535076.115,13435777.425,13323456.172,13472465.851,13283820.805,13228216.048,13514379.092,13228210.087,13363305.101,13282130.566,13304628.322,13483671.73,13510925.723,13291753.796
EE6 0 onwind,3501096.767,3516557.262,3510610.142,3533141.084,3557997.883,3496096.937,3500466.25,3523670.461,3516817.372,3496702.147,3539420.064,10661522.158,10721879.612,10536405.8,10573562.824,10514310.18,10589999.303,5186170.426,5160186.74,10563879.992,10756846.338,5180540.59,3516645.056,5188859.415,5107173.792,10564791.936,5050515.235,4958710.516,10627430.264,4958708.944,5181668.013,4961496.393,4987482.843,10698615.332,10551022.741,5072812.9
ES0 0 onwind,11566615.0,10154636.633,10942687.496,9470114.036,8872787.334,11961065.993,11231362.597,9795789.604,10719245.139,11986169.448,9084729.088,27459025.666,27384690.668,26898396.147,26607044.431,26805592.272,26813480.886,25288762.313,25126356.728,26538909.41,27242624.291,25207133.963,10456641.431,25278287.077,25199708.388,27058560.109,25160639.017,25140574.776,27099066.776,25144299.951,25140772.682,25177035.537,25172984.227,27558954.656,26660315.331,25174588.24
ES2 0 onwind,531615.023,549228.272,539516.011,558717.292,583261.419,515393.458,539523.511,552363.798,544904.099,514255.894,572525.527,2358265.687,2396423.746,2352201.169,2347400.623,2347797.313,2354187.552,917609.98,896874.932,2348174.965,2413360.271,917899.079,546405.487,916300.269,913724.079,2353772.229,910819.583,911979.504,2353581.293,911986.327,914583.438,916588.028,916336.763,2385504.442,2347682.19,908997.517
FI3 0 onwind,146.927,142.109,173.233,191.46,179.936,136.52,153.401,166.528,185.283,145.652,175.9,9381.824,9924.642,6644.368,1779.395,1349.967,15932.845,4578.131,1579.499,2131.798,240916.402,5328.282,192.648,8215.941,3404.672,11523.873,1779.196,1696.048,2515.652,1661.594,4855.537,2174.868,1950.423,18699.02,1676.371,2352.338
FR0 0 onwind,94.053,82.518,99.275,95.301,79.075,85.349,96.258,93.429,105.506,97.465,80.718,101204560.294,102255917.49,101755302.355,102404146.094,102202478.055,101725914.496,36754721.24,36453802.29,102322357.592,102131450.702,36821437.648,109.735,37015836.942,36368998.009,101470270.069,36407187.889,36351548.204,101734227.721,36347095.377,36661472.404,36383735.484,36391501.139,101443917.527,102381663.001,36374798.622
GB4 0 onwind,653575.716,886761.872,676060.198,925482.933,1076626.094,511873.12,653095.405,910987.406,780310.123,502716.751,990425.558,35419519.914,35372742.377,35419845.349,35337749.457,35339421.807,35402282.65,5203370.125,5283106.773,35339460.787,35381086.732,5290596.765,824865.336,5243189.331,5226026.352,35415101.892,5161872.169,4933651.676,35395861.847,4933719.706,5278604.711,5146208.155,5093175.601,35409891.171,35334617.745,5220606.265
GB5 0 onwind,62325310.017,69137238.169,64821008.394,71044200.002,71864566.248,58436475.177,63685057.135,70291758.648,66260924.124,58373895.469,71621666.666,415683081.932,416943787.581,415469826.297,415992728.792,416008774.414,415250423.568,168612529.256,165809322.683,415916154.33,416543022.337,167551526.906,67371552.646,169374014.656,165713082.906,415230547.704,163851621.232,162581218.216,416036184.606,162588196.019,166988607.108,162817711.694,163105791.057,415634894.032,415992719.092,164901973.804
GR0 0 onwind,12.079,10.964,12.713,13.151,12.141,10.91,12.447,12.379,13.905,12.345,11.74,297.358,64.058,286.872,53.418,54.676,510.466,196.744,109.048,69.353,58.81,272.2,14.455,278.842,252.006,488.299,177.502,186.766,83.254,183.448,273.04,236.859,209.638,420.817,65.57,211.236
HR0 0 onwind,6.761,6.028,7.109,7.259,6.671,6.115,6.911,6.852,7.763,6.922,6.483,94.711,21.588,99.715,18.174,18.763,174.04,88.375,46.671,23.447,17.517,116.642,8.063,122.717,107.967,158.546,76.073,80.376,26.672,78.818,116.333,101.727,90.545,137.669,22.97,89.937
HU0 0 onwind,507.496,308.199,486.533,279.678,196.413,567.774,602.698,285.439,414.26,599.158,238.219,9331059.684,9549761.792,9283378.967,9309093.799,9293813.207,9315680.969,3667433.797,4224210.899,9307360.528,9634582.34,3860696.957,437.525,3533902.437,4174036.272,9302063.084,4002575.088,3704867.067,9303299.303,3704716.692,4077082.541,3750679.993,3814541.833,9387681.093,9297820.269,4163928.051
IE4 0 onwind,2439394.62,2473048.741,2460004.006,2463731.4,2483820.894,2413082.895,2467873.387,2464356.454,2445343.374,2397764.158,2467465.608,37631355.293,38090781.512,36489345.904,35609048.329,36413007.919,35740756.984,7373299.794,7109577.569,35782615.393,39115670.251,7324630.765,2453217.355,7426576.268,7047535.726,37068051.027,6872497.565,6617717.407,37267816.354,6619309.222,7256517.583,6665883.388,6762632.116,37720477.823,35943915.623,6974911.541
IT0 0 onwind,13.772,11.871,14.281,13.928,12.4,12.555,14.082,13.297,15.435,14.241,12.276,1641018.492,1456917.914,1573918.288,1520671.415,1585090.159,1544953.867,2608988.455,2820138.245,1518053.723,1219048.631,2640155.512,15.895,2388834.747,2981795.384,1603566.324,3203119.979,3611776.741,1620825.94,3612537.652,2730309.746,3463175.729,3355744.994,1580205.106,1522320.839,3083400.232
IT1 0 onwind,1342102.734,1306281.592,1324223.103,1264231.334,1213069.884,1349166.282,1328491.271,1280206.775,1313572.204,1348943.232,1242754.511,3228207.28,3235241.077,3275333.184,3266239.92,3254325.125,3284059.345,2215843.888,2176183.342,3268174.631,3229508.396,2193614.014,1308987.719,2305070.083,2174435.583,3250242.97,2156684.517,2137197.328,3223956.776,2136557.655,2184509.751,2142126.696,2145677.262,3239820.132,3274859.109,2164662.754
LT6 0 onwind,55.316,49.379,58.642,60.539,55.444,50.14,57.27,56.796,63.57,56.812,53.81,1043.822,221.291,1021.91,195.571,191.051,1886.855,892.379,452.386,254.652,203.555,1127.763,66.173,1230.297,1031.256,1683.447,682.841,679.13,290.441,665.838,1117.092,868.895,781.446,1498.615,237.4,824.3
LU0 0 onwind,17.814,14.917,18.514,19.576,14.996,12.303,17.139,17.688,22.786,15.363,13.965,1850555.613,1865304.001,1853541.73,1864433.643,1868257.726,1847186.925,1844902.759,1849297.925,1862652.137,1865089.787,1846923.5,24.178,1847677.21,1844436.668,1852037.277,1843957.593,1845116.076,1863034.493,1845724.938,1845944.642,1841312.147,1842386.963,1843341.315,1869691.54,1845574.724
LV6 0 onwind,92.771,88.888,102.521,117.629,109.235,82.458,98.269,105.307,111.395,92.701,106.61,1199.985,265.755,1172.312,221.13,222.224,2143.782,2948.265,1341.6,284.79,242.119,3352.114,116.817,4250.972,3053.719,1958.685,1937.67,1888.268,338.354,1852.16,3314.747,2400.052,2155.527,1741.514,270.666,2380.313
ME0 0 onwind,0.872,0.756,0.902,0.93,0.834,0.79,0.85,0.879,1.0,0.897,0.824,9.17,2.259,10.471,1.794,1.924,17.64,10.301,5.869,2.335,1.649,13.537,1.038,14.414,12.689,15.519,8.89,9.478,2.527,9.241,14.006,11.859,11.161,13.086,2.475,10.775
MK0 0 onwind,0.435,0.385,0.454,0.468,0.426,0.393,0.436,0.442,0.5,0.447,0.417,4.176,1.003,4.284,0.845,0.95,6.771,5.26,2.884,1.135,0.756,6.999,0.519,7.283,6.52,7.238,4.574,4.829,1.157,4.721,7.08,6.064,5.566,4.848,1.165,5.501
NL0 0 onwind,24332114.927,24290308.233,24262603.11,25801008.842,26496340.229,24312095.225,24287646.822,25001524.346,24185384.506,24423971.925,26211169.154,43470328.748,43665498.569,43494423.29,43655803.313,43662569.35,43345486.013,42034845.713,42324652.978,43644968.01,43663611.192,42093558.385,24173907.868,42113702.076,41981550.685,43393302.067,41992282.589,41679826.143,43639385.461,41678263.336,42069162.342,41726883.278,41862473.327,43420046.429,43661011.527,41950394.484
NO3 0 onwind,13.439,11.91,14.169,14.44,13.049,12.172,13.726,13.607,15.461,13.763,12.836,220.525,44.675,207.666,39.181,39.347,373.038,198.214,107.564,50.668,41.22,273.595,15.998,270.289,253.016,350.669,175.008,181.632,59.45,178.31,271.748,230.289,204.904,298.163,47.43,207.653
PL0 0 onwind,3524609.841,3250834.18,3435172.979,2925319.475,2844597.95,3639875.824,3475958.259,3166471.877,3346390.347,3649059.435,2920085.919,50635536.45,50399225.292,50377702.837,50433933.132,50629186.402,50102475.392,17227874.918,17726646.477,50457927.838,50109309.144,17453219.425,3331990.064,16918456.292,17723239.441,50430058.127,17956703.727,17731445.04,50725544.039,17730516.994,17526526.686,17778140.81,17829005.77,50408249.208,50461639.654,17867722.836
PT0 0 onwind,38.18,34.959,40.924,42.393,38.567,33.962,39.685,39.822,44.503,38.462,37.618,570.324,122.24,580.14,108.497,109.528,1033.89,514.519,279.935,140.19,106.407,693.884,46.174,695.864,644.596,966.995,451.005,465.733,163.573,457.696,692.097,591.164,524.743,794.963,132.633,538.67
RO0 0 onwind,11.641,10.48,12.287,12.615,11.571,10.533,12.002,11.876,13.414,11.931,11.25,176.911,37.053,168.082,31.406,31.913,300.471,149.291,80.583,40.787,34.068,203.901,13.912,203.758,189.798,284.586,132.503,137.753,48.589,135.262,202.44,174.7,155.376,242.19,38.464,156.605
RS0 0 onwind,7.659,6.836,8.058,8.201,7.502,6.955,7.857,7.749,8.785,7.884,7.302,130.627,27.486,125.434,23.195,23.826,222.225,108.92,57.957,30.223,24.774,147.188,9.127,151.594,135.784,212.077,95.336,98.817,36.129,96.963,145.773,125.731,111.755,180.296,28.666,112.576
SE3 0 onwind,31.611,25.453,34.253,35.572,28.832,28.939,29.538,32.375,38.095,31.475,29.846,451.351,85.345,416.537,78.687,78.916,743.284,430.314,244.105,101.169,79.506,602.466,39.925,583.068,589.582,709.248,416.948,453.173,119.617,445.392,610.673,568.77,496.905,584.094,94.839,489.567
SI0 0 onwind,1.696,1.414,1.72,1.784,1.586,1.517,1.581,1.682,1.936,1.737,1.575,16.43,4.242,20.574,3.47,3.644,33.921,20.408,11.707,4.386,2.843,26.774,2.014,28.833,25.422,26.783,17.225,18.517,4.511,18.055,27.291,23.075,22.223,24.803,4.854,21.013
