,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
E_battery [GWh],123.037,116.829,121.602,111.294,111.197,130.966,121.802,114.104,119.747,131.949,110.296,1029.017,999.236,1060.759,1065.067,1059.081,1065.118,423.363,429.007,1065.326,987.597,426.24,118.299,422.541,430.25,1054.993,434.56,444.686,1045.615,444.717,427.244,440.326,437.728,1015.313,1063.224,431.677
G_PHS [GW],56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
E_PHS [GWh],1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69
G_electrolysis [GW],0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,804.112,802.413,808.842,811.64,808.19,811.577,79.018,80.529,811.165,801.559,79.456,0.001,78.51,80.838,806.807,81.828,82.091,805.269,82.094,80.028,82.158,82.115,803.776,810.132,81.376
E_H2 [GWh],0.075,0.067,0.078,0.081,0.074,0.068,0.076,0.076,0.086,0.077,0.072,8371.178,8475.43,8294.133,8268.225,8287.302,8264.976,826.272,872.329,8272.228,8464.209,839.984,0.089,806.331,885.622,8317.976,908.827,924.88,8373.557,925.037,857.818,923.04,923.043,8432.038,8313.185,894.311
avail_onwind [MWh],154107040.055,156430425.681,154322028.828,157666488.12,157705387.976,152650933.507,154197298.095,157371343.135,155152982.184,152915928.741,157856385.83,900189813.232,901030516.629,899106328.67,898157617.771,898822795.617,898017478.676,401498730.833,400661558.523,898284467.718,901723365.039,400883110.298,155438903.581,400990835.466,400732529.921,899288941.823,400519088.097,398953452.726,899626945.163,398950334.912,400609892.173,399571413.986,399972922.918,900632475.331,898375162.035,400871595.086
avail_offwind [MWh],314661704.239,314029396.513,314558253.262,313789053.09,314073482.94,315033586.678,314627493.167,313820878.924,314540037.946,314633666.215,313565395.135,667464263.463,668873498.301,664734761.879,665264450.11,665812647.807,665287018.396,390703790.316,390897005.509,665153230.197,667354691.146,390743906.369,314438536.435,391263176.354,390906907.608,665089580.003,390612055.744,390932259.387,666130555.814,390933244.314,390770303.042,390653000.639,390525899.06,667887250.717,664853220.691,390778025.696
avail_solar [MWh],276214643.666,274874475.888,275948962.888,274156507.556,273990487.518,277248688.643,276103896.498,274397592.72,275497126.625,277436186.012,274270442.866,910018931.073,909799519.406,911056023.54,910801025.874,910448795.504,910930727.426,519544671.765,517767311.341,910874329.578,911333649.912,519169401.954,275355014.198,520371812.361,517409045.14,911067779.427,516971063.76,517103805.976,910522268.059,517102747.454,518560138.076,517149535.62,517198690.226,909891592.472,911268497.24,516979257.261
used_onwind [MWh],129106009.028,135628850.679,131207277.071,138547116.068,139806987.452,125764724.008,130208250.42,137309024.9,132558016.266,125888245.417,139430699.368,879195405.401,882368677.188,877640608.198,877853560.215,878635012.072,876182786.947,374240815.886,372250264.066,877848045.838,882654986.618,373685626.304,133597219.551,374622281.762,371902340.101,877520040.611,370158442.176,367727490.341,879335112.109,367720019.734,373100725.504,368535369.866,369044175.678,879721629.662,878220214.51,371227285.782
used_offwind [MWh],297957117.974,298466766.451,298237228.749,299238480.7,300666177.696,297771434.393,298019915.08,298796212.136,298442034.439,297294960.725,299595963.074,637415229.461,636070554.285,634043216.584,631899745.109,632811298.889,635389864.82,381952340.4,381040412.581,632087087.2,635170542.345,381565280.1,298542523.915,382621435.153,382105413.975,635665797.074,381441126.287,381582605.573,633918940.731,381608482.965,381564933.568,381714388.334,381536241.842,638717649.859,631741506.847,381767214.585
used_solar [MWh],270061117.188,268799032.189,269800766.016,268157577.447,268025842.692,270925311.844,269911058.106,268362054.417,269385568.946,271088073.091,268278185.75,895566237.773,896200311.319,896206111.327,896431401.054,896210124.616,895708985.252,509826356.871,508526856.132,896450103.331,897765472.57,509507591.097,269264048.408,510551152.446,507534852.026,896140381.153,507343564.381,507501963.619,896373098.187,507494781.048,508904206.663,507290656.603,507426333.58,895441662.11,896940227.899,507220113.809
gas_OCGT_gen [MWh],36028355.7,35396179.2,35810422.8,35002559.7,34726221.0,36394584.9,35988500.4,35249347.5,35772136.8,36365336.4,34814529.9,8278507.2,7809251.4,8956179.9,9810143.7,8739072.0,9792123.0,6905551.8,6923940.9,9578710.8,7460257.2,6935196.3,35639249.1,6924035.4,7061990.1,8459404.8,7141860.9,7343725.5,8418735.0,7343358.3,6899554.2,7322286.6,7249707.3,8107238.4,9303208.5,7151174.7
gas_CCGT_gen [MWh],163907108.1,164801530.8,164215371.0,165358164.0,165749235.0,163389217.8,163963521.3,165009122.1,164269376.4,163430462.7,165624325.5,428276.1,443058.9,419501.1,412462.8,412561.2,426580.8,10949652.3,10465646.1,412892.1,454390.8,10751942.1,164457303.3,11060381.1,10344240.3,424488.0,10169634.0,9874311.0,416240.7,9872663.4,10630823.7,9986137.2,10024733.4,444557.4,413076.3,10271721.9
coal_gen [MWh],117.9,102.9,128.4,131.1,103.8,87.9,115.8,119.1,153.9,102.0,100.2,1094.7,226.5,1037.4,191.7,195.9,1841.4,1494.3,891.0,248.4,205.2,2033.1,164.4,2060.1,1863.6,1749.6,1305.0,1369.5,299.4,1321.5,2026.2,1712.1,1645.5,1474.2,236.4,1576.2
nuclear_gen [MWh],820.5,607.2,774.0,804.9,666.6,775.2,752.7,743.7,942.6,901.5,675.3,61027057.2,61834232.4,58948822.5,58758839.1,59154899.7,58778037.6,68865.9,46780.5,58665270.0,62615770.8,95701.8,1019.7,110670.6,104277.3,59511498.9,77765.4,88347.0,60343497.6,86571.6,92339.4,108006.6,69521.7,61189338.3,58842315.6,97086.9
onwind_gen [MWh],387318027.0,406886552.1,393621831.3,415641348.3,419420962.5,377294172.0,390624751.2,411927074.7,397674048.9,377664736.2,418292098.2,2637586216.2,2647106031.6,2632921824.6,2633560680.6,2635905036.3,2628548360.7,1122722447.7,1116750792.3,2633544137.4,2647964959.8,1121056878.9,400791658.8,1123866845.4,1115707020.3,2632560121.8,1110475326.6,1103182470.9,2638005336.3,1103160059.1,1119302176.5,1105606109.7,1107132527.1,2639164889.1,2634660643.5,1113681857.4
offwind_gen [MWh],893871354.0,895400299.5,894711686.1,897715442.1,901998533.1,893314303.2,894059745.3,896388636.3,895326103.2,891884882.1,898787889.3,1912245688.5,1908211662.9,1902129649.8,1895699235.3,1898433896.7,1906169594.4,1145857021.2,1143121237.8,1896261261.6,1905511626.9,1144695840.3,895627571.7,1147864305.6,1146316242.0,1906997391.3,1144323378.9,1144747816.8,1901756822.1,1144825449.0,1144694800.8,1145143164.9,1144608725.4,1916152949.7,1895224520.4,1145301643.8
solar_gen [MWh],810183351.6,806397096.6,809402298.0,804472732.2,804077528.1,812775935.4,809733174.3,805086163.2,808156706.7,813264219.3,804834557.1,2686757958.3,2688620565.9,2688670945.2,2689308825.3,2688644919.6,2687204076.3,1529504257.2,1525597026.0,2689367015.1,2693315751.6,1528567300.5,807792145.2,1531687187.7,1522639252.5,2688503857.8,1522057497.6,1522534245.6,2689141903.5,1522511797.8,1526758142.7,1521906772.5,1522305977.4,2686398997.8,2690837760.0,1521692835.0
hydro_gen [MWh],512028328.8,512022631.5,511998741.3,512046045.9,512078550.9,512033044.8,511977906.9,512046014.4,512033716.8,512038256.7,512055680.7,512360340.3,512873070.0,512445340.2,512822048.1,512871282.6,512020068.6,512045077.8,512528371.8,512801902.5,512853707.4,512085721.2,512055711.6,512012401.2,512003585.4,512247805.8,512208458.7,512263977.9,512823511.2,512244514.8,512147822.1,512049835.5,512012182.2,512054949.3,512883305.7,512168264.4
tot_gen [MWh],2800.618,2818.152,2807.066,2827.528,2835.234,2792.498,2803.65,2822.987,2810.542,2791.93,2831.681,8024.161,8031.579,8011.122,8007.708,8011.045,8010.21,4754.21,4742.956,8007.88,8034.829,4750.633,2813.631,4759.135,4741.969,8015.365,4735.288,4729.049,8016.974,4729.066,4747.518,4731.245,4732.626,8028.751,8008.902,4738.628
cap_onwind [GW],160.15,160.678,159.639,160.986,160.339,159.386,159.878,161.161,160.056,159.684,160.767,1002.701,1003.528,1001.729,1000.629,1001.291,1000.459,452.84,453.796,1000.728,1003.621,452.846,160.049,451.303,454.2,1001.66,454.707,453.644,1001.989,453.64,453.203,454.086,454.326,1003.311,1000.768,454.748
cap_offwind [GW],221.644,221.188,221.549,221.01,221.209,221.889,221.606,221.029,221.558,221.609,220.846,455.276,458.541,451.061,451.429,451.738,451.477,277.565,277.828,451.384,458.846,277.643,221.48,277.977,277.922,451.243,277.793,278.125,452.931,278.127,277.736,277.957,277.8,456.376,451.144,277.845
cap_solar [GW],763.616,759.236,762.468,756.825,756.341,766.245,763.106,757.603,761.103,766.668,757.249,2451.868,2452.821,2451.875,2450.113,2450.47,2450.578,1431.445,1425.114,2450.162,2457.694,1430.029,760.671,1434.165,1423.77,2452.955,1422.2,1422.592,2451.897,1422.588,1427.979,1422.645,1422.776,2452.16,2451.987,1422.295
cap_hydro [GW],142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191
cap_gas_OCGT [GW],61.683,55.651,60.054,52.577,49.177,63.378,60.974,54.093,58.807,63.439,50.991,29.533,26.399,36.503,43.756,35.027,43.704,33.02,34.774,42.432,24.673,33.745,57.438,32.442,35.846,32.416,38.612,42.758,30.904,42.764,34.119,42.212,41.101,28.11,39.513,36.805
cap_gas_CCGT [GW],45.02,44.856,44.969,44.868,44.973,45.072,44.946,44.838,44.873,45.122,44.907,0.285,0.296,0.283,0.277,0.276,0.291,6.072,5.825,0.277,0.311,5.989,44.846,6.128,5.772,0.29,5.718,5.573,0.279,5.572,5.914,5.651,5.676,0.299,0.277,5.732
cap_coal [GW],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.001
cap_nuclear [GW],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43,7.517,7.184,7.162,7.211,7.164,0.009,0.006,7.151,7.607,0.012,0.0,0.014,0.013,7.25,0.01,0.011,7.354,0.011,0.012,0.014,0.009,7.442,7.173,0.012
sector,,,,,,,,,,,,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H,T-H,T-H-I-B,T-H-I-B,T-H,,T-H,T-H,T-H-I-B,T-H,T-H,T-H-I-B,T-H,T-H,T-H,T-H,T-H-I-B,T-H-I-B,T-H
AL0 0 X Store,0.004,0.004,0.005,0.005,0.006,0.004,0.004,0.005,0.005,0.004,0.005,0.283,0.129,0.05,0.007,0.011,0.076,0.516,0.073,0.01,0.144,0.457,0.005,0.821,0.121,0.129,0.05,0.045,0.035,0.044,0.305,0.058,0.053,0.651,0.011,0.073
AT0 0 X Store,0.009,0.015,0.012,0.028,0.034,0.006,0.01,0.021,0.014,0.006,0.032,0.09,0.031,0.071,0.008,0.014,0.095,0.132,0.08,0.014,0.037,0.236,0.018,0.154,0.096,0.138,0.058,0.048,0.023,0.045,0.482,0.075,0.067,0.146,0.016,0.071
BA0 0 X Store,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.049,0.016,0.045,0.007,0.008,0.074,0.079,0.026,0.01,0.017,0.091,0.005,0.105,0.06,0.069,0.041,0.042,0.011,0.042,0.074,0.054,0.048,0.076,0.011,0.049
BE0 0 X Store,0.013,0.028,0.017,0.052,0.086,0.008,0.014,0.039,0.022,0.007,0.065,0.216,0.08,0.113,0.01,0.025,0.119,0.154,0.061,0.021,0.125,0.192,0.029,0.276,0.135,0.265,0.085,0.06,0.049,0.052,0.17,0.101,0.093,0.377,0.025,0.105
BG0 0 X Store,0.004,0.004,0.005,0.005,0.005,0.004,0.004,0.004,0.005,0.004,0.005,0.436,0.303,0.055,0.007,0.013,0.077,1.574,0.107,0.01,0.286,1.084,0.005,2.831,0.155,0.148,0.056,0.044,0.044,0.043,0.551,0.058,0.053,1.544,0.011,0.085
CH0 0 X Store,0.011,0.022,0.014,0.046,0.079,0.007,0.012,0.032,0.018,0.006,0.065,0.069,0.019,0.058,0.008,0.011,0.084,0.085,0.04,0.012,0.018,0.116,0.023,0.126,0.093,0.109,0.061,0.048,0.019,0.045,0.107,0.075,0.067,0.099,0.013,0.076
CZ0 0 X Store,0.005,0.007,0.006,0.01,0.011,0.004,0.006,0.009,0.008,0.005,0.011,0.068,0.019,0.059,0.008,0.011,0.085,0.105,0.032,0.012,0.017,0.132,0.009,0.138,0.071,0.101,0.047,0.044,0.017,0.042,0.127,0.062,0.054,0.097,0.014,0.057
DE0 0 X Store,0.016,0.062,0.025,0.373,106.614,0.009,0.019,0.127,0.033,0.008,43.913,0.144,0.053,0.099,0.009,0.02,0.112,0.089,0.038,0.018,0.072,0.113,0.05,0.129,0.086,0.198,0.06,0.048,0.036,0.044,0.103,0.075,0.069,0.254,0.022,0.071
DK0 0 X Store,0.068,104.444,23.554,146.219,178.735,0.016,1.955,125.182,52.113,0.01,177.161,0.189,0.078,0.094,0.009,0.02,0.104,29.525,0.232,0.017,0.11,11.394,72.222,41.532,0.367,0.215,0.187,0.086,0.043,0.066,2.085,0.191,0.184,0.35,0.02,0.253
DK3 0 X Store,0.007,0.013,0.009,0.032,0.151,0.005,0.008,0.02,0.012,0.005,0.053,18.246,25.554,0.387,0.009,1.487,0.111,57.03,33.078,0.03,29.707,50.591,0.014,63.289,26.398,6.404,21.916,0.07,15.078,0.058,41.111,13.828,21.805,22.457,0.048,22.712
EE6 0 X Store,0.007,0.011,0.009,0.019,0.027,0.005,0.008,0.015,0.011,0.006,0.023,5.396,10.285,0.176,0.01,0.058,0.126,18.631,18.875,0.025,14.449,18.53,0.013,18.859,17.204,1.169,13.886,0.055,0.939,0.05,18.336,0.176,4.382,7.043,0.031,16.439
