,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
G_discharge [GW],4.757,2.518,13.76,45.794,26.396,1.577,31.88,0.002,151.723,6.882,23.997,8.557,142.465,61.693,17.756,2.614,0.159,11.213,0.12,9.589,14.924,49.984,100.349,221.286,56.22,9.538,0.026,34.21,75.88,22.846,22.228,6.569,14.868,5.745,126.144,39.232,65.453,4.048,196.16,11.688,0.739,20.583,0.107,37.441,94.003
E [GWh],471.036,260.382,1222.501,4100.033,1652.861,55.331,2722.318,0.21,11818.744,410.747,2312.267,760.85,12992.679,4962.463,1624.923,35.514,3.143,996.487,9.183,379.054,1215.544,3496.303,8836.418,17092.37,4037.164,685.129,1.979,3132.834,6009.376,1892.337,2096.518,608.997,753.923,184.523,10733.814,2638.584,6017.466,124.119,13975.499,891.92,8.41,1221.928,4.374,3234.249,7382.477
G_charge [GW],6.969,4.055,16.504,78.123,17.982,0.799,32.766,0.004,251.602,5.579,31.488,11.499,186.077,103.849,21.583,0.568,0.039,14.211,0.193,4.419,14.774,37.258,136.322,341.385,43.114,8.617,0.027,51.45,121.015,23.573,28.207,9.402,8.5,2.207,170.529,28.097,79.725,1.809,316.247,11.01,0.141,13.782,0.064,39.105,109.674
G_battery [GW],21.677,22.342,18.925,0.006,175.654,179.265,65.581,23.888,30.738,71.239,14.056,20.728,0.004,0.003,17.213,71.899,73.408,19.78,23.743,178.324,69.676,167.211,15.638,0.008,163.224,70.76,179.235,4.516,0.002,67.979,14.948,21.14,177.421,178.646,0.067,172.184,47.958,71.464,0.013,70.274,73.015,176.791,179.226,63.705,122.969
E_battery [GWh],119.362,123.044,104.789,0.023,1044.573,1065.334,405.171,131.975,168.016,438.369,77.676,114.257,0.013,0.009,94.879,440.336,444.536,109.289,131.105,1061.795,430.363,991.581,80.72,0.022,965.086,436.197,1065.121,26.451,0.006,421.337,82.284,116.383,1056.284,1063.532,0.21,1025.203,280.553,439.196,0.04,433.86,443.427,1052.107,1065.116,391.506,723.836
G_PHS [GW],56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
E_PHS [GWh],1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69
G_electrolysis [GW],0.0,0.001,0.0,0.001,803.998,811.166,70.577,0.0,775.797,80.631,0.0,0.001,48.673,0.0,0.0,82.161,82.086,0.0,0.0,809.008,77.342,799.732,51.456,734.724,799.532,79.625,811.577,0.002,0.0,73.652,0.0,0.0,807.204,810.468,50.003,801.109,58.505,81.81,754.406,78.806,82.091,805.082,811.617,68.893,790.742
E_H2 [GWh],0.073,0.083,0.079,0.08,8397.899,8272.312,602.173,0.071,8313.454,875.231,0.065,0.079,452.774,0.065,0.077,922.801,924.606,0.074,0.081,8323.178,761.412,8411.151,458.55,8697.668,8415.828,838.727,8265.786,0.389,0.061,675.35,0.062,0.081,8358.822,8322.681,453.407,8423.06,498.41,912.131,8485.521,804.723,924.024,8375.419,8268.369,589.026,8418.567
avail_onwind [MWh],154543370.791,154106112.725,159417401.983,157370127.156,899291138.947,898279575.31,406843162.109,152916513.477,910935097.135,400289126.008,160383252.149,156834211.124,380610466.641,150384863.574,160109606.232,399574996.04,398972020.931,158299852.39,152763850.565,898842487.379,401646392.873,902258600.507,408311878.659,876903734.422,903274352.324,400486662.58,898029869.407,160884818.379,144501298.452,404524257.857,160236619.006,155807305.357,898541394.354,898177495.198,394237732.161,900917619.325,409040003.986,400358574.207,890796484.062,400910388.801,399042276.137,898471688.392,898142690.772,406705514.65,909782127.2
