,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
MK0 0 onwind,0.422,0.481,0.42,0.463,0.66,0.834,7.271,0.414,0.802,4.272,0.375,0.433,0.541,0.348,0.442,5.465,6.654,0.391,0.475,0.92,4.447,0.261,3.51,0.77,0.229,4.487,5.511,2.245,0.358,5.784,0.366,0.415,0.289,0.867,1.587,1.003,5.275,6.292,0.922,2.75,2.81,1.001,0.822,0.483,0.902
NL0 0 onwind,24202692.402,24325491.733,26147840.317,28686386.4,43656768.377,43662100.758,42661998.769,24425481.092,43666539.208,42062589.487,27262135.811,24055189.153,43378088.747,29244823.572,26638143.086,41743799.957,41580125.522,25110009.099,24350020.21,43669961.406,42041811.379,43660597.868,42971828.914,43664842.087,43661684.404,41874038.786,43397468.534,28568244.434,29619926.128,42588676.247,27040306.432,24029829.413,43658079.249,43672987.252,43042998.161,43668024.724,43009122.287,41922965.756,43671786.665,41855951.22,41540089.78,43657559.007,43655838.777,43245784.907,43669210.398
NO3 0 onwind,13.257,14.955,14.099,14.934,36.126,36.258,270.548,12.864,36.9,167.369,12.229,14.211,21.515,12.591,13.897,211.085,269.278,13.213,14.669,40.527,209.365,41.914,166.319,43.258,43.389,209.758,243.123,75.63,11.895,214.299,11.374,14.702,39.795,39.302,103.998,39.232,196.24,235.665,39.212,191.766,194.304,42.226,46.989,26.22,39.915
PL0 0 onwind,3456215.244,3519340.087,3141963.662,1731357.328,50894272.917,50474453.676,18147778.585,3651468.716,46891300.023,17771870.381,2916758.334,3407013.62,20024813.032,340896.929,3203127.561,17778765.978,17714661.627,3259712.084,3633276.64,50475175.495,17639933.256,49890508.175,20021076.892,42885918.282,49753917.351,17739398.356,50149566.012,2577652.809,594.806,17862694.797,3027455.741,3362778.179,50536034.649,50466859.06,19690595.308,50158488.448,19349876.377,17821285.536,44729245.498,17685362.453,17694659.664,50703249.186,50448121.431,18395013.479,48998616.445
PT0 0 onwind,37.879,42.51,39.567,44.787,95.347,100.797,675.36,35.94,86.17,428.114,31.604,39.439,49.086,41.461,38.06,542.142,686.98,37.016,41.011,113.066,542.325,108.235,414.024,93.197,112.219,523.94,659.727,191.887,33.502,538.971,30.443,39.985,105.04,109.444,307.867,102.903,484.174,602.837,103.816,499.553,461.332,115.265,130.858,60.539,94.555
RO0 0 onwind,11.466,12.932,12.192,11.714,28.247,29.239,200.15,11.14,28.338,126.702,10.12,12.215,14.573,9.537,11.881,160.162,203.664,11.445,12.709,32.848,154.95,32.935,115.241,28.221,34.123,157.049,192.398,60.853,8.186,160.043,9.603,12.517,31.368,31.72,69.47,31.454,140.998,178.158,27.709,140.817,142.033,33.774,37.915,18.614,33.143
RS0 0 onwind,7.501,8.501,7.822,6.983,20.935,21.653,143.099,7.358,21.789,90.714,6.29,7.923,9.777,5.587,7.561,115.259,145.779,7.389,8.401,24.501,107.622,24.96,78.115,21.376,25.496,110.271,141.693,36.471,5.007,115.01,6.029,7.991,22.402,23.533,44.431,23.953,101.382,128.087,20.806,94.124,94.105,25.192,28.112,12.238,25.051
SE3 0 onwind,27.204,36.502,35.53,33.816,76.307,72.413,656.705,31.904,69.336,411.344,29.578,34.965,44.659,28.15,31.009,521.746,671.662,33.037,34.23,81.436,526.986,82.2,382.19,76.692,85.512,538.069,495.954,185.443,26.443,521.622,27.845,25.885,82.102,78.446,231.072,77.535,456.423,580.1,72.168,496.832,508.4,86.035,93.903,63.97,75.847
SI0 0 onwind,1.628,1.857,1.556,1.693,2.979,3.263,29.012,1.549,2.719,16.306,1.358,1.69,2.185,1.352,1.626,20.616,28.016,1.451,1.811,3.819,21.8,3.277,13.09,3.232,3.039,21.631,20.239,8.65,1.23,23.201,1.374,1.62,2.505,3.734,8.764,4.113,20.866,25.505,3.406,14.989,14.366,3.782,3.773,1.976,3.206
SK0 0 onwind,25.921,29.917,25.344,18.11,1687140.594,1502583.366,1742404.75,26.623,3026640.437,1702143.204,19.773,25.785,75310.67,12.649,24.398,1710239.626,1716270.624,22.768,30.838,1439794.593,1709762.014,2214391.308,1643521.433,1242752.578,2330930.171,1696917.642,1526167.944,106.051,9.626,1742694.705,19.514,25.875,1514935.142,1436189.575,1140645.249,1995131.2,1735074.442,1697990.195,2295414.012,1703063.152,1708620.691,1609131.183,1533454.519,1731883.982,2776541.822
AL0 0 offwind-ac,2.969,3.392,2.727,3.506,5.531,6.673,64.926,3.051,6.0,33.352,2.423,3.338,4.453,2.728,3.098,37.487,58.681,2.662,3.002,7.325,46.056,6.018,25.667,6.244,5.767,46.38,39.078,17.005,2.926,52.236,2.783,2.907,4.858,7.693,18.988,9.499,45.237,55.073,6.877,33.088,31.738,6.59,6.223,4.228,6.415
BE0 0 offwind-ac,197.214,187.238,166.44,121.54,3595351.424,3600691.687,3498550.814,154.137,3597584.681,3515954.807,130.599,186.127,3604674.656,87.143,211.592,3477810.624,3503737.134,147.856,173.317,3606325.899,3477649.74,3606215.68,3524773.287,3604747.204,3604122.734,3479024.607,3545167.923,779.332,86.108,3509502.551,140.242,194.282,3602381.603,3607196.838,3541001.777,3603755.08,3526878.935,3504977.083,3605308.547,3468977.571,3466999.738,3603634.398,3604177.867,3596656.597,3602796.434
BE0 0 offwind-dc,5745233.592,5757030.984,5743544.26,5783055.451,5878948.849,5882433.185,5738014.016,5801401.149,5897199.005,5745586.209,5746593.3,5714188.935,5908721.223,5789004.916,5731701.691,5716005.61,5736129.75,5728939.594,5785555.109,5895235.264,5716664.525,5909439.793,5782111.423,5905257.979,5906915.134,5717098.788,5802727.906,5706324.552,5838742.795,5753965.087,5751620.801,5726003.417,5887639.25,5896514.957,5803300.221,5900628.203,5774482.776,5738114.826,5906321.05,5705711.577,5702747.968,5892459.888,5890588.236,5882927.316,5904026.002
BG0 0 offwind-ac,11.253,12.975,9.732,12.943,27.598,34.256,226.199,11.997,34.771,128.889,9.366,12.674,16.84,10.506,11.614,147.284,209.178,10.719,11.739,37.87,173.714,28.937,104.957,29.862,29.482,174.527,204.564,63.087,11.009,182.567,10.174,10.699,24.973,38.027,75.407,42.346,161.863,195.524,33.64,135.815,125.65,31.885,31.659,16.121,37.617
BG0 0 offwind-dc,2.892,2.707,3.378,2.908,7.017,7.729,24.634,2.754,12.913,14.753,2.854,3.132,2.697,2.779,4.037,19.862,27.867,3.17,3.452,8.027,26.815,9.019,18.263,7.834,12.195,38.811,40.051,12.425,2.453,22.726,2.632,3.524,10.515,7.396,13.549,9.581,14.533,26.84,8.209,35.238,26.72,6.942,10.716,3.624,13.251
DE0 0 offwind-ac,20036861.983,20028070.666,18781171.622,13380128.829,30635707.028,30639517.81,30575462.377,19972736.984,30639099.129,30585119.965,18253865.673,19592845.673,30652452.596,9164580.512,18569488.984,30565066.669,30561025.313,19151345.321,20180156.665,30642203.141,30556950.498,30638847.252,30603105.124,30641982.867,30637487.175,30560381.51,30537142.049,17292123.161,6786410.632,30586684.82,18391816.12,19757558.49,30637955.868,30644238.1,30616508.491,30640316.881,30608032.816,30578069.41,30642909.303,30546419.11,30545649.961,30636784.419,30636970.442,30646819.684,30640593.098
DE0 0 offwind-dc,100463669.872,100190772.476,101752837.932,105697852.501,106147576.391,105940974.389,107927153.488,99791707.412,106819475.025,107685387.731,103670010.293,101113409.921,108701635.604,106683949.32,102593768.792,107774863.378,107800405.242,101413739.418,99791444.392,105963490.325,107867598.062,106327177.382,108418671.803,107815569.259,106320609.445,107826029.128,106698487.51,104500794.689,107663027.486,107745235.94,103391938.245,100777192.192,106030546.496,105941669.737,108610339.512,106236908.514,108190100.791,107702415.989,107239249.217,107916131.779,107905067.323,106128264.961,105974791.034,107655863.137,106539943.517
DK0 0 offwind-ac,42.646,48.97,41.332,39.854,341.437,349.877,736.329,42.684,468.285,450.527,35.48,43.536,49.077,29.74,40.511,602.822,767.41,39.314,48.72,391.365,558.859,424.326,402.795,676.723,446.912,576.355,2280.792,189.914,29.75,594.883,34.053,40.829,365.016,380.869,242.725,401.882,512.311,671.854,580.138,546.532,471.58,405.041,447.845,66.157,462.574
DK0 0 offwind-dc,51.404,55.582,47.491,49.017,38467867.032,36194067.46,1549.465,53.436,52366466.668,999.375,43.995,52.712,69.726,34.894,49.391,1407.265,1781.923,45.704,60.875,37387086.746,1106.49,41409051.852,725.789,81326210.181,41414819.334,1066.579,35775263.768,238.445,35.294,1340.982,42.685,49.819,38387464.453,36366306.421,381.267,40054894.419,933.613,1555.335,69139141.366,1277.576,1158.09,38430940.184,36134091.236,126.28,45960330.315
DK3 0 offwind-ac,14.695,15.656,15.213,15.846,78.615,86.414,281.1,13.765,87.32,164.358,12.969,14.766,22.248,13.291,15.296,205.781,271.07,13.924,16.117,97.522,208.638,92.785,151.016,118.159,84.658,213.446,553.027,80.42,12.414,220.31,12.39,14.918,70.518,94.449,100.514,98.445,207.779,239.444,107.795,173.679,156.678,95.443,95.194,24.105,99.214
DK3 0 offwind-dc,20.965,23.074,20.874,21.91,389.48,409.379,437.496,19.588,871.777,257.797,18.135,21.409,34.605,17.986,21.205,322.161,418.235,19.292,23.208,445.01,322.968,516.614,243.355,2102.231,614.298,330.348,2489.824,112.85,17.066,341.235,17.553,20.818,359.014,426.06,162.155,527.642,323.56,369.508,1124.285,283.335,263.573,434.142,470.162,38.621,669.65
EE6 0 offwind-ac,27.044,30.412,26.689,28.893,51.994,55.43,428.983,25.676,52.266,257.93,23.846,27.688,33.438,23.011,27.992,330.756,423.414,25.117,29.946,61.924,326.549,60.555,233.584,68.504,62.576,329.792,356.102,139.089,21.78,341.348,22.472,26.173,43.356,60.589,152.37,61.688,313.374,374.53,64.264,280.273,243.303,63.411,63.036,35.68,60.605
EE6 0 offwind-dc,24.84,28.227,25.269,27.438,45.142,58.605,453.545,25.647,51.128,265.374,22.46,27.926,35.722,23.392,27.217,321.478,442.443,23.723,27.444,66.27,343.259,47.887,215.01,65.452,46.635,352.374,357.96,147.01,24.275,362.269,23.239,25.577,41.184,63.751,158.553,65.726,328.36,394.448,65.456,285.149,266.698,54.126,57.456,33.382,56.751
ES0 0 offwind-ac,277.932,281.64,266.418,83.942,521.144,575.532,21744.683,284.755,206.158,62598.503,165.129,321.017,60.734,50.054,246.481,118928.31,129690.916,264.41,297.075,644.979,141125.03,575.935,1312.098,93.349,750.564,79045.252,3594.678,692.151,33.975,93525.784,168.046,270.769,427.08,623.06,406.048,560.387,3800.451,89296.647,124.527,105458.332,141775.757,559.549,658.298,1167.564,390.121
ES0 0 offwind-dc,15.112,13.582,13.003,11.93,32.333,39.846,224.66,13.464,35.638,117.847,10.17,16.298,12.086,8.737,14.76,138.64,223.82,13.084,14.303,48.91,220.041,38.539,122.456,22.881,49.046,228.097,217.068,61.415,7.84,186.638,10.658,13.279,36.995,42.772,85.744,42.357,131.951,188.595,25.836,225.858,169.041,30.729,45.929,25.262,36.143
ES2 0 offwind-ac,3.259,3.849,3.766,3.066,3.598,4.74,48.144,3.093,4.599,24.415,2.53,3.62,3.442,3.366,3.599,22.392,40.365,2.82,3.919,5.223,34.944,4.314,21.954,4.594,5.561,36.337,29.426,14.072,3.363,39.659,2.845,3.85,3.979,5.522,14.965,4.973,30.363,38.945,4.608,28.265,25.748,4.442,4.357,3.503,4.751
ES2 0 offwind-dc,7.858,7.037,6.406,6.737,24.805,28.865,89.264,6.497,37.351,49.973,5.806,8.806,5.911,5.295,7.823,61.38,99.983,6.943,7.004,35.85,90.35,28.006,55.417,33.853,35.075,97.656,154.623,33.892,4.789,74.606,6.051,7.056,28.859,31.17,37.16,30.559,54.009,80.799,30.558,97.857,72.923,22.468,34.766,10.274,32.626
FI3 0 offwind-ac,649.609,1085.927,706.73,427.866,11781617.691,12110557.253,5315589.065,999.91,7503640.917,5502263.637,822.843,750.315,2357045.297,253.646,948.204,5782881.796,6004634.429,750.371,1158.238,11896270.831,5328309.837,10204963.573,3664723.327,4029812.444,9767309.69,5291444.4,12045588.589,1869.181,285.059,5841364.729,752.695,775.412,11931665.704,12140543.414,2790278.449,11273019.844,4985658.897,5505473.543,6108127.578,5223069.538,5958833.938,11901223.131,12121311.782,5329986.057,9083021.868
FI3 0 offwind-dc,13310294.752,13310888.108,13287494.873,12521972.932,17829617.953,16383409.872,15595530.262,13316267.444,23586069.472,15423687.204,13026504.603,13247594.912,18609407.074,12108126.908,13182978.103,15117871.66,14874935.878,13283684.499,13316245.481,17012120.399,15560724.193,19386089.916,17643522.147,25062948.601,19957918.959,15641690.155,16503598.306,12914847.88,11300741.562,15041378.506,13092019.194,13294168.168,17213478.085,16452233.139,18363343.881,18357057.409,16114731.949,15418401.372,23845859.941,15713472.574,14918096.752,17645858.316,16318863.988,15567175.778,21159908.714
FR0 0 offwind-ac,60920148.233,60843178.95,61286634.308,62143509.345,60520084.044,60402221.28,62036315.082,60696490.43,61154429.131,61817355.625,61724915.074,61067501.791,62641217.329,56728357.15,61487863.828,61897752.443,61892989.487,61167800.911,60705707.451,60263447.148,61962486.651,60469312.068,62453566.398,61643421.764,60463198.224,61946368.932,61550380.081,62042363.127,52728438.964,61808258.718,61674777.125,61008159.115,60401808.664,60260890.858,62656645.815,60355401.722,62075555.944,61800541.163,61388444.755,62023670.746,62000943.987,60447134.256,60273294.972,61502751.363,60643859.304
FR0 0 offwind-dc,26334765.121,26328563.222,26369714.749,26414804.924,26410469.697,26416562.314,26246002.576,26315917.614,26419477.894,26268237.938,26385461.475,26350359.882,26431567.152,26446965.666,26376174.153,26232469.639,26219294.755,26359798.189,26314804.529,26421723.038,26220657.77,26418452.155,26313379.455,26422629.651,26413541.226,26226435.268,26242776.664,26376816.849,26459624.198,26269516.006,26387855.323,26338540.937,26414189.672,26424925.185,26350362.857,26418178.161,26308207.482,26251393.905,26426055.505,26201227.273,26198092.141,26414318.703,26412769.024,26388826.157,26418784.732
GB4 0 offwind-ac,72.333,78.961,65.235,52.461,717.667,746.955,1214.121,76.174,10706839.86,766.967,62.145,78.958,80.18,46.976,75.564,900.248,1395.807,67.928,85.008,882.822,987.171,1021.818,598.547,10733937.882,1448.374,1082.263,4377.255,342.798,47.733,977.31,59.998,74.63,688.047,808.61,399.964,1124.109,830.528,1145.624,10728637.506,939.768,918.472,672.354,657.195,95.742,6576.689
GB4 0 offwind-dc,2740679.133,2764966.006,2506526.776,166747.446,12279051.01,12283741.727,1230222.373,2794625.448,12298476.576,1438510.584,1794584.8,2601061.898,662.984,361.013,2256221.874,1644129.919,1859050.312,2561272.312,2815046.057,12317021.772,1332674.786,12332883.617,130757.908,12314366.553,12312868.843,1410101.927,12056201.722,1114673.251,165.658,1367393.245,1931218.397,2660681.392,12287968.258,12319376.257,10289.193,12313063.492,560586.002,1559082.357,12315720.214,1342029.359,1852657.031,12319471.447,12297654.158,1199500.643,12303932.736
GB5 0 offwind-ac,102.631,117.099,100.389,76.299,1624.442,1092.554,1700.064,103.843,2216.749,1239.905,76.421,105.845,92.345,54.769,94.781,1611.889,2047.138,96.004,117.844,1404.496,1372.621,2121.863,876.283,2162.682,2441.78,1486.574,6798.25,420.071,48.332,1410.897,73.782,110.194,1648.754,1258.284,515.565,1971.523,1106.87,1773.622,1948.36,1469.389,1548.529,1798.587,1352.328,160.911,2187.526
GB5 0 offwind-dc,69.505,78.589,70.469,64.302,67822759.074,68181177.169,1333.376,69.653,45023756.73,853.299,59.787,72.912,75.123,50.127,70.768,1125.881,1428.465,65.86,76.808,66462200.33,932.189,67123278.245,743.537,18039394.014,66532568.539,990.563,69606854.829,356.177,44.578,1070.865,58.055,73.105,66965157.216,68161156.076,417.994,67503948.378,917.307,1237.744,35530830.773,1008.648,1037.188,67739797.874,68653889.926,125.658,60533244.165
GR0 0 offwind-ac,5.509,6.217,5.669,6.202,14.237,15.262,109.096,5.263,13.709,66.226,4.954,5.811,8.599,5.424,5.738,84.063,108.497,5.255,6.084,17.459,84.445,16.881,53.85,15.991,16.98,84.4,97.006,30.278,5.105,87.08,4.706,5.794,11.574,16.738,36.21,17.079,78.596,96.454,15.845,61.875,56.048,17.758,18.964,7.703,16.657
GR0 0 offwind-dc,12035876.912,12028808.052,12023587.709,11678284.206,16421555.327,16424381.67,16650231.94,12024261.384,16351662.034,16601337.675,12068095.15,12012645.55,11873376.175,9571788.695,11972940.455,16628505.478,16640389.549,12011645.435,12027911.315,16419080.062,16649650.673,16363508.507,15781339.676,16211091.142,16360110.456,16641980.275,16579697.173,11997772.959,5529103.408,16604994.192,12047796.249,12050157.389,16425860.557,16418389.17,14145071.482,16380246.916,16705204.565,16613084.808,16287392.057,16670026.854,16669946.431,16419017.761,16422578.051,16500580.958,16377395.269
HR0 0 offwind-ac,9.166,10.267,8.418,7.685,22.448,24.559,160.982,8.65,21.041,93.103,6.978,9.276,11.384,5.911,8.602,116.986,157.098,7.807,10.268,28.054,124.139,25.767,73.673,20.201,26.182,126.183,150.814,41.372,5.178,130.945,7.002,9.011,19.924,27.298,50.706,30.392,112.664,143.975,22.346,94.253,84.652,27.8,29.198,11.344,25.943
HR0 0 offwind-dc,7.991,9.115,7.185,7.251,16.957,19.287,148.824,8.011,16.184,82.147,6.011,8.558,10.141,5.382,7.66,96.934,139.269,6.87,8.694,21.401,110.96,17.402,62.217,14.875,18.533,113.828,115.897,38.12,4.91,121.414,6.475,7.83,14.526,21.563,44.751,25.831,101.971,130.49,17.416,83.691,75.731,19.837,19.317,9.975,19.06
IE4 0 offwind-ac,149.241,160.639,136.627,87.523,222.071,241.603,3993.628,157.041,198.515,2667.876,109.026,142.746,161.591,68.811,138.56,3777.098,5241.275,133.622,183.843,273.911,3610.778,254.327,1566.222,218.422,245.373,3761.458,1611.936,536.701,59.714,3259.628,106.487,152.184,248.026,260.318,882.731,253.716,2184.532,3778.494,216.128,3809.278,4153.353,273.979,309.264,372.868,238.873
IE4 0 offwind-dc,744601.567,744725.338,745212.479,746339.265,726950.296,724723.11,702791.354,746147.681,712636.098,715004.573,745226.2,746542.843,736801.419,745598.922,744330.5,708726.419,708683.034,744441.985,744412.344,734086.234,693950.999,731734.968,698387.976,727518.2,727721.123,694174.22,694767.932,728335.946,749106.026,709144.898,746635.417,742616.318,729006.591,733519.757,700448.008,731059.902,710020.612,715786.359,729137.301,692464.683,695777.825,734196.223,732515.452,735530.577,725211.3
IT0 0 offwind-ac,8.994,10.26,9.143,8.161,45.681,49.178,396.366,8.845,32.251,246.174,7.447,9.377,17.447,6.268,8.861,312.735,397.125,8.692,10.091,55.258,306.863,53.054,195.685,23.284,53.693,312.207,320.576,44.211,5.376,315.321,7.124,9.627,48.538,53.43,97.41,52.401,282.268,347.041,25.511,285.342,275.111,55.992,63.5,34.807,47.404
IT0 0 offwind-dc,10.077,11.535,8.827,9.455,58.475,75.323,761.646,10.134,28.722,424.168,7.572,10.605,20.884,6.675,9.749,515.71,703.209,8.595,10.246,81.073,589.606,56.401,264.053,18.275,58.505,595.912,456.213,50.088,6.043,612.93,8.087,9.958,54.689,79.826,137.602,82.257,504.671,618.521,22.916,520.572,480.717,70.2,77.615,60.101,48.535
IT1 0 offwind-ac,13.061,14.961,12.259,15.671,28.95,35.958,321.62,13.724,25.918,178.054,11.734,14.764,21.971,12.634,14.352,219.522,308.956,12.413,14.402,40.561,245.922,30.884,145.191,28.117,29.256,251.551,213.996,78.478,12.069,259.102,12.174,12.819,26.045,39.709,107.173,44.641,230.677,277.579,29.738,198.723,180.946,35.08,34.957,23.509,32.698
LT6 0 offwind-ac,49.177,53.642,54.325,54.438,103.065,148.316,1119.368,51.417,159.34,630.502,46.779,46.837,97.196,51.444,60.597,722.202,1028.426,43.038,49.071,154.173,924.955,111.472,667.627,199.99,138.557,974.842,847.727,241.904,56.257,925.835,40.246,56.556,99.755,149.803,469.697,141.169,808.584,980.006,170.306,848.378,729.714,120.329,129.441,88.157,152.151
LT6 0 offwind-dc,1629441.082,1633453.756,1591080.433,1417247.567,2830955.048,2828868.828,2908608.656,1643476.102,2833129.816,2909372.274,1572407.442,1611853.907,2922881.521,1357426.821,1572509.559,2903581.191,2908334.669,1607504.292,1639798.525,2815358.535,2902068.681,2822241.982,2916460.39,2852773.121,2827070.03,2902049.802,2884368.649,1527582.56,1333200.221,2909091.568,1575710.113,1628985.447,2820360.525,2815380.042,2919389.304,2827139.498,2916566.759,2907590.965,2839400.836,2900754.812,2901758.735,2824025.22,2815927.429,2912285.274,2824430.381
LV6 0 offwind-ac,53.172,57.346,50.858,68.588,123.676,133.938,1280.694,48.768,125.655,784.476,54.673,59.075,98.003,60.721,62.751,1002.564,1279.765,47.759,59.456,151.506,1024.079,134.833,724.346,160.577,146.276,1073.695,841.439,339.972,55.243,1028.118,51.865,46.765,117.088,146.427,484.617,149.135,910.02,1124.6,149.602,974.266,905.75,150.658,152.992,113.491,144.657
LV6 0 offwind-dc,168.014,190.48,182.004,296.636,3459670.792,3432121.08,953236.876,171.885,3835568.118,980864.317,183.908,191.707,1199753.945,256.712,216.722,956323.983,941358.139,185.216,180.287,3410796.62,971375.098,3565587.295,1032048.083,3919775.617,3614095.235,983109.513,3457188.071,1144.819,208.9,960437.862,166.094,187.57,3416231.581,3413290.205,975703.04,3530342.362,944327.208,962677.935,3831457.004,978048.402,944969.262,3422757.456,3431437.723,958757.725,3697084.669
ME0 0 offwind-ac,1.676,1.834,1.556,1.563,2.503,3.139,29.975,1.609,3.081,13.536,1.122,1.717,1.87,1.332,1.661,13.283,23.324,1.457,1.659,3.774,20.475,2.939,11.761,3.268,3.229,20.802,18.714,7.312,1.521,23.601,1.266,1.673,2.38,3.64,7.928,3.969,18.802,22.618,3.335,14.68,13.154,3.087,2.927,1.721,3.318
NL0 0 offwind-ac,116.253,124.838,106.113,90.424,22920520.547,22484360.228,3777.185,113.22,23495569.043,2019.43,89.679,120.634,884.56,69.992,113.779,2468.448,3178.544,100.54,121.538,22533618.79,2654.881,23177709.85,2813.296,23630410.654,23216506.3,2617.784,23355121.133,553.153,71.391,2856.025,94.482,115.611,22711818.244,22437377.202,2444.663,23083969.728,3141.356,2824.629,23546169.138,2457.122,2130.566,22829017.253,22484063.905,352.061,23352581.222
NL0 0 offwind-dc,117.505,129.2,105.393,91.958,91278400.121,92331373.669,10862128.887,122.484,75776107.409,8613738.306,93.682,119.364,11034215.211,55.773,111.84,8839318.309,9020962.911,100.449,138.297,92355366.755,9073585.656,88039274.123,12799951.734,58848592.681,87132604.67,8857555.979,91267289.081,509.993,56.286,9902938.535,91.718,116.242,91747529.664,92595089.025,12103150.647,90136865.373,12223770.13,8614944.187,67097364.489,9004074.263,9058660.347,91498044.018,92040166.201,11026852.942,83756258.438
NO3 0 offwind-ac,23.228,25.753,23.15,27.615,85.405,92.219,541.204,22.611,93.032,336.498,21.824,21.418,40.455,24.406,22.917,428.426,544.572,23.468,25.864,102.656,419.988,104.956,320.174,116.61,109.304,430.291,591.672,132.687,22.175,430.413,20.098,22.266,74.811,98.123,202.238,99.036,390.15,475.1,105.31,393.696,368.922,103.531,119.168,50.064,103.877
NO3 0 offwind-dc,67.626,75.501,65.75,98.993,14563352.538,14563626.555,6061368.514,72.304,14563119.32,7050053.824,71.111,79.512,3537317.721,125.665,79.506,7048083.715,7061290.37,70.065,69.247,14563865.846,6995113.015,14563707.004,4892627.776,14563527.296,14563695.881,7054668.775,14558529.057,481.697,125.113,6309771.621,69.262,70.591,14563740.939,14563879.722,4275110.331,14563588.601,5551871.653,7052653.065,14563489.396,7042597.592,7058201.832,14563459.886,14563717.745,6060875.037,14563388.768
PL0 0 offwind-ac,9016646.724,8960301.538,9067837.556,10427659.016,15352703.436,15017521.747,16980520.166,8877840.686,15708264.128,16740629.395,9127396.552,8948920.16,16891195.493,11818417.015,8908387.279,16808569.302,16792282.109,8987995.041,8862443.271,14981638.912,16904942.902,15564894.527,17082536.928,15750990.221,15656623.861,16861555.902,15669868.766,9571516.868,12391226.493,16793657.154,9031583.344,9073863.83,15084405.496,14986617.755,17054196.806,15469724.339,16993433.466,16735367.903,15663809.659,16937002.348,16915837.865,15244957.258,15005310.241,16587112.84,15611842.679
PL0 0 offwind-dc,15045186.056,15041576.434,15048403.936,15087341.213,15031513.338,15032516.347,14948774.382,15045205.575,15042830.313,14952584.524,15061345.267,15051549.013,15077947.772,15078543.119,15053397.158,14926878.793,14925581.911,15045947.197,15039149.476,15047370.46,14922187.021,15050857.152,14982596.655,15043329.315,15044828.001,14926122.978,14788822.297,15006980.611,15084731.074,14968468.137,15063787.704,15039622.77,15035057.859,15051139.943,15001319.585,15046905.506,14988969.049,14947496.302,15048932.335,14910034.014,14905289.329,15037746.707,15036930.877,15068704.308,15046225.003
PT0 0 offwind-ac,7721006.799,7713696.141,7789632.079,1837351.365,2653213.095,2891437.264,8157185.092,7684149.198,1363107.433,8112698.531,7949197.894,7726658.18,149.69,182.83,7887144.521,8142533.763,8142335.608,7762352.525,7699609.41,2753087.275,8152113.131,4176722.405,3375794.04,183.592,5428334.217,8146130.198,2919165.088,6264807.501,67.806,8127473.57,7959456.17,7748805.275,2912176.706,2797996.661,1664439.689,2629299.689,8174561.206,8122057.452,1002.942,8164528.272,8164693.624,2709652.01,2838339.649,8055855.688,6969619.357
RO0 0 offwind-ac,3807649.063,3844886.688,3742109.873,1734978.497,11724210.533,11711781.775,9368600.597,3839515.363,11735027.845,9449512.785,3442489.49,3834319.021,6266133.422,371040.843,3561741.891,9470006.563,9493889.274,3789592.01,3824194.499,11717870.115,9470949.895,11727923.189,8240490.046,11707882.156,11726313.808,9457033.58,11735064.578,2979460.172,2391131.581,9414528.869,3525263.456,3791831.14,11714931.619,11719619.447,7000824.616,11729645.58,8774377.149,9455724.67,11729317.93,9460598.589,9500818.13,11726882.231,11724089.426,9319936.902,11723032.459
RO0 0 offwind-dc,4868289.048,4867558.281,4885257.65,5040281.396,5198856.929,5198039.831,5225867.421,4861976.234,5226257.962,5214725.124,4936728.0,4872610.143,5085238.517,5081935.023,4911144.824,5219537.585,5219930.931,4879200.358,4868219.406,5187129.536,5225877.815,5194219.456,5246930.972,5200599.787,5199067.674,5223873.994,5250258.238,5000547.757,1681.727,5213217.384,4917464.119,4888253.381,5194008.785,5187746.465,5217244.109,5189651.839,5233027.415,5215291.839,5210046.263,5230681.286,5230052.144,5195164.934,5187514.988,5156530.385,5207883.303
SE3 0 offwind-ac,63.958,69.254,58.879,73.219,128.191,135.916,1135.39,61.849,122.326,712.745,58.621,67.533,76.835,46.584,66.024,902.61,1149.753,53.491,70.48,152.094,849.203,151.161,662.346,148.018,158.111,821.006,902.507,328.763,50.942,905.36,55.422,63.064,148.353,147.564,412.326,143.845,792.588,1002.522,137.229,845.055,822.72,155.621,176.48,107.574,140.351
SE3 0 offwind-dc,13877058.667,13869642.764,13850027.247,15532000.922,51801427.262,51185267.9,31625321.11,13860254.697,55796589.427,31693739.043,14307075.291,13973081.541,31959132.279,16377065.342,13915668.339,31699104.672,31568267.22,13899327.614,13864440.495,51254920.578,31653350.031,52465481.653,31914610.231,60992501.608,52630772.659,31657048.908,51260124.339,14826937.051,17039919.539,31692689.833,14107828.131,13884966.784,51417975.937,51146197.013,32009252.79,52099698.977,31959184.76,31693114.531,58681541.545,31630042.251,31632766.488,51540480.309,51176332.838,31674536.946,53419703.477
SI0 0 offwind-ac,2.046,2.286,1.922,1.718,3.535,4.351,29.482,2.017,4.113,15.445,1.407,2.127,2.049,1.373,2.022,14.797,25.824,1.785,2.152,5.042,23.031,4.245,13.803,3.535,4.94,23.444,26.716,8.811,1.442,24.843,1.576,2.102,3.754,5.045,9.506,5.022,18.383,24.689,3.719,18.921,16.644,4.129,4.418,2.317,4.567
